Section,,Mar 2024,Dec 2024,Mar 2025,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024
Quarterly Results,Sales,127.28,22.16,27.72,,,,,,,,,
Quarterly Results,Expenses,118.48,15.41,22.44,,,,,,,,,
Quarterly Results,Operating Profit,8.80,6.75,5.28,,,,,,,,,
Quarterly Results,OPM %,6.91%,30.46%,19.05%,,,,,,,,,
Quarterly Results,Other Income,0.10,-0.30,0.56,,,,,,,,,
Quarterly Results,Interest,3.38,1.85,2.72,,,,,,,,,
Quarterly Results,Depreciation,0.08,0.05,0.11,,,,,,,,,
Quarterly Results,Profit before tax,5.44,4.55,3.01,,,,,,,,,
Quarterly Results,Tax %,-0.37%,22.20%,77.74%,,,,,,,,,
Quarterly Results,Net Profit,5.45,3.54,0.68,,,,,,,,,
Quarterly Results,EPS in Rs,2.61,1.70,0.33,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,202,,88,,,,,,,,,
Profit & Loss,Expenses,185,,65,,,,,,,,,
Profit & Loss,Operating Profit,17,,22,,,,,,,,,
Profit & Loss,OPM %,9%,,26%,,,,,,,,,
Profit & Loss,Other Income,0,,0,,,,,,,,,
Profit & Loss,Interest,4,,9,,,,,,,,,
Profit & Loss,Depreciation,0,,0,,,,,,,,,
Profit & Loss,Profit before tax,13,,14,,,,,,,,,
Profit & Loss,Tax %,27%,,24%,,,,,,,,,
Profit & Loss,Net Profit,9,,11,,,,,,,,,
Profit & Loss,EPS in Rs,4.54,,5.06,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,0%,,,,,,,,,
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,21,,,,,,,,,
Balance Sheet,Reserves,25,,44,,,,,,,,,
Balance Sheet,Borrowings,53,,102,,,,,,,,,
Balance Sheet,Other Liabilities,10,,14,,,,,,,,,
Balance Sheet,Total Liabilities,108,,181,,,,,,,,,
Balance Sheet,Fixed Assets,1,,1,,,,,,,,,
Balance Sheet,CWIP,0,,0,,,,,,,,,
Balance Sheet,Investments,15,,21,,,,,,,,,
Balance Sheet,Other Assets,92,,159,,,,,,,,,
Balance Sheet,Total Assets,108,,181,,,,,,,,,
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-9,,-45,,,,,,,,,
Cash Flows,Cash from Investing Activity,-8,,3,,,,,,,,,
Cash Flows,Cash from Financing Activity,17,,41,,,,,,,,,
Cash Flows,Net Cash Flow,0,,-0,,,,,,,,,
,,,,,,,,,,,,,
Ratios,Debtor Days,64,,119,,,,,,,,,
Ratios,Inventory Days,107,,682,,,,,,,,,
Ratios,Days Payable,10,,53,,,,,,,,,
Ratios,Cash Conversion Cycle,161,,748,,,,,,,,,
Ratios,Working Capital Days,162,,607,,,,,,,,,
Ratios,ROCE %,,,17%,,,,,,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.97%,74.97%,74.97%,73.55%,73.55%,73.55%,71.52%,73.63%,74.97%,74.97%,74.97%,74.97%
Shareholding Pattern (Quarterly),Public,25.03%,25.03%,25.03%,26.45%,26.44%,26.45%,28.48%,26.37%,25.03%,25.03%,25.03%,25.03%
Shareholding Pattern (Quarterly),No. of Shareholders,909,1758,1680,54,62,60,66,64,57,254,1317,1531
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.97%,,74.97%,73.55%,,73.55%,,73.63%,,,,
Shareholding Pattern (Yearly),Public,25.03%,,25.03%,26.45%,,26.45%,,26.37%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,909,,1680,54,,60,,64,,,,
,,,,,,,,,,,,,
