Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2022
Quarterly Results,Sales,27.22,26.41,21.87,19.89,23.29,27.54,25.95,32.40,29.11,33.91,32.33,33.89,,,
Quarterly Results,Expenses,25.23,24.46,20.32,18.36,21.59,26.54,25.16,31.20,27.53,33.01,30.93,33.70,,,
Quarterly Results,Operating Profit,1.99,1.95,1.55,1.53,1.70,1.00,0.79,1.20,1.58,0.90,1.40,0.19,,,
Quarterly Results,OPM %,7.31%,7.38%,7.09%,7.69%,7.30%,3.63%,3.04%,3.70%,5.43%,2.65%,4.33%,0.56%,,,
Quarterly Results,Other Income,0.37,0.22,0.71,0.52,0.54,0.49,0.89,0.41,0.31,0.91,0.09,0.85,,,
Quarterly Results,Interest,0.36,0.44,0.70,0.72,0.79,0.75,0.93,0.80,0.80,0.82,0.82,0.75,,,
Quarterly Results,Depreciation,0.28,0.29,0.29,0.54,0.58,0.57,0.61,0.63,0.63,0.64,0.65,0.74,,,
Quarterly Results,Profit before tax,1.72,1.44,1.27,0.79,0.87,0.17,0.14,0.18,0.46,0.35,0.02,-0.45,,,
Quarterly Results,Tax %,27.33%,24.31%,20.47%,36.71%,31.03%,29.41%,50.00%,27.78%,34.78%,25.71%,150.00%,-28.89%,,,
Quarterly Results,Net Profit,1.25,1.09,1.01,0.50,0.61,0.11,0.07,0.13,0.30,0.26,0.00,-0.34,,,
Quarterly Results,EPS in Rs,0.71,0.65,0.58,0.22,0.20,0.04,0.02,0.04,0.11,0.10,0.00,-0.14,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,95,,,,109,,,,129,45,49,80
Profit & Loss,Expenses,,,,88,,,,104,,,,125,43,47,73
Profit & Loss,Operating Profit,,,,7,,,,5,,,,4,2,2,7
Profit & Loss,OPM %,,,,8%,,,,5%,,,,3%,5%,4%,9%
Profit & Loss,Other Income,,,,2,,,,2,,,,2,0,1,1
Profit & Loss,Interest,,,,3,,,,4,,,,3,1,2,1
Profit & Loss,Depreciation,,,,1,,,,2,,,,3,1,1,1
Profit & Loss,Profit before tax,,,,5,,,,1,,,,0,1,1,5
Profit & Loss,Tax %,,,,27%,,,,32%,,,,39%,49%,43%,20%
Profit & Loss,Net Profit,,,,4,,,,1,,,,0,0,0,4
Profit & Loss,EPS in Rs,,,,1.33,,,,0.31,,,,0.08,0.24,0.19,2.69
Profit & Loss,Dividend Payout %,,,,38%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,26,,,,26,,,,26,16,16,16
Balance Sheet,Reserves,,,,59,,,,58,,,,61,3,4,8
Balance Sheet,Borrowings,,,,25,,,,31,,,,28,11,10,30
Balance Sheet,Other Liabilities,,,,16,,,,17,,,,12,7,7,14
Balance Sheet,Total Liabilities,,,,126,,,,132,,,,128,37,36,69
Balance Sheet,Fixed Assets,,,,47,,,,51,,,,55,13,13,19
Balance Sheet,CWIP,,,,1,,,,1,,,,0,0,0,7
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,,,,78,,,,80,,,,73,24,23,43
Balance Sheet,Total Assets,,,,126,,,,132,,,,128,37,36,69
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-17,,,,0,,,,8,3,3,-1
Cash Flows,Cash from Investing Activity,,,,-20,,,,2,,,,-6,-1,-1,-11
Cash Flows,Cash from Financing Activity,,,,46,,,,-5,,,,-5,-2,-2,11
Cash Flows,Net Cash Flow,,,,9,,,,-3,,,,-3,1,-0,-1
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,62,,,,74,,,,60,71,67,63
Ratios,Inventory Days,,,,162,,,,167,,,,166,66,61,101
Ratios,Days Payable,,,,52,,,,49,,,,38,45,49,51
Ratios,Cash Conversion Cycle,,,,172,,,,191,,,,189,91,79,113
Ratios,Working Capital Days,,,,165,,,,177,,,,158,127,115,130
Ratios,ROCE %,,,,9%,,,,4%,,,,3%,,7%,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,60.46%,60.46%,60.46%,60.46%,60.46%,60.46%,60.46%,60.46%,60.46%,,,
Shareholding Pattern (Quarterly),FIIs,,,,11.80%,6.55%,4.19%,3.58%,3.15%,3.63%,3.64%,3.63%,3.63%,,,
Shareholding Pattern (Quarterly),DIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,,,
Shareholding Pattern (Quarterly),Public,,,,27.73%,33.00%,35.34%,35.96%,36.40%,35.91%,35.91%,35.86%,35.87%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,11023,9314,8503,7707,7897,7502,8032,7435,7261,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,60.46%,,,,60.46%,,,,60.46%,,,
Shareholding Pattern (Yearly),FIIs,,,,11.80%,,,,3.15%,,,,3.63%,,,
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.04%,,,
Shareholding Pattern (Yearly),Public,,,,27.73%,,,,36.40%,,,,35.87%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,11023,,,,7897,,,,7261,,,
,,,,,,,,,,,,,,,,
