Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,137,211,107,226,191,349,371,503,528,639,732,911,1275,,,,,,,,,
Quarterly Results,Expenses,422,239,131,402,218,317,322,411,429,503,559,707,1021,,,,,,,,,
Quarterly Results,Operating Profit,-285,-28,-24,-175,-27,31,48,93,99,136,173,204,254,,,,,,,,,
Quarterly Results,OPM %,-207%,-13%,-22%,-78%,-14%,9%,13%,18%,19%,21%,24%,22%,20%,,,,,,,,,
Quarterly Results,Other Income,47,2,0,3,-0,4,16,1,21,15,9,68,36,,,,,,,,,
Quarterly Results,Interest,83,82,90,94,65,70,64,63,57,58,44,34,35,,,,,,,,,
Quarterly Results,Depreciation,20,26,24,26,26,29,26,28,30,42,44,47,48,,,,,,,,,
Quarterly Results,Profit before tax,-341,-134,-137,-293,-119,-63,-26,3,31,51,94,190,208,,,,,,,,,
Quarterly Results,Tax %,-25%,-3%,-3%,-2%,0%,2%,4%,45%,-4%,2%,4%,42%,8%,,,,,,,,,
Quarterly Results,Net Profit,-256,-130,-134,-288,-119,-65,-27,2,33,50,90,110,190,,,,,,,,,
Quarterly Results,EPS in Rs,-2.88,-1.17,-1.20,-2.59,-0.90,-0.49,-0.18,0.01,0.36,0.40,0.71,0.89,1.43,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,625,,,,733,,,,1743,,,,3557,1567,2709,4445,3405,465,1436,760,711,
Profit & Loss,Expenses,925,,,,926,,,,1475,,,,2800,1391,2284,3711,2863,548,1287,877,902,
Profit & Loss,Operating Profit,-300,,,,-193,,,,269,,,,757,176,425,734,542,-83,149,-116,-191,
Profit & Loss,OPM %,-48%,,,,-26%,,,,15%,,,,21%,11%,16%,17%,16%,-18%,10%,-15%,-27%,
Profit & Loss,Other Income,19,,,,-65,,,,40,,,,134,9,47,48,84,26,23,11,76,
Profit & Loss,Interest,283,,,,327,,,,248,,,,169,46,62,98,155,171,169,244,255,
Profit & Loss,Depreciation,89,,,,98,,,,110,,,,182,12,20,35,44,52,66,80,88,
Profit & Loss,Profit before tax,-653,,,,-684,,,,-49,,,,539,128,389,649,427,-280,-62,-430,-459,
Profit & Loss,Tax %,-26%,,,,4%,,,,7%,,,,19%,-4%,24%,29%,29%,-33%,-36%,-35%,-33%,
Profit & Loss,Net Profit,-483,,,,-712,,,,-53,,,,438,132,296,461,303,-188,-40,-279,-307,
Profit & Loss,EPS in Rs,-5.41,,,,-5.43,,,,-0.31,,,,3.44,1.65,3.34,5.20,3.42,-2.11,-0.45,-3.15,-3.44,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,222,,,,326,,,,326,,,,1624,200,222,222,222,222,222,222,222,
Balance Sheet,Reserves,688,,,,1387,,,,1371,,,,3423,228,1170,1665,1968,1782,1743,1464,1094,
Balance Sheet,Borrowings,2637,,,,2416,,,,3248,,,,1500,557,874,1457,1674,1062,1305,1121,1566,
Balance Sheet,Other Liabilities,2417,,,,1912,,,,1849,,,,2248,495,930,1434,1291,1032,1471,2485,2582,
Balance Sheet,Total Liabilities,5965,,,,6041,,,,6795,,,,8795,1480,3196,4778,5155,4098,4741,5292,5464,
Balance Sheet,Fixed Assets,1343,,,,1619,,,,1813,,,,2291,174,203,527,765,985,973,1228,1191,
Balance Sheet,CWIP,148,,,,123,,,,266,,,,296,25,49,43,112,20,66,33,230,
Balance Sheet,Investments,33,,,,1,,,,0,,,,446,45,0,63,253,0,91,94,33,
Balance Sheet,Other Assets,4440,,,,4298,,,,4716,,,,5763,1235,2944,4146,4024,3094,3611,3936,4010,
Balance Sheet,Total Assets,5965,,,,6041,,,,6795,,,,8795,1480,3196,4778,5155,4098,4741,5292,5464,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-475,,,,-1100,,,,-360,,,,138,-76,-106,-163,114,269,147,733,-112,
Cash Flows,Cash from Investing Activity,-74,,,,231,,,,-528,,,,-406,-44,-148,-968,-5,332,-264,-346,-49,
Cash Flows,Cash from Financing Activity,486,,,,824,,,,878,,,,277,120,958,501,19,-760,76,-385,282,
Cash Flows,Net Cash Flow,-62,,,,-45,,,,-9,,,,9,0,704,-630,128,-159,-40,2,122,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,627,,,,412,,,,238,,,,276,165,193,198,255,1051,414,635,538,
Ratios,Inventory Days,940,,,,843,,,,441,,,,238,105,93,74,133,2865,411,1363,733,
Ratios,Days Payable,663,,,,460,,,,214,,,,188,164,155,158,187,1653,387,1446,829,
Ratios,Cash Conversion Cycle,905,,,,795,,,,465,,,,326,107,130,115,202,2263,438,552,442,
Ratios,Working Capital Days,489,,,,745,,,,397,,,,330,134,157,162,212,993,331,133,144,
Ratios,ROCE %,-11%,,,,-7%,,,,4%,,,,11%,21%,28%,26%,16%,-3%,3%,-6%,-8%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,72.24%,72.24%,72.01%,72.01%,64.64%,52.87%,52.87%,48.27%,48.27%,48.27%,48.27%,,,,,,,,,44.18%
Shareholding Pattern (Quarterly),FIIs,,,2.51%,2.20%,1.89%,2.57%,3.48%,9.49%,9.47%,13.37%,15.82%,15.26%,15.68%,,,,,,,,,13.70%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.09%,6.54%,9.88%,10.16%,9.75%,9.09%,9.80%,9.44%,,,,,,,,,9.11%
Shareholding Pattern (Quarterly),Public,,,25.26%,25.56%,26.10%,25.33%,25.34%,27.76%,27.49%,28.62%,26.83%,26.68%,26.61%,,,,,,,,,33.01%
Shareholding Pattern (Quarterly),No. of Shareholders,,,54834,54141,53212,53906,70512,87902,117484,226975,327516,387105,380249,,,,,,,,,424114
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.55%,,,,72.01%,,,,52.87%,,,,48.27%,,,,85.62%,75.00%,75.00%,75.00%,73.39%,44.18%
Shareholding Pattern (Yearly),FIIs,2.74%,,,,1.89%,,,,9.47%,,,,15.68%,,,,1.13%,7.28%,6.92%,1.91%,1.78%,13.70%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,10.16%,,,,9.44%,,,,2.56%,0.34%,0.77%,0.53%,0.00%,9.11%
