Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,May 2025
Quarterly Results,Revenue,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,
,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,68.18%,68.18%,68.18%,67.92%,57.70%,57.71%,57.71%,57.71%,57.71%,57.71%,55.21%
Shareholding Pattern (Quarterly),FIIs,5.32%,5.98%,5.43%,5.15%,6.74%,5.97%,3.95%,2.82%,0.56%,1.69%,2.59%
Shareholding Pattern (Quarterly),DIIs,12.77%,13.56%,16.51%,15.37%,22.81%,23.28%,22.79%,19.19%,18.13%,16.91%,16.15%
Shareholding Pattern (Quarterly),Public,13.39%,12.00%,9.62%,11.02%,12.26%,12.65%,15.17%,19.90%,23.24%,23.32%,25.83%
Shareholding Pattern (Quarterly),Others,0.34%,0.28%,0.25%,0.54%,0.48%,0.40%,0.37%,0.37%,0.37%,0.37%,0.23%
Shareholding Pattern (Quarterly),No. of Shareholders,45131,35522,42478,59394,56824,56759,61087,77706,80999,77226,77575
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,68.18%,,,,57.71%,,,,57.71%,55.21%
Shareholding Pattern (Yearly),FIIs,,5.98%,,,,5.97%,,,,1.69%,2.59%
Shareholding Pattern (Yearly),DIIs,,13.56%,,,,23.28%,,,,16.91%,16.15%
Shareholding Pattern (Yearly),Public,,12.00%,,,,12.65%,,,,23.32%,25.83%
Shareholding Pattern (Yearly),Others,,0.28%,,,,0.40%,,,,0.37%,0.23%
Shareholding Pattern (Yearly),No. of Shareholders,,35522,,,,56759,,,,77226,77575
,,,,,,,,,,,,
