Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Quarterly Results,Sales,60,68,69,76,71,85,62,106,85,99,96,113,,,,,,
Quarterly Results,Expenses,30,33,32,38,38,41,39,75,66,74,66,76,,,,,,
Quarterly Results,Operating Profit,31,35,37,38,33,44,23,30,19,25,30,37,,,,,,
Quarterly Results,OPM %,51%,52%,53%,51%,47%,52%,37%,29%,22%,26%,31%,33%,,,,,,
Quarterly Results,Other Income,2,1,2,1,2,3,3,3,3,8,1,4,,,,,,
Quarterly Results,Interest,1,1,1,2,1,0,3,4,4,5,5,5,,,,,,
Quarterly Results,Depreciation,3,3,5,5,5,7,10,12,11,14,17,20,,,,,,
Quarterly Results,Profit before tax,28,32,33,34,29,39,14,17,6,15,8,16,,,,,,
Quarterly Results,Tax %,26%,25%,26%,26%,26%,25%,27%,40%,36%,31%,35%,34%,,,,,,
Quarterly Results,Net Profit,21,24,25,25,21,29,10,10,4,10,5,10,,,,,,
Quarterly Results,EPS in Rs,1095.21,1225.81,4.88,4.89,4.04,5.54,1.87,1.94,0.76,1.93,0.99,1.92,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,229,,,,301,,296,,,,392,,,,,,
Profit & Loss,Expenses,,125,,,,148,,196,,,,282,,,,,,
Profit & Loss,Operating Profit,,103,,,,153,,100,,,,111,,,,,,
Profit & Loss,OPM %,,45%,,,,51%,,34%,,,,28%,,,,,,
Profit & Loss,Other Income,,5,,,,8,,11,,,,16,,,,,,
Profit & Loss,Interest,,3,,,,4,,10,,,,19,,,,,,
Profit & Loss,Depreciation,,14,,,,22,,40,,,,62,,,,,,
Profit & Loss,Profit before tax,,92,,,,135,,61,,,,45,,,,,,
Profit & Loss,Tax %,,25%,,,,25%,,30%,,,,34%,,,,,,
Profit & Loss,Net Profit,,69,,,,101,,43,,,,30,,,,,,
Profit & Loss,EPS in Rs,,3583.25,,,,18.92,,8.01,,,,5.60,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,25%,,,,0%,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,0.19,,,,11,,11,,,,11,,,,,,
Balance Sheet,Reserves,,244,,,,479,,602,,,,620,,,,,,
Balance Sheet,Borrowings,,34,,,,22,,269,,,,339,,,,,,
Balance Sheet,Other Liabilities,,18,,,,33,,90,,,,111,,,,,,
Balance Sheet,Total Liabilities,,296,,,,544,,972,,,,1080,,,,,,
Balance Sheet,Fixed Assets,,120,,,,189,,336,,,,536,,,,,,
Balance Sheet,CWIP,,22,,,,32,,267,,,,233,,,,,,
Balance Sheet,Investments,,0,,,,0,,0,,,,0,,,,,,
Balance Sheet,Other Assets,,153,,,,323,,369,,,,311,,,,,,
Balance Sheet,Total Assets,,296,,,,544,,972,,,,1080,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,68,,,,83,,103,,,,114,,,,,,
Cash Flows,Cash from Investing Activity,,-64,,,,-138,,-285,,,,-145,,,,,,
Cash Flows,Cash from Financing Activity,,-27,,,,130,,136,,,,39,,,,,,
Cash Flows,Net Cash Flow,,-23,,,,75,,-47,,,,8,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,75,,,,79,,96,,,,74,,,,,,
Ratios,Inventory Days,,277,,,,478,,572,,,,355,,,,,,
Ratios,Days Payable,,35,,,,75,,65,,,,44,,,,,,
Ratios,Cash Conversion Cycle,,317,,,,482,,602,,,,385,,,,,,
Ratios,Working Capital Days,,108,,,,150,,193,,,,156,,,,,,
Ratios,ROCE %,,,,,,35%,,,,,,7%,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%
Shareholding Pattern (Quarterly),FIIs,,,,,,,6.83%,8.16%,7.95%,8.04%,7.51%,9.53%,9.33%,9.90%,9.60%,9.16%,8.64%,7.85%
Shareholding Pattern (Quarterly),DIIs,,,,,,,2.60%,0.17%,0.11%,0.21%,0.51%,0.30%,8.06%,8.13%,8.52%,8.45%,7.38%,3.15%
Shareholding Pattern (Quarterly),Public,,,,,,,43.27%,44.36%,44.63%,44.45%,44.69%,42.89%,35.31%,34.67%,34.59%,35.09%,36.67%,41.68%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,107564,102866,105330,99586,96927,93417,112227,107011,107945,105304,107440,108236
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,47.31%,,47.31%,,,,47.31%,,,,47.31%,,
Shareholding Pattern (Yearly),FIIs,,,,,,9.12%,,8.16%,,,,9.53%,,,,9.16%,,
Shareholding Pattern (Yearly),DIIs,,,,,,7.76%,,0.17%,,,,0.30%,,,,8.45%,,
Shareholding Pattern (Yearly),Public,,,,,,35.82%,,44.36%,,,,42.89%,,,,35.09%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,125714,,102866,,,,93417,,,,105304,,
,,,,,,,,,,,,,,,,,,,
