Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,257,298,215,228,230,251,265,247,271,250,313,237,245,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,225,220,393,184,184,197,210,215,225,212,244,225,215,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,32,78,-177,44,46,54,55,31,45,37,69,12,31,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,12%,26%,-82%,19%,20%,21%,21%,13%,17%,15%,22%,5%,12%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,125,40,12,7,6,10,13,20,7,15,32,42,26,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,25,32,33,36,38,36,33,35,36,36,29,37,35,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,48,50,54,49,57,52,46,54,54,56,59,59,68,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,84,36,-252,-34,-42,-23,-12,-38,-38,-40,13,-42,-46,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-47%,-49%,-7%,-14%,-100%,-107%,-217%,-25%,-27%,-34%,-575%,-7%,2%,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,124,53,-234,-30,0,2,14,-29,-27,-27,84,-39,-46,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,32.09,16.88,-80.78,-7.96,-3.41,-1.58,3.15,-9.39,-8.87,-8.97,23.46,-11.53,-14.23,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
