Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,46.38,49.30,49.46,57.40,53.17,51.23,58.12,75.31,,,,
Quarterly Results,Expenses,37.87,39.97,42.07,43.87,42.30,41.85,50.40,62.49,,,,
Quarterly Results,Operating Profit,8.51,9.33,7.39,13.53,10.87,9.38,7.72,12.82,,,,
Quarterly Results,OPM %,18.35%,18.92%,14.94%,23.57%,20.44%,18.31%,13.28%,17.02%,,,,
Quarterly Results,Other Income,0.35,0.15,1.06,-2.04,0.58,0.00,2.11,1.43,,,,
Quarterly Results,Interest,1.51,1.49,1.60,1.54,1.25,1.07,0.57,0.92,,,,
Quarterly Results,Depreciation,1.69,1.69,1.79,1.70,1.94,1.95,2.02,2.05,,,,
Quarterly Results,Profit before tax,5.66,6.30,5.06,8.25,8.26,6.36,7.24,11.28,,,,
Quarterly Results,Tax %,19.79%,16.98%,-14.03%,19.52%,23.85%,17.45%,26.93%,11.35%,,,,
Quarterly Results,Net Profit,4.54,5.22,5.77,6.64,6.28,5.24,5.28,9.99,,,,
Quarterly Results,EPS in Rs,17.96,5.16,5.83,6.77,6.22,4.14,4.18,7.88,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,203,,,,238,102,106,145,165
Profit & Loss,Expenses,,,,163,,,,197,93,94,125,138
Profit & Loss,Operating Profit,,,,39,,,,41,9,12,20,28
Profit & Loss,OPM %,,,,19%,,,,17%,9%,12%,14%,17%
Profit & Loss,Other Income,,,,-1,,,,4,2,1,2,11
Profit & Loss,Interest,,,,7,,,,4,6,6,5,6
Profit & Loss,Depreciation,,,,7,,,,8,5,6,6,6
Profit & Loss,Profit before tax,,,,25,,,,33,0,2,11,27
Profit & Loss,Tax %,,,,13%,,,,19%,-229%,-13%,41%,12%
Profit & Loss,Net Profit,,,,22,,,,27,1,2,7,24
Profit & Loss,EPS in Rs,,,,22.08,,,,21.14,4.91,8.94,26.23,95.77
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,10,,,,13,3,3,3,3
Balance Sheet,Reserves,,,,95,,,,244,48,50,57,81
Balance Sheet,Borrowings,,,,57,,,,24,61,59,57,60
Balance Sheet,Other Liabilities,,,,27,,,,39,28,24,29,26
Balance Sheet,Total Liabilities,,,,189,,,,320,140,136,146,170
Balance Sheet,Fixed Assets,,,,64,,,,84,56,58,56,61
Balance Sheet,CWIP,,,,7,,,,11,7,4,3,5
Balance Sheet,Investments,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,,118,,,,225,78,74,86,105
Balance Sheet,Total Assets,,,,189,,,,320,140,136,146,170
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,16,,,,3,9,15,12,16
Cash Flows,Cash from Investing Activity,,,,-3,,,,-92,-10,-5,-7,-12
Cash Flows,Cash from Financing Activity,,,,-12,,,,89,1,-8,-7,-4
Cash Flows,Net Cash Flow,,,,1,,,,0,0,2,-2,0
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,85,,,,109,82,73,64,66
Ratios,Inventory Days,,,,254,,,,267,399,354,307,305
Ratios,Days Payable,,,,60,,,,68,137,95,85,44
Ratios,Cash Conversion Cycle,,,,279,,,,308,344,333,285,327
Ratios,Working Capital Days,,,,160,,,,189,165,155,148,159
Ratios,ROCE %,,,,23%,,,,17%,,7%,15%,18%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,55.45%,55.45%,55.31%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.37%,2.03%,1.32%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,6.12%,5.39%,4.84%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,36.07%,37.14%,38.52%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,22980,23245,25247,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,55.31%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,1.32%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,4.84%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,38.52%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,25247,,,,
,,,,,,,,,,,,,
