Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,973,1148,1231,1463,1302,1422,1507,1789,1668,1746,1875,2267,2062,,,,
Quarterly Results,Expenses,935,1102,1170,1385,1231,1348,1426,1690,1575,1650,1771,2126,1928,,,,
Quarterly Results,Operating Profit,39,46,61,78,71,73,81,99,93,96,104,141,133,,,,
Quarterly Results,OPM %,4%,4%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,,,,
Quarterly Results,Other Income,11,8,6,6,10,7,9,8,7,7,5,6,9,,,,
Quarterly Results,Interest,13,15,20,20,19,19,21,22,21,21,24,32,30,,,,
Quarterly Results,Depreciation,30,31,38,51,53,52,55,58,60,60,64,70,73,,,,
Quarterly Results,Profit before tax,6,8,9,13,9,10,13,26,20,22,21,45,40,,,,
Quarterly Results,Tax %,-30%,32%,35%,27%,51%,34%,30%,31%,50%,36%,37%,39%,52%,,,,
Quarterly Results,Net Profit,8,5,5,8,2,5,8,17,9,14,13,26,19,,,,
Quarterly Results,EPS in Rs,0.03,0.02,0.01,0.03,0.01,0.01,0.02,0.06,0.02,0.03,0.04,0.09,0.07,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3774,,,,5144,,,,6386,,,,7950,574,1111,1768,2441
Profit & Loss,Expenses,3610,,,,4887,,,,6039,,,,7476,601,1091,1685,2283
Profit & Loss,Operating Profit,164,,,,257,,,,347,,,,474,-27,21,83,158
Profit & Loss,OPM %,4%,,,,5%,,,,5%,,,,6%,-5%,2%,5%,6%
Profit & Loss,Other Income,27,,,,30,,,,30,,,,27,4,5,10,12
Profit & Loss,Interest,47,,,,76,,,,84,,,,107,7,27,46,32
Profit & Loss,Depreciation,96,,,,173,,,,224,,,,266,7,31,60,72
Profit & Loss,Profit before tax,47,,,,38,,,,69,,,,127,-37,-32,-12,66
Profit & Loss,Tax %,13%,,,,35%,,,,37%,,,,42%,-25%,-23%,31%,7%
Profit & Loss,Net Profit,41,,,,21,,,,40,,,,72,-28,-25,-16,62
Profit & Loss,EPS in Rs,0.14,,,,0.07,,,,0.11,,,,0.23,-3.47,-2.87,-1.90,6.82
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,47,,,,285,,,,286,,,,286,14,14,15,15
Balance Sheet,Reserves,1292,,,,1093,,,,977,,,,1015,108,216,307,475
Balance Sheet,Borrowings,593,,,,798,,,,969,,,,1321,83,310,413,333
Balance Sheet,Other Liabilities,714,,,,773,,,,1169,,,,1358,148,235,390,479
Balance Sheet,Total Liabilities,2646,,,,2950,,,,3401,,,,3980,353,776,1124,1302
Balance Sheet,Fixed Assets,483,,,,699,,,,668,,,,868,34,140,227,231
Balance Sheet,CWIP,24,,,,31,,,,30,,,,3,0,0,2,2
Balance Sheet,Investments,0,,,,38,,,,34,,,,0,10,138,4,1
Balance Sheet,Other Assets,2138,,,,2182,,,,2668,,,,3108,308,497,892,1067
Balance Sheet,Total Assets,2646,,,,2950,,,,3401,,,,3980,353,776,1124,1302
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-354,,,,-140,,,,0,,,,467,-79,-100,6,133
Cash Flows,Cash from Investing Activity,-603,,,,140,,,,-10,,,,-205,31,-162,15,-130
Cash Flows,Cash from Financing Activity,927,,,,5,,,,44,,,,-212,82,236,69,-38
Cash Flows,Net Cash Flow,-30,,,,4,,,,34,,,,49,33,-26,90,-34
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,9,,,,12,,,,14,,,,11,45,19,20,11
Ratios,Inventory Days,150,,,,128,,,,119,,,,116,114,135,160,122
Ratios,Days Payable,62,,,,34,,,,39,,,,52,123,100,113,77
Ratios,Cash Conversion Cycle,97,,,,106,,,,94,,,,75,35,54,68,56
Ratios,Working Capital Days,105,,,,81,,,,56,,,,60,53,61,53,37
Ratios,ROCE %,7%,,,,6%,,,,7%,,,,10%,,-1%,5%,13%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.41%,52.38%,52.34%,52.28%,52.28%,52.26%,52.24%,52.22%,52.20%,52.18%,52.16%,52.16%,,,,
Shareholding Pattern (Quarterly),FIIs,,6.54%,6.57%,11.06%,12.26%,10.04%,9.84%,10.65%,10.32%,10.48%,10.13%,9.05%,8.83%,,,,
Shareholding Pattern (Quarterly),DIIs,,2.95%,3.01%,6.35%,7.86%,11.58%,14.31%,15.25%,17.16%,18.29%,21.83%,23.56%,25.20%,,,,
Shareholding Pattern (Quarterly),Public,,38.10%,38.03%,30.24%,27.62%,26.10%,23.60%,21.87%,20.31%,19.02%,15.86%,15.23%,13.81%,,,,
