Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,282,282,277,217,240,234,150,81,2,11,6,13,19,,,,,,,,,,,,,,,
Quarterly Results,Expenses,181,166,134,131,111,292,165,100,52,97,58,49,48,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,101,116,143,86,129,-58,-15,-19,-50,-86,-52,-35,-29,,,,,,,,,,,,,,,
Quarterly Results,OPM %,36%,41%,51%,40%,54%,-25%,-10%,-23%,-1991%,-802%,-816%,-262%,-155%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,128,-64,17,7,3,50,17,13,15,30,24,11,-68,,,,,,,,,,,,,,,
Quarterly Results,Interest,89,82,72,75,69,74,26,19,15,6,14,24,16,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,49,49,65,60,63,69,40,19,2,2,2,1,1,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,91,-79,24,-41,1,-151,-64,-45,-52,-63,-42,-49,-113,,,,,,,,,,,,,,,
Quarterly Results,Tax %,7%,8%,69%,29%,2122%,8%,0%,1%,-0%,0%,-2%,6%,3%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,85,-85,3,-53,-13,-163,-64,-45,-52,-63,-42,-52,-116,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.87,-5.00,0.28,-2.81,-0.66,-8.83,-3.47,-2.46,-2.69,-3.16,-2.26,-2.82,-6.32,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1123,,,,967,,,,245,,,,1080,1280,1198,2009,1905,1729,2322,2815,2056,49,,,,,
Profit & Loss,Expenses,,675,,,,673,,,,406,,,,731,915,886,1564,374,440,1449,1855,1699,251,,,,,
Profit & Loss,Operating Profit,,448,,,,295,,,,-162,,,,349,365,312,445,1531,1289,873,960,358,-202,,,,,
Profit & Loss,OPM %,,40%,,,,30%,,,,-66%,,,,32%,29%,26%,22%,80%,75%,38%,34%,17%,-411%,,,,,
Profit & Loss,Other Income,,97,,,,78,,,,68,,,,56,22,42,31,71,244,125,94,406,-2,,,,,
Profit & Loss,Interest,,343,,,,289,,,,67,,,,377,376,380,404,642,493,470,464,414,60,,,,,
Profit & Loss,Depreciation,,253,,,,256,,,,63,,,,95,99,130,180,1012,868,419,494,392,4,,,,,
Profit & Loss,Profit before tax,,-51,,,,-172,,,,-224,,,,-66,-88,-156,-107,-52,172,109,95,-43,-267,,,,,
Profit & Loss,Tax %,,50%,,,,31%,,,,0%,,,,-19%,5%,-15%,7%,-30%,37%,35%,41%,99%,,,,,,
Profit & Loss,Net Profit,,-77,,,,-225,,,,-225,,,,-53,-93,-128,-115,-37,109,71,56,-86,-273,,,,,
Profit & Loss,EPS in Rs,,-4.18,,,,-12.02,,,,-11.78,,,,-4.77,-9.29,-12.92,-10.34,-2.25,6.70,4.37,3.07,-4.21,-14.56,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,-9%,4%,7%,10%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,183,,,,183,,,,183,,186,,100,100,100,111,163,163,163,183,183,,,,,,
Balance Sheet,Reserves,,-79,,,,-298,,,,-650,,-584,,7,-85,-188,-338,-275,-170,-103,82,-2,,,,,,
