Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,461,563,579,613,648,735,841,929,949,1051,1034,1120,,,
Quarterly Results,Expenses,297,331,336,378,357,375,396,464,457,488,453,545,,,
Quarterly Results,Operating Profit,163,231,243,235,290,360,445,465,493,563,582,575,,,
Quarterly Results,OPM %,35%,41%,42%,38%,45%,49%,53%,50%,52%,54%,56%,51%,,,
Quarterly Results,Other Income,2,4,6,7,4,3,2,0,7,5,1,9,,,
Quarterly Results,Interest,82,102,114,99,119,147,171,183,183,200,225,215,,,
Quarterly Results,Depreciation,15,19,23,31,22,24,45,45,20,21,24,29,,,
Quarterly Results,Profit before tax,69,113,112,112,153,191,231,237,297,347,334,340,,,
Quarterly Results,Tax %,31%,25%,22%,24%,19%,24%,24%,24%,26%,26%,25%,25%,,,
Quarterly Results,Net Profit,47,85,87,85,123,145,176,181,221,257,252,255,,,
Quarterly Results,EPS in Rs,,,,,35.09,41.39,50.06,51.19,62.44,72.13,70.27,71.00,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,2223,,,,3156,,,,4158,780,1384,1778
Profit & Loss,Expenses,,,,1340,,,,1591,,,,1942,281,939,1132
Profit & Loss,Operating Profit,,,,883,,,,1565,,,,2216,499,444,646
Profit & Loss,OPM %,,,,40%,,,,50%,,,,53%,64%,32%,36%
Profit & Loss,Other Income,,,,8,,,,3,,,,18,76,-565,638
Profit & Loss,Interest,,,,396,,,,620,,,,822,200,246,278
Profit & Loss,Depreciation,,,,89,,,,136,,,,94,15,50,71
Profit & Loss,Profit before tax,,,,406,,,,812,,,,1318,360,-417,935
Profit & Loss,Tax %,,,,25%,,,,23%,,,,25%,21%,14%,8%
Profit & Loss,Net Profit,,,,305,,,,625,,,,985,286,-475,857
Profit & Loss,EPS in Rs,,,,,,,,177.10,,,,274.13,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,78%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,35,,,,35,,,,36,26,35,35
Balance Sheet,Reserves,,,,2219,,,,2859,,,,3454,1056,1592,1896
Balance Sheet,Borrowings,,,,5413,,,,6746,,,,7839,1287,1428,3549
Balance Sheet,Other Liabilities,,,,5048,,,,10747,,,,17059,2841,4397,5119
Balance Sheet,Total Liabilities,,,,12716,,,,20387,,,,28388,5211,7451,10598
Balance Sheet,Fixed Assets,,,,284,,,,290,,,,317,108,162,219
Balance Sheet,CWIP,,,,25,,,,8,,,,0,4,22,18
Balance Sheet,Investments,,,,170,,,,170,,,,221,665,25,70
Balance Sheet,Other Assets,,,,12237,,,,19920,,,,27850,4434,7242,10292
Balance Sheet,Total Assets,,,,12716,,,,20387,,,,28388,5211,7451,10598
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-1865,,,,-1658,,,,-371,-500,-1108,-1425
Cash Flows,Cash from Investing Activity,,,,-173,,,,-79,,,,-65,-112,-124,-81
Cash Flows,Cash from Financing Activity,,,,1825,,,,1316,,,,601,235,877,2139
Cash Flows,Net Cash Flow,,,,-212,,,,-422,,,,164,-376,-354,633
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,146,,,,76,,,,66,163,72,183
Ratios,Inventory Days,,,,,,,,,,,,,1378,,
Ratios,Days Payable,,,,,,,,,,,,,748,,
Ratios,Cash Conversion Cycle,,,,146,,,,76,,,,66,793,72,183
Ratios,Working Capital Days,,,,-277,,,,-964,,,,-1224,-912,-860,-503
Ratios,ROCE %,,,,12%,,,,17%,,,,20%,,17%,14%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,56.19%,56.19%,55.95%,55.81%,55.68%,55.17%,54.93%,54.79%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,9.40%,9.45%,7.16%,6.91%,6.73%,13.87%,15.46%,16.58%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,0.79%,0.78%,0.92%,1.26%,1.43%,1.53%,4.71%,5.80%,,,
Shareholding Pattern (Quarterly),Public,,,,,32.17%,32.13%,35.95%,36.00%,36.15%,29.39%,24.90%,22.83%,,,
Shareholding Pattern (Quarterly),Others,,,,,1.43%,1.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,95067,94906,78627,79220,92591,110219,128525,133244,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,55.81%,,,,54.79%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,6.91%,,,,16.58%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,1.26%,,,,5.80%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,36.00%,,,,22.83%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,79220,,,,133244,,,
,,,,,,,,,,,,,,,,
