Section,,Mar 2002,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,122,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,108,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,14,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,11%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,12,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,11%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,11,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,8%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,114,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,4,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,15,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,137,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,81,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,6,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,48,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,137,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,39,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,104,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,30,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,113,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,74,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.83%,74.83%,74.83%,74.83%,74.83%,74.83%,74.83%,74.83%,74.83%,74.88%,74.88%,74.88%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.27%,0.27%,0.29%,0.27%,0.27%,0.27%,0.27%,0.27%,0.38%,0.39%,0.34%,0.31%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.17%,0.17%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,,,,,,
Shareholding Pattern (Quarterly),Government,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,
Shareholding Pattern (Quarterly),Public,,24.71%,24.72%,24.70%,24.74%,24.74%,24.73%,24.75%,24.73%,24.62%,24.56%,24.60%,24.63%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,15835,15856,15345,15341,15116,15029,15437,14968,62440,22500,22414,21663,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,74.83%,,,,74.83%,,,,74.88%,75.00%,74.76%,74.99%,74.99%,74.97%,74.83%
Shareholding Pattern (Yearly),FIIs,,,,,0.27%,,,,0.27%,,,,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%
Shareholding Pattern (Yearly),DIIs,,,,,0.15%,,,,0.15%,,,,0.15%,0.17%,0.17%,0.16%,0.16%,0.16%,0.17%
Shareholding Pattern (Yearly),Government,,,,,0.02%,,,,0.02%,,,,0.02%,0.00%,0.00%,0.12%,0.02%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,,,,,24.74%,,,,24.73%,,,,24.63%,24.83%,25.08%,24.73%,24.83%,24.85%,24.70%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,15341,,,,14968,,,,21663,7686,7410,8422,8895,8651,16003
,,,,,,,,,,,,,,,,,,,,
