Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,302,330,343,342,343,341,361,354,352,,
Quarterly Results,Expenses,217,230,249,247,246,244,256,253,250,,
Quarterly Results,Operating Profit,86,100,94,95,97,98,105,101,102,,
Quarterly Results,OPM %,28%,30%,27%,28%,28%,29%,29%,29%,29%,,
Quarterly Results,Other Income,2,3,1,3,7,8,13,7,10,,
Quarterly Results,Interest,5,3,4,4,1,1,2,2,2,,
Quarterly Results,Depreciation,14,15,16,17,16,18,20,19,20,,
Quarterly Results,Profit before tax,68,85,74,78,87,86,97,87,90,,
Quarterly Results,Tax %,25%,25%,25%,25%,25%,26%,27%,26%,24%,,
Quarterly Results,Net Profit,51,64,55,58,66,64,71,65,68,,
Quarterly Results,EPS in Rs,5.66,7.16,6.17,6.15,6.98,6.77,7.58,6.85,7.18,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,1197,,,,1358,,,,1409,585,860
Profit & Loss,Expenses,856,,,,971,,,,1002,426,629
Profit & Loss,Operating Profit,341,,,,388,,,,407,159,231
Profit & Loss,OPM %,28%,,,,29%,,,,29%,27%,27%
Profit & Loss,Other Income,6,,,,13,,,,37,6,6
Profit & Loss,Interest,12,,,,12,,,,8,12,7
Profit & Loss,Depreciation,54,,,,65,,,,77,36,38
Profit & Loss,Profit before tax,280,,,,324,,,,360,117,192
Profit & Loss,Tax %,25%,,,,25%,,,,26%,26%,26%
Profit & Loss,Net Profit,209,,,,243,,,,267,86,142
Profit & Loss,EPS in Rs,23.32,,,,25.79,,,,28.38,965.92,15.90
Profit & Loss,Dividend Payout %,6%,,,,16%,,,,11%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,19,,,,19,9,18
Balance Sheet,Reserves,970,,,,1594,,,,1831,636,770
Balance Sheet,Borrowings,219,,,,143,,,,228,153,240
Balance Sheet,Other Liabilities,119,,,,130,,,,138,76,102
Balance Sheet,Total Liabilities,1326,,,,1886,,,,2215,874,1130
Balance Sheet,Fixed Assets,678,,,,744,,,,908,415,456
Balance Sheet,CWIP,75,,,,127,,,,123,40,212
Balance Sheet,Investments,0,,,,0,,,,80,0,0
Balance Sheet,Other Assets,573,,,,1016,,,,1105,419,461
Balance Sheet,Total Assets,1326,,,,1886,,,,2215,874,1130
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,209,,,,189,,,,292,60,80
Cash Flows,Cash from Investing Activity,-172,,,,-470,,,,-320,-59,-166
Cash Flows,Cash from Financing Activity,-37,,,,281,,,,40,-0,83
Cash Flows,Net Cash Flow,-0,,,,1,,,,12,1,-3
,,,,,,,,,,,,
Ratios,Debtor Days,94,,,,96,,,,110,103,94
Ratios,Inventory Days,112,,,,137,,,,143,176,173
Ratios,Days Payable,32,,,,34,,,,28,55,42
Ratios,Cash Conversion Cycle,175,,,,199,,,,226,225,226
Ratios,Working Capital Days,120,,,,140,,,,157,159,146
Ratios,ROCE %,26%,,,,23%,,,,19%,,22%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,78.60%,78.60%,78.60%,78.60%,78.60%,78.57%,,
Shareholding Pattern (Quarterly),FIIs,,,,2.06%,1.12%,2.24%,2.27%,2.28%,2.19%,,
Shareholding Pattern (Quarterly),DIIs,,,,5.83%,16.92%,16.69%,17.14%,17.06%,17.07%,,
Shareholding Pattern (Quarterly),Public,,,,13.50%,3.35%,2.47%,1.98%,2.05%,2.18%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,134839,93587,74090,65376,64982,64670,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,78.60%,,,,78.57%,,
Shareholding Pattern (Yearly),FIIs,,,,,1.12%,,,,2.19%,,
Shareholding Pattern (Yearly),DIIs,,,,,16.92%,,,,17.07%,,
Shareholding Pattern (Yearly),Public,,,,,3.35%,,,,2.18%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,93587,,,,64670,,
,,,,,,,,,,,,
