Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Quarterly Results,Sales,2557,2206,2087,2311,2598,2369,2309,2449,3008,2636,2273,2510,3027,,,,,,,,,
Quarterly Results,Expenses,2166,1937,1939,2007,2118,2047,1952,2070,2517,2249,1954,2201,2611,,,,,,,,,
Quarterly Results,Operating Profit,391,269,147,303,480,322,356,379,491,387,319,309,416,,,,,,,,,
Quarterly Results,OPM %,15%,12%,7%,13%,18%,14%,15%,15%,16%,15%,14%,12%,14%,,,,,,,,,
Quarterly Results,Other Income,78,63,24,36,61,36,37,42,59,59,43,31,45,,,,,,,,,
Quarterly Results,Interest,2,2,1,1,4,2,2,5,8,3,3,3,3,,,,,,,,,
Quarterly Results,Depreciation,59,62,65,65,72,72,72,77,77,86,90,91,91,,,,,,,,,
Quarterly Results,Profit before tax,409,268,105,273,465,283,319,338,465,357,270,245,367,,,,,,,,,
Quarterly Results,Tax %,21%,20%,22%,23%,23%,24%,24%,24%,24%,23%,23%,24%,20%,,,,,,,,,
Quarterly Results,Net Profit,324,214,82,210,359,216,243,256,355,273,207,187,294,,,,,,,,,
Quarterly Results,EPS in Rs,25.50,16.84,6.46,16.53,28.30,16.97,19.14,20.17,27.93,21.52,16.26,14.72,23.14,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7773,,,,9202,,,,10134,,,,10446,3961,4254,2960,4462,4969,5612,5512,6355,
Profit & Loss,Expenses,6531,,,,8002,,,,8587,,,,9015,3373,3588,2498,3700,4182,4827,4676,5071,
Profit & Loss,Operating Profit,1242,,,,1200,,,,1547,,,,1432,589,666,462,762,787,785,835,1284,
Profit & Loss,OPM %,16%,,,,13%,,,,15%,,,,14%,15%,16%,16%,17%,16%,14%,15%,20%,
Profit & Loss,Other Income,224,,,,183,,,,173,,,,178,6,5,-4,8,38,89,32,163,
Profit & Loss,Interest,5,,,,8,,,,16,,,,12,79,60,32,34,21,26,20,22,
Profit & Loss,Depreciation,230,,,,263,,,,298,,,,359,102,139,105,154,167,184,206,213,
Profit & Loss,Profit before tax,1232,,,,1111,,,,1405,,,,1239,414,472,322,582,637,664,641,1212,
Profit & Loss,Tax %,21%,,,,22%,,,,24%,,,,22%,34%,34%,37%,35%,32%,32%,27%,19%,
Profit & Loss,Net Profit,968,,,,865,,,,1070,,,,961,283,322,221,430,432,449,467,978,
Profit & Loss,EPS in Rs,76.24,,,,68.12,,,,84.21,,,,75.64,22.31,25.38,17.43,33.88,33.99,35.32,36.80,77.00,
Profit & Loss,Dividend Payout %,31%,,,,38%,,,,36%,,,,45%,36%,35%,43%,44%,35%,37%,38%,29%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,25,,,,25,,,,25,25,25,,25,25,25,25,25,25
Balance Sheet,Reserves,3819,,,,4377,,,,5083,,,,5635,1014,1186,,1670,1869,2129,2236,3144,1290
Balance Sheet,Borrowings,46,,,,51,,,,55,,,,76,473,393,,279,248,162,441,38,412
Balance Sheet,Other Liabilities,1106,,,,1241,,,,1392,,,,1432,668,753,,832,793,913,917,1075,697
Balance Sheet,Total Liabilities,4996,,,,5694,,,,6556,,,,7168,2179,2357,,2807,2936,3229,3619,4282,2425
Balance Sheet,Fixed Assets,1767,,,,2064,,,,2322,,,,2669,1088,1033,,1263,1353,1521,1608,1714,1185
Balance Sheet,CWIP,156,,,,84,,,,149,,,,407,18,100,,47,75,90,93,51,68
Balance Sheet,Investments,476,,,,577,,,,638,,,,720,107,121,,175,194,222,207,337,126
Balance Sheet,Other Assets,2597,,,,2969,,,,3447,,,,3372,966,1104,,1322,1314,1396,1711,2180,1046
Balance Sheet,Total Assets,4996,,,,5694,,,,6556,,,,7168,2179,2357,,2807,2936,3229,3619,4282,2425
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,470,,,,890,,,,1413,,,,1004,325,601,,465,508,556,539,1246,296
Cash Flows,Cash from Investing Activity,-403,,,,-345,,,,-591,,,,-798,-134,-186,,-202,-267,-240,-196,-199,-218
Cash Flows,Cash from Financing Activity,-310,,,,-327,,,,-382,,,,-440,-188,-260,,-210,-284,-316,-156,-506,-234
Cash Flows,Net Cash Flow,-243,,,,219,,,,441,,,,-234,4,155,,52,-43,0,188,542,-155
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,22,,,,20,,,,18,,,,19,22,20,,23,28,25,21,22,29
Ratios,Inventory Days,88,,,,78,,,,74,,,,70,68,60,,101,80,74,94,70,107
Ratios,Days Payable,55,,,,51,,,,55,,,,47,38,39,,59,56,55,58,60,66
Ratios,Cash Conversion Cycle,54,,,,47,,,,37,,,,42,52,42,,64,52,44,57,33,70
Ratios,Working Capital Days,45,,,,40,,,,30,,,,30,23,10,,37,40,34,41,20,23
Ratios,ROCE %,35%,,,,26%,,,,29%,,,,22%,34%,34%,,33%,32%,28%,26%,42%,22%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,48.85%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.79%,16.32%,17.41%,18.10%,19.06%,23.85%,24.65%,24.68%,25.05%,25.93%,24.69%,22.94%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,19.69%,19.15%,18.52%,17.96%,17.12%,12.54%,11.95%,11.41%,11.50%,10.62%,11.96%,13.25%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,15.67%,15.68%,15.22%,15.11%,14.98%,14.76%,14.32%,15.07%,14.60%,14.60%,14.51%,14.96%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,77842,81128,73536,80308,64520,71259,67837,67813,69383,80278,76210,82311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.85%,,,,48.85%,,,,48.85%,,,,48.85%,,,,49.70%,49.70%,49.70%,49.94%,48.85%,
Shareholding Pattern (Yearly),FIIs,16.16%,,,,18.10%,,,,24.68%,,,,22.94%,,,,10.54%,10.27%,8.46%,8.03%,8.95%,
Shareholding Pattern (Yearly),DIIs,19.65%,,,,17.96%,,,,11.41%,,,,13.25%,,,,18.39%,18.88%,21.73%,24.01%,24.78%,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.18%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,15.34%,,,,15.11%,,,,15.07%,,,,14.96%,,,,21.37%,20.97%,20.11%,18.03%,17.42%,
Shareholding Pattern (Yearly),No. of Shareholders,72111,,,,80308,,,,67813,,,,82311,,,,33914,34987,39006,37659,46708,
,,,,,,,,,,,,,,,,,,,,,,,
