Section,,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,195,209,233,,,,,,,,,,,,,
Quarterly Results,Expenses,151,155,172,,,,,,,,,,,,,
Quarterly Results,Operating Profit,44,54,61,,,,,,,,,,,,,
Quarterly Results,OPM %,23%,26%,26%,,,,,,,,,,,,,
Quarterly Results,Other Income,3,4,10,,,,,,,,,,,,,
Quarterly Results,Interest,8,11,12,,,,,,,,,,,,,
Quarterly Results,Depreciation,6,6,6,,,,,,,,,,,,,
Quarterly Results,Profit before tax,34,41,52,,,,,,,,,,,,,
Quarterly Results,Tax %,25%,26%,24%,,,,,,,,,,,,,
Quarterly Results,Net Profit,26,30,40,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.32,5.11,6.72,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,771,,,,,,,,,,,,,
Profit & Loss,Expenses,,,584,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,186,,,,,,,,,,,,,
Profit & Loss,OPM %,,,24%,,,,,,,,,,,,,
Profit & Loss,Other Income,,,21,,,,,,,,,,,,,
Profit & Loss,Interest,,,39,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,22,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,146,,,,,,,,,,,,,
Profit & Loss,Tax %,,,25%,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,110,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,18.42,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,3%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,12,,,,,,,,,,,,,
Balance Sheet,Reserves,,,448,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,482,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,41,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,983,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,178,,,,,,,,,,,,,
Balance Sheet,CWIP,,,2,,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,802,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,983,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-57,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-34,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,93,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,48,,,,,,,,,,,,,
Ratios,Inventory Days,,,505,,,,,,,,,,,,,
Ratios,Days Payable,,,13,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,540,,,,,,,,,,,,,
Ratios,Working Capital Days,,,311,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,57.26%,54.42%,54.42%,57.26%,57.26%,57.26%,57.26%,57.26%,57.26%,57.26%,57.26%,57.26%,,,,
Shareholding Pattern (Quarterly),FIIs,2.37%,2.53%,2.81%,2.40%,2.44%,2.20%,2.26%,2.60%,2.80%,2.81%,2.53%,2.16%,,,,
Shareholding Pattern (Quarterly),DIIs,1.79%,4.70%,5.14%,3.40%,3.46%,3.46%,3.46%,3.40%,3.27%,2.55%,2.51%,1.74%,,,,
Shareholding Pattern (Quarterly),Public,38.58%,38.35%,37.64%,36.94%,36.84%,37.09%,37.02%,36.75%,36.69%,37.40%,37.69%,38.83%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,14506,18152,19938,4400,5367,5899,6367,6499,6712,8048,14279,14040,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,54.42%,,,,57.26%,,,,57.26%,,61.03%,61.33%,61.33%,57.26%
Shareholding Pattern (Yearly),FIIs,,,2.81%,,,,2.26%,,,,2.53%,,0.00%,0.06%,0.67%,2.40%
Shareholding Pattern (Yearly),DIIs,,,5.14%,,,,3.46%,,,,2.51%,,0.00%,0.01%,0.00%,3.40%
Shareholding Pattern (Yearly),Public,,,37.64%,,,,37.02%,,,,37.69%,,38.97%,38.60%,38.00%,36.94%
Shareholding Pattern (Yearly),No. of Shareholders,,,19938,,,,6367,,,,14279,,346,386,698,4096
,,,,,,,,,,,,,,,,,
