Section,,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,19.89,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,15.22,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,4.67,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,23.48%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.13,,,,,,,,,,,,,,,,
Profit & Loss,Interest,1.94,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,2.51,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,0.35,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,-157.14%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,0.91,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.14,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,0.52,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,-7.46,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,29.62,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,4.49,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,27.17,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,17.06,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,3.01,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.02,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,7.08,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,27.17,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1.84,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-11.50,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,7.71,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-1.95,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,14.13,,,,,,,,,,,,,,,,
Ratios,Inventory Days,122.41,,,,,,,,,,,,,,,,
Ratios,Days Payable,41.36,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,95.18,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-10.64,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,64.45%,64.45%,64.45%,64.45%,64.45%,64.45%,64.45%,64.45%,64.45%,64.45%,55.68%,55.68%,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.78%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),DIIs,,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,,35.11%,34.78%,34.78%,35.55%,35.55%,35.55%,35.55%,35.55%,35.55%,35.55%,44.32%,44.32%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1500,9279,10014,9999,9943,11970,17586,18768,20557,25811,29374,28971,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,64.45%,,,,64.45%,,,,55.68%,68.69%,69.32%,64.45%,64.45%
Shareholding Pattern (Yearly),Public,,,,,35.55%,,,,35.55%,,,,44.32%,31.31%,30.68%,35.56%,35.56%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,9999,,,,18768,,,,28971,230,210,1099,1307
,,,,,,,,,,,,,,,,,,
