Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,1556,1663,1668,1771,1815,2002,1963,2116,,,,,
Quarterly Results,Expenses,1261,1334,1374,1460,1479,1621,1601,1714,,,,,
Quarterly Results,Operating Profit,296,329,294,311,336,381,362,402,,,,,
Quarterly Results,OPM %,19%,20%,18%,18%,19%,19%,18%,19%,,,,,
Quarterly Results,Other Income,15,-2,22,12,23,36,-3,-6,,,,,
Quarterly Results,Interest,52,59,61,65,59,46,32,39,,,,,
Quarterly Results,Depreciation,67,70,84,91,94,97,97,97,,,,,
Quarterly Results,Profit before tax,191,198,171,167,207,273,230,261,,,,,
Quarterly Results,Tax %,26%,26%,30%,27%,26%,26%,32%,24%,,,,,
Quarterly Results,Net Profit,141,146,120,121,153,202,156,197,,,,,
Quarterly Results,EPS in Rs,7.21,7.69,6.27,6.36,7.95,10.29,8.11,9.97,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,6658,,,,7896,4717,5049,5033,5855,5986
Profit & Loss,Expenses,,,,5429,,,,6422,3968,4340,3817,4525,4804
Profit & Loss,Operating Profit,,,,1230,,,,1474,749,708,1216,1330,1182
Profit & Loss,OPM %,,,,18%,,,,19%,16%,14%,24%,23%,20%
Profit & Loss,Other Income,,,,47,,,,57,72,-25,-159,63,39
Profit & Loss,Interest,,,,237,,,,176,223,257,155,176,214
Profit & Loss,Depreciation,,,,312,,,,384,267,321,250,245,260
Profit & Loss,Profit before tax,,,,727,,,,971,331,105,652,973,747
Profit & Loss,Tax %,,,,27%,,,,27%,37%,4%,36%,28%,25%
Profit & Loss,Net Profit,,,,528,,,,707,209,101,419,703,562
Profit & Loss,EPS in Rs,,,,27.50,,,,35.96,10.79,4.62,23.15,36.62,29.42
Profit & Loss,Dividend Payout %,,,,7%,,,,8%,32%,0%,4%,8%,7%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,181,,,,189,181,181,181,181,181
Balance Sheet,Reserves,,,,2771,,,,4257,1654,1731,2092,1807,2320
Balance Sheet,Borrowings,,,,2335,,,,1023,2128,2327,2310,2217,2334
Balance Sheet,Other Liabilities,,,,2422,,,,2764,1613,1721,2184,1816,1798
Balance Sheet,Total Liabilities,,,,7709,,,,8233,5577,5960,6768,6021,6634
Balance Sheet,Fixed Assets,,,,3125,,,,3250,2247,2382,2188,2044,2147
Balance Sheet,CWIP,,,,159,,,,124,581,485,302,320,411
Balance Sheet,Investments,,,,318,,,,95,0,0,0,25,25
Balance Sheet,Other Assets,,,,4108,,,,4763,2749,3093,4278,3632,4050
Balance Sheet,Total Assets,,,,7709,,,,8233,5577,5960,6768,6021,6634
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1097,,,,852,444,500,704,768,747
Cash Flows,Cash from Investing Activity,,,,-715,,,,-94,-409,-168,-256,-574,-468
Cash Flows,Cash from Financing Activity,,,,-164,,,,-814,-735,-301,-189,-152,-145
Cash Flows,Net Cash Flow,,,,219,,,,-56,-700,32,259,42,134
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,102,,,,93,75,83,107,82,101
Ratios,Inventory Days,,,,225,,,,224,234,211,293,237,223
Ratios,Days Payable,,,,193,,,,172,142,133,188,184,175
Ratios,Cash Conversion Cycle,,,,134,,,,145,167,161,212,135,148
Ratios,Working Capital Days,,,,103,,,,106,69,67,75,96,112
Ratios,ROCE %,,,,19%,,,,21%,,11%,22%,26%,21%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,78.08%,77.94%,77.92%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.91%,3.05%,3.06%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.96%,3.87%,3.44%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,15.05%,15.15%,15.58%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,152914,143449,139671,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,77.92%,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,3.06%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,3.44%,,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,15.58%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,139671,,,,,
,,,,,,,,,,,,,,
