Section,,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,52,26,26,16,16,15,12,15,13,15,13,13,13
Quarterly Results,Expenses,62,34,11,7,14,10,10,12,28,14,23,11,129
Quarterly Results,Operating Profit,-9,-9,15,9,2,5,2,3,-14,1,-9,2,-116
Quarterly Results,OPM %,-18%,-34%,57%,55%,14%,34%,13%,22%,-107%,7%,-71%,15%,-861%
Quarterly Results,Other Income,3,-19,21,0,-8,1,1,1,2,1,1,0,2
Quarterly Results,Interest,7,0,8,2,1,2,1,1,1,1,1,1,2
Quarterly Results,Depreciation,5,5,5,5,5,5,5,5,4,4,4,4,4
Quarterly Results,Profit before tax,-19,-33,23,2,-12,-0,-3,-1,-18,-3,-13,-2,-119
Quarterly Results,Tax %,-17%,2%,13%,34%,-2%,211%,20%,37%,0%,13%,-5%,-11%,0%
Quarterly Results,Net Profit,-16,-33,20,2,-12,-1,-4,-2,-18,-3,-12,-2,-119
Quarterly Results,EPS in Rs,,,0.99,0.08,-0.60,-0.06,-0.20,-0.09,-0.93,-0.17,-0.60,-0.11,-6.01
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,104,,,82,,,,56,,,,55
Profit & Loss,Expenses,,99,,,49,,,,49,,,,177
Profit & Loss,Operating Profit,,6,,,33,,,,7,,,,-122
Profit & Loss,OPM %,,5%,,,40%,,,,12%,,,,-222%
Profit & Loss,Other Income,,-79,,,-1,,,,-6,,,,5
Profit & Loss,Interest,,6,,,4,,,,5,,,,4
Profit & Loss,Depreciation,,21,,,20,,,,19,,,,16
Profit & Loss,Profit before tax,,-100,,,8,,,,-23,,,,-137
Profit & Loss,Tax %,,3%,,,46%,,,,8%,,,,-0%
Profit & Loss,Net Profit,,-103,,,4,,,,-25,,,,-137
Profit & Loss,EPS in Rs,,,,,0.21,,,,-1.27,,,,-6.89
Profit & Loss,Dividend Payout %,,0%,,,0%,,,,0%,,,,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,40,,,40,,,,40,,,,40
Balance Sheet,Reserves,,227,,,231,,,,206,,,,-231
Balance Sheet,Borrowings,,283,,,56,,,,251,,,,295
Balance Sheet,Other Liabilities,,126,,,34,,,,29,,,,173
Balance Sheet,Total Liabilities,,676,,,362,,,,526,,,,277
Balance Sheet,Fixed Assets,,138,,,109,,,,87,,,,77
Balance Sheet,CWIP,,0,,,0,,,,0,,,,0
Balance Sheet,Investments,,21,,,18,,,,19,,,,10
Balance Sheet,Other Assets,,516,,,235,,,,420,,,,190
Balance Sheet,Total Assets,,676,,,362,,,,526,,,,277
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-288,,,233,,,,39,,,,34
Cash Flows,Cash from Investing Activity,,105,,,5,,,,-9,,,,-60
Cash Flows,Cash from Financing Activity,,165,,,-234,,,,-34,,,,35
Cash Flows,Net Cash Flow,,-19,,,4,,,,-4,,,,10
,,,,,,,,,,,,,,
Ratios,Debtor Days,,225,,,139,,,,125,,,,102
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,225,,,139,,,,125,,,,102
Ratios,Working Capital Days,,1236,,,551,,,,2210,,,,-591
Ratios,ROCE %,,,,,4%,,,,-2%,,,,-45%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,60.98%,43.88%,36.32%
Shareholding Pattern (Quarterly),FIIs,,,,6.83%,6.55%,6.17%,5.64%,5.65%,5.66%,5.59%,0.17%,17.23%,0.03%
Shareholding Pattern (Quarterly),Public,,,,31.32%,31.59%,31.98%,32.51%,32.50%,32.47%,32.55%,37.99%,38.01%,62.77%
Shareholding Pattern (Quarterly),Others,,,,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,65500,68270,67092,65781,68370,71953,72356,73385,73994,74256
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,60.98%,,,,60.98%,,,,36.32%
Shareholding Pattern (Yearly),FIIs,,,,,6.55%,,,,5.66%,,,,0.03%
Shareholding Pattern (Yearly),Public,,,,,31.59%,,,,32.47%,,,,62.77%
Shareholding Pattern (Yearly),Others,,,,,0.88%,,,,0.88%,,,,0.88%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,68270,,,,71953,,,,74256
,,,,,,,,,,,,,,
