Section,,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,63.72,48.00,50.56,66.55,68.33,57.70,60.74,68.46,71.73,101.06,89.23,84.76,102.61,,,,,,,,,,,,,,
Quarterly Results,Expenses,58.90,44.14,45.79,61.59,63.31,53.63,55.25,64.73,69.08,98.94,84.43,83.38,98.97,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,4.82,3.86,4.77,4.96,5.02,4.07,5.49,3.73,2.65,2.12,4.80,1.38,3.64,,,,,,,,,,,,,,
Quarterly Results,OPM %,7.56%,8.04%,9.43%,7.45%,7.35%,7.05%,9.04%,5.45%,3.69%,2.10%,5.38%,1.63%,3.55%,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,1.88,0.00,0.00,1.31,1.20,-0.25,0.30,2.59,13.78,1.00,1.49,2.78,,,,,,,,,,,,,,
Quarterly Results,Interest,2.76,3.06,2.96,2.48,2.62,2.32,1.99,1.45,0.82,0.90,0.88,1.09,1.28,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.71,0.77,0.70,1.33,1.34,0.87,0.90,0.93,1.08,1.06,0.98,1.39,1.89,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.35,1.91,1.11,1.15,2.37,2.08,2.35,1.65,3.34,13.94,3.94,0.39,3.25,,,,,,,,,,,,,,
Quarterly Results,Tax %,30.37%,29.84%,29.73%,79.13%,24.47%,25.48%,25.11%,24.85%,31.44%,25.54%,27.66%,241.03%,-32.31%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.94,1.34,0.78,0.23,1.79,1.55,1.77,1.23,2.30,10.38,2.85,-0.55,4.30,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.01,0.02,0.01,0.00,0.02,0.01,0.01,0.01,0.02,0.06,0.02,-0.00,0.02,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,397,,,,259,,,,378,62,115,165,252,250,,,,,,,,,
Profit & Loss,Expenses,,,,,375,,,,242,,,,366,58,106,153,241,237,,,,,,,,,
Profit & Loss,Operating Profit,,,,,22,,,,16,,,,12,4,9,12,11,13,,,,,,,,,
Profit & Loss,OPM %,,,,,6%,,,,6%,,,,3%,7%,8%,7%,4%,5%,,,,,,,,,
Profit & Loss,Other Income,,,,,3,,,,4,,,,19,1,2,6,2,3,,,,,,,,,
Profit & Loss,Interest,,,,,11,,,,7,,,,4,2,4,5,6,9,,,,,,,,,
Profit & Loss,Depreciation,,,,,4,,,,4,,,,5,0,1,2,2,2,,,,,,,,,
Profit & Loss,Profit before tax,,,,,10,,,,9,,,,22,3,7,10,4,5,,,,,,,,,
Profit & Loss,Tax %,,,,,9%,,,,27%,,,,21%,10%,3%,1%,6%,22%,,,,,,,,,
Profit & Loss,Net Profit,,,,,10,,,,7,,,,17,3,6,10,4,4,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,0.10,,,,0.05,,,,0.10,0.05,0.07,0.10,0.04,0.04,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,,,,0%,13%,16%,6%,14%,14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,95,,,,139,,,,139,8,10,10,10,10,,,,,,,,,
Balance Sheet,Reserves,,,,,143,,,,238,,,,254,6,16,24,28,32,,,,,,,,,
Balance Sheet,Borrowings,,,,,62,,,,19,,,,28,19,34,38,54,67,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,43,,,,48,,,,91,11,25,26,43,45,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,343,,,,444,,,,513,44,85,98,135,154,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,29,,,,54,,,,55,9,14,20,20,23,,,,,,,,,
Balance Sheet,CWIP,,,,,0,,,,0,,,,0,0,0,0,0,0,,,,,,,,,
Balance Sheet,Investments,,,,,55,,,,228,,,,140,0,0,0,0,0,,,,,,,,,
Balance Sheet,Other Assets,,,,,259,,,,161,,,,317,35,71,78,115,131,,,,,,,,,
Balance Sheet,Total Assets,,,,,343,,,,444,,,,513,44,85,98,135,154,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,92,,,,120,,,,-60,-5,-6,12,-8,,,,,,,,,,
