Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,220,216,271,207,177,251,235,304,229,217,278,338,270,,,
Quarterly Results,Expenses,180,189,233,198,165,224,198,246,210,188,233,284,233,,,
Quarterly Results,Operating Profit,40,27,38,9,11,26,37,58,19,29,45,54,37,,,
Quarterly Results,OPM %,18%,13%,14%,4%,6%,10%,16%,19%,8%,13%,16%,16%,14%,,,
Quarterly Results,Other Income,-0,7,4,17,5,2,2,6,7,8,5,16,2,,,
Quarterly Results,Interest,1,0,0,0,2,2,2,2,3,4,4,2,2,,,
Quarterly Results,Depreciation,8,8,8,5,12,16,12,13,16,19,20,21,20,,,
Quarterly Results,Profit before tax,31,26,34,21,2,10,25,49,7,13,26,48,17,,,
Quarterly Results,Tax %,-11%,26%,25%,23%,-41%,37%,25%,24%,24%,28%,29%,25%,34%,,,
Quarterly Results,Net Profit,35,19,25,16,3,6,19,37,5,9,18,35,11,,,
Quarterly Results,EPS in Rs,3.02,1.69,2.20,1.39,0.28,0.63,1.62,3.25,0.44,0.78,1.53,2.97,0.93,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,828,,,,728,,,,928,,,,1108,361,630,577
Profit & Loss,Expenses,682,,,,662,,,,795,,,,938,304,545,495
Profit & Loss,Operating Profit,146,,,,67,,,,133,,,,170,58,85,82
Profit & Loss,OPM %,18%,,,,9%,,,,14%,,,,15%,16%,13%,14%
Profit & Loss,Other Income,11,,,,29,,,,18,,,,27,11,3,17
Profit & Loss,Interest,1,,,,3,,,,9,,,,13,10,6,2
Profit & Loss,Depreciation,34,,,,28,,,,54,,,,81,26,38,35
Profit & Loss,Profit before tax,122,,,,66,,,,88,,,,103,33,44,61
Profit & Loss,Tax %,30%,,,,21%,,,,25%,,,,28%,25%,19%,31%
Profit & Loss,Net Profit,85,,,,52,,,,66,,,,74,25,35,42
Profit & Loss,EPS in Rs,7.33,,,,4.53,,,,5.75,,,,6.21,0.98,3.13,3.69
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,27%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,12,0.00,11,11
Balance Sheet,Reserves,756,,,,499,,,,569,,,,796,598,637,683
Balance Sheet,Borrowings,1,,,,95,,,,165,,,,93,72,51,9
Balance Sheet,Other Liabilities,186,,,,245,,,,335,,,,230,143,140,156
Balance Sheet,Total Liabilities,955,,,,850,,,,1080,,,,1131,812,839,859
Balance Sheet,Fixed Assets,276,,,,353,,,,548,,,,583,339,327,348
Balance Sheet,CWIP,25,,,,41,,,,26,,,,18,16,46,13
Balance Sheet,Investments,197,,,,146,,,,85,,,,50,125,119,245
Balance Sheet,Other Assets,457,,,,309,,,,421,,,,480,333,347,253
Balance Sheet,Total Assets,955,,,,850,,,,1080,,,,1131,812,839,859
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,77,,,,121,,,,48,,,,-19,40,53,186
Cash Flows,Cash from Investing Activity,-37,,,,-228,,,,-106,,,,-41,-14,-33,-137
Cash Flows,Cash from Financing Activity,-24,,,,93,,,,55,,,,56,-17,-27,-45
Cash Flows,Net Cash Flow,16,,,,-14,,,,-3,,,,-4,9,-7,4
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,33,,,,26,,,,36,,,,33,92,51,42
Ratios,Inventory Days,229,,,,154,,,,243,,,,299,647,302,221
Ratios,Days Payable,68,,,,44,,,,85,,,,71,159,73,77
Ratios,Cash Conversion Cycle,194,,,,136,,,,194,,,,261,580,280,186
Ratios,Working Capital Days,98,,,,12,,,,27,,,,92,181,118,66
Ratios,ROCE %,18%,,,,6%,,,,14%,,,,14%,,8%,8%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,70.40%,70.33%,70.30%,70.28%,70.27%,70.20%,70.18%,70.18%,67.41%,64.70%,64.67%,64.65%,,,
Shareholding Pattern (Quarterly),FIIs,,2.12%,1.78%,2.07%,2.14%,2.15%,0.71%,0.78%,0.85%,1.87%,0.96%,0.80%,0.28%,,,
Shareholding Pattern (Quarterly),DIIs,,0.13%,0.16%,0.19%,0.19%,0.19%,1.32%,1.39%,1.45%,3.81%,5.15%,5.44%,6.27%,,,
Shareholding Pattern (Quarterly),Public,,27.35%,27.74%,27.45%,27.39%,27.40%,27.77%,27.65%,27.51%,26.91%,29.17%,29.08%,28.79%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,76301,78108,75183,74371,71487,75355,79792,81120,86237,82410,81962,75923,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.44%,,,,70.28%,,,,70.18%,,,,64.65%,,70.50%,70.46%
Shareholding Pattern (Yearly),FIIs,2.71%,,,,2.14%,,,,0.85%,,,,0.28%,,2.17%,2.07%
Shareholding Pattern (Yearly),DIIs,0.06%,,,,0.19%,,,,1.45%,,,,6.27%,,0.15%,0.27%
Shareholding Pattern (Yearly),Public,26.80%,,,,27.39%,,,,27.51%,,,,28.79%,,27.18%,27.20%
Shareholding Pattern (Yearly),No. of Shareholders,72907,,,,74371,,,,81120,,,,75923,,60503,63554
,,,,,,,,,,,,,,,,,
