Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,665,943,830,900,779,958,819,903,798,945,837,919,788,,,,,,,,,
Quarterly Results,Expenses,503,698,669,694,597,719,637,721,616,760,663,719,610,,,,,,,,,
Quarterly Results,Operating Profit,162,245,161,206,182,240,182,182,182,185,175,200,178,,,,,,,,,
Quarterly Results,OPM %,24%,26%,19%,23%,23%,25%,22%,20%,23%,20%,21%,22%,23%,,,,,,,,,
Quarterly Results,Other Income,19,9,12,8,10,13,-25,11,22,150,17,-1,22,,,,,,,,,
Quarterly Results,Interest,25,25,27,29,27,28,28,29,31,31,32,31,35,,,,,,,,,
Quarterly Results,Depreciation,72,69,74,75,76,81,82,86,90,87,90,90,104,,,,,,,,,
Quarterly Results,Profit before tax,85,160,72,110,88,144,46,78,83,217,70,77,62,,,,,,,,,
Quarterly Results,Tax %,26%,25%,24%,24%,26%,26%,26%,26%,23%,20%,26%,24%,26%,,,,,,,,,
Quarterly Results,Net Profit,63,119,55,83,66,107,34,58,64,174,52,59,46,,,,,,,,,
Quarterly Results,EPS in Rs,4.90,9.29,4.27,6.47,5.11,8.32,2.64,4.51,4.95,13.54,4.04,4.57,3.57,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2388,,,,3452,,,,3479,,,,3489,2065,2694,2423,2474,2634,2931,3056,1708,
Profit & Loss,Expenses,1960,,,,2647,,,,2682,,,,2751,1728,2343,2129,2178,2271,2441,2210,1540,
Profit & Loss,Operating Profit,427,,,,804,,,,797,,,,737,338,351,294,296,364,490,846,169,
Profit & Loss,OPM %,18%,,,,23%,,,,23%,,,,21%,16%,13%,12%,12%,14%,17%,28%,10%,
Profit & Loss,Other Income,54,,,,39,,,,19,,,,189,18,75,97,18,49,66,66,87,
Profit & Loss,Interest,99,,,,118,,,,126,,,,128,13,18,16,15,15,14,129,108,
Profit & Loss,Depreciation,242,,,,295,,,,339,,,,371,59,79,79,65,60,64,296,265,
Profit & Loss,Profit before tax,140,,,,430,,,,351,,,,426,283,329,297,234,337,478,487,-117,
Profit & Loss,Tax %,26%,,,,25%,,,,25%,,,,22%,33%,30%,27%,32%,35%,31%,32%,-23%,
Profit & Loss,Net Profit,103,,,,323,,,,263,,,,331,191,231,217,159,221,329,329,-89,
Profit & Loss,EPS in Rs,8.01,,,,25.13,,,,20.42,,,,25.73,14.86,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,
Profit & Loss,Dividend Payout %,680%,,,,54%,,,,59%,,,,74%,22%,18%,21%,28%,23%,24%,16%,-58%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,64,,,,64,,,,64,,,,64,64,,64,64,64,64,64,64,64
Balance Sheet,Reserves,1750,,,,1374,,,,1463,,,,1511,776,,1157,1260,1410,1678,1830,1694,957
Balance Sheet,Borrowings,1094,,,,1246,,,,1357,,,,1446,0,,0,0,0,0,1249,1032,0
Balance Sheet,Other Liabilities,616,,,,587,,,,466,,,,802,542,,512,599,667,732,589,542,616
Balance Sheet,Total Liabilities,3525,,,,3272,,,,3350,,,,3823,1382,,1733,1923,2141,2474,3732,3332,1637
Balance Sheet,Fixed Assets,1226,,,,1392,,,,1509,,,,1800,248,,304,268,296,317,1369,1120,309
Balance Sheet,CWIP,5,,,,4,,,,4,,,,14,24,,19,30,12,17,20,34,48
Balance Sheet,Investments,0,,,,0,,,,0,,,,1,0,,0,0,0,0,0,0,0
