Section,,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Sep 2023,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,21.02,11.32,22.60,24.69,19.70,32.67,21.99,27.60,,,,,,,,
Quarterly Results,Expenses,19.89,8.75,17.89,22.22,17.20,28.97,18.28,23.12,,,,,,,,
Quarterly Results,Operating Profit,1.13,2.57,4.71,2.47,2.50,3.70,3.71,4.48,,,,,,,,
Quarterly Results,OPM %,5.38%,22.70%,20.84%,10.00%,12.69%,11.33%,16.87%,16.23%,,,,,,,,
Quarterly Results,Other Income,0.74,0.19,0.25,0.31,0.32,0.25,0.56,0.43,,,,,,,,
Quarterly Results,Interest,0.60,0.57,0.81,0.71,0.64,0.62,0.47,0.49,,,,,,,,
Quarterly Results,Depreciation,1.20,1.17,1.28,1.22,1.08,1.11,1.16,1.19,,,,,,,,
Quarterly Results,Profit before tax,0.07,1.02,2.87,0.85,1.10,2.22,2.64,3.23,,,,,,,,
Quarterly Results,Tax %,-28.57%,14.71%,6.27%,49.41%,20.91%,14.86%,18.94%,38.39%,,,,,,,,
Quarterly Results,Net Profit,0.09,0.88,2.70,0.43,0.88,1.89,2.15,1.99,,,,,,,,
Quarterly Results,EPS in Rs,0.06,0.58,1.78,0.27,0.55,1.00,1.13,1.05,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,81,,,82,,,,102,,,,,,,,
Profit & Loss,Expenses,72,,,68,,,,88,,,,,,,,
Profit & Loss,Operating Profit,9,,,14,,,,14,,,,,,,,
Profit & Loss,OPM %,11%,,,17%,,,,14%,,,,,,,,
Profit & Loss,Other Income,1,,,1,,,,2,,,,,,,,
Profit & Loss,Interest,2,,,3,,,,2,,,,,,,,
Profit & Loss,Depreciation,3,,,5,,,,5,,,,,,,,
Profit & Loss,Profit before tax,6,,,7,,,,9,,,,,,,,
Profit & Loss,Tax %,15%,,,14%,,,,25%,,,,,,,,
Profit & Loss,Net Profit,5,,,6,,,,7,,,,,,,,
Profit & Loss,EPS in Rs,3.18,,,3.71,,,,3.64,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,7%,,,,10%,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,16,,,,19,,,,,,,,
Balance Sheet,Reserves,42,,,50,,,,85,,,,,,,,
Balance Sheet,Borrowings,19,,,20,,,,18,,,,,,,,
Balance Sheet,Other Liabilities,32,,,28,,,,21,,,,,,,,
Balance Sheet,Total Liabilities,108,,,115,,,,142,,,,,,,,
Balance Sheet,Fixed Assets,17,,,14,,,,11,,,,,,,,
Balance Sheet,CWIP,0,,,0,,,,0,,,,,,,,
Balance Sheet,Investments,0,,,0,,,,0,,,,,,,,
Balance Sheet,Other Assets,91,,,101,,,,131,,,,,,,,
Balance Sheet,Total Assets,108,,,115,,,,142,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2,,,-2,,,,-14,,,,,,,,
Cash Flows,Cash from Investing Activity,-6,,,-3,,,,-3,,,,,,,,
Cash Flows,Cash from Financing Activity,8,,,4,,,,25,,,,,,,,
Cash Flows,Net Cash Flow,3,,,-1,,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,80,,,108,,,,102,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,80,,,108,,,,102,,,,,,,,
Ratios,Working Capital Days,217,,,274,,,,300,,,,,,,,
Ratios,ROCE %,,,,12%,,,,11%,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,64.07%,62.62%,60.93%,59.10%,59.10%,59.00%,49.42%,49.42%,67.66%,67.66%,64.07%,61.37%,,,,
Shareholding Pattern (Quarterly),FIIs,0.05%,0.05%,0.05%,1.37%,1.04%,2.73%,3.12%,2.14%,0.06%,0.07%,0.06%,0.05%,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.98%,0.98%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,35.89%,37.33%,39.02%,39.53%,39.85%,38.27%,46.48%,47.46%,32.29%,32.27%,35.88%,38.59%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,3189,3589,4441,5994,5583,5746,6431,6506,2219,2793,3001,4411,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.07%,,,59.10%,,,,49.42%,,,,,69.95%,70.19%,70.16%,67.35%
Shareholding Pattern (Yearly),FIIs,0.05%,,,1.37%,,,,2.14%,,,,,0.06%,0.06%,0.06%,0.06%
Shareholding Pattern (Yearly),DIIs,0.00%,,,0.00%,,,,0.98%,,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,35.89%,,,39.53%,,,,47.46%,,,,,29.99%,29.76%,29.78%,32.60%
Shareholding Pattern (Yearly),No. of Shareholders,3189,,,5994,,,,6506,,,,,746,677,662,2044
,,,,,,,,,,,,,,,,,
