Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,124.62,136.52,133.91,174.49,172.47,180.07,159.31,177.91,169.35,182.36,181.19,187.45,,,
Quarterly Results,Expenses,106.81,122.27,114.86,149.52,155.80,148.39,154.53,159.90,161.80,171.96,166.91,171.28,,,
Quarterly Results,Operating Profit,17.81,14.25,19.05,24.97,16.67,31.68,4.78,18.01,7.55,10.40,14.28,16.17,,,
Quarterly Results,OPM %,14.29%,10.44%,14.23%,14.31%,9.67%,17.59%,3.00%,10.12%,4.46%,5.70%,7.88%,8.63%,,,
Quarterly Results,Other Income,2.69,1.06,3.96,2.54,4.04,1.62,3.79,2.14,3.90,3.04,5.04,2.58,,,
Quarterly Results,Interest,0.80,0.77,2.28,1.31,1.95,1.38,0.61,0.14,0.80,1.70,1.35,1.65,,,
Quarterly Results,Depreciation,6.16,5.66,1.84,6.80,7.45,6.58,4.76,8.81,6.03,6.24,7.06,7.99,,,
Quarterly Results,Profit before tax,13.54,8.88,18.89,19.40,11.31,25.34,3.20,11.20,4.62,5.50,10.91,9.11,,,
Quarterly Results,Tax %,21.20%,30.63%,6.09%,22.11%,28.65%,12.35%,-127.81%,79.38%,30.30%,29.27%,27.50%,31.94%,,,
Quarterly Results,Net Profit,10.67,6.17,17.74,15.11,8.07,22.21,7.29,2.32,3.21,3.89,7.92,6.20,,,
Quarterly Results,EPS in Rs,7.19,1.70,5.62,5.09,2.72,5.72,2.00,0.63,0.95,1.08,2.22,1.67,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,570,,,,690,,,,720,401,390,470
Profit & Loss,Expenses,,,,493,,,,618,,,,672,341,332,397
Profit & Loss,Operating Profit,,,,77,,,,72,,,,48,60,58,73
Profit & Loss,OPM %,,,,13%,,,,10%,,,,7%,15%,15%,16%
Profit & Loss,Other Income,,,,10,,,,12,,,,15,9,13,10
Profit & Loss,Interest,,,,6,,,,5,,,,6,4,4,4
Profit & Loss,Depreciation,,,,20,,,,28,,,,27,24,21,20
Profit & Loss,Profit before tax,,,,61,,,,51,,,,30,40,46,59
Profit & Loss,Tax %,,,,18%,,,,22%,,,,30%,22%,22%,16%
Profit & Loss,Net Profit,,,,50,,,,40,,,,21,32,36,50
Profit & Loss,EPS in Rs,,,,16.01,,,,10.38,,,,5.89,20.78,23.75,32.18
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,29,,,,38,,,,38,15,15,15
Balance Sheet,Reserves,,,,372,,,,521,,,,573,269,285,326
Balance Sheet,Borrowings,,,,106,,,,58,,,,98,104,106,103
Balance Sheet,Other Liabilities,,,,140,,,,161,,,,177,101,105,118
Balance Sheet,Total Liabilities,,,,647,,,,778,,,,886,488,510,562
Balance Sheet,Fixed Assets,,,,219,,,,265,,,,319,181,224,220
Balance Sheet,CWIP,,,,8,,,,17,,,,24,32,2,5
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,,,,420,,,,495,,,,544,276,284,337
Balance Sheet,Total Assets,,,,647,,,,778,,,,886,488,510,562
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,28,,,,76,,,,65,72,53,13
Cash Flows,Cash from Investing Activity,,,,-3,,,,-115,,,,-82,-63,-18,-14
Cash Flows,Cash from Financing Activity,,,,-4,,,,23,,,,37,21,-23,-7
Cash Flows,Net Cash Flow,,,,20,,,,-16,,,,21,29,11,-8
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,77,,,,68,,,,68,56,64,62
Ratios,Inventory Days,,,,218,,,,219,,,,196,163,185,237
Ratios,Days Payable,,,,117,,,,99,,,,99,115,145,125
Ratios,Cash Conversion Cycle,,,,178,,,,189,,,,166,104,104,174
Ratios,Working Capital Days,,,,117,,,,102,,,,89,62,66,98
Ratios,ROCE %,,,,14%,,,,10%,,,,5%,,12%,15%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,70.68%,70.68%,70.25%,70.16%,70.16%,70.16%,70.15%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.66%,2.10%,0.31%,0.11%,0.12%,0.11%,0.17%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,16.55%,14.71%,14.52%,13.34%,13.20%,13.45%,13.09%,,,
Shareholding Pattern (Quarterly),Government,,,,,,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,11.10%,12.51%,14.87%,16.41%,16.53%,16.29%,16.59%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,52414,35855,35478,39606,42223,42034,41056,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,70.25%,,,,70.15%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.31%,,,,0.17%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,14.52%,,,,13.09%,,,
Shareholding Pattern (Yearly),Government,,,,,,,,0.05%,,,,0.00%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,14.87%,,,,16.59%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,35478,,,,41056,,,
,,,,,,,,,,,,,,,,
