Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,251,315,310,328,280,324,302,331,298,306,306,329,293,,,,,,
Quarterly Results,Expenses,206,244,252,266,240,277,257,265,243,255,260,267,239,,,,,,
Quarterly Results,Operating Profit,45,70,58,62,40,47,44,66,55,51,46,62,53,,,,,,
Quarterly Results,OPM %,18%,22%,19%,19%,14%,14%,15%,20%,18%,17%,15%,19%,18%,,,,,,
Quarterly Results,Other Income,6,3,5,3,1,4,4,2,8,3,4,6,3,,,,,,
Quarterly Results,Interest,16,17,18,18,18,19,20,19,19,19,19,19,21,,,,,,
Quarterly Results,Depreciation,34,35,35,38,37,37,44,41,45,40,41,43,52,,,,,,
Quarterly Results,Profit before tax,0,21,10,9,-14,-5,-15,8,-1,-5,-10,5,-16,,,,,,
Quarterly Results,Tax %,-104%,23%,26%,19%,-18%,-26%,-21%,35%,-96%,-21%,-28%,-7%,25%,,,,,,
Quarterly Results,Net Profit,0,16,8,7,-12,-4,-12,5,-0,-4,-7,5,-21,,,,,,
Quarterly Results,EPS in Rs,-0.02,3.90,1.82,1.69,-3.03,-1.11,-3.17,1.11,-0.27,-1.24,-1.85,1.16,-5.18,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,861,,,,1234,,,,1255,,,,1233,403,503,586,739,847,507
Profit & Loss,Expenses,727,,,,1003,,,,1042,,,,1022,354,440,463,610,683,461
Profit & Loss,Operating Profit,134,,,,231,,,,212,,,,211,49,64,124,129,164,46
Profit & Loss,OPM %,16%,,,,19%,,,,17%,,,,17%,12%,13%,21%,17%,19%,9%
Profit & Loss,Other Income,27,,,,12,,,,18,,,,16,0,0,7,-7,20,48
Profit & Loss,Interest,65,,,,72,,,,76,,,,78,10,14,54,56,76,85
Profit & Loss,Depreciation,127,,,,145,,,,168,,,,176,25,33,70,90,134,121
Profit & Loss,Profit before tax,-32,,,,26,,,,-14,,,,-27,14,16,7,-24,-25,-112
Profit & Loss,Tax %,-21%,,,,26%,,,,-20%,,,,-0%,57%,47%,188%,60%,31%,-18%
Profit & Loss,Net Profit,-25,,,,19,,,,-11,,,,-27,6,9,-6,-38,-33,-92
Profit & Loss,EPS in Rs,-6.58,,,,4.37,,,,-3.43,,,,-7.11,4.55,3.34,-2.10,-13.72,-11.57,-26.65
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,33%,0%,-48%,-7%,0%,0%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,19,,,,20,,,,20,13,14,14,14,14,17
Balance Sheet,Reserves,367,,,,382,,,,373,,,,343,111,133,131,118,-8,227
Balance Sheet,Borrowings,610,,,,684,,,,686,,,,758,52,87,478,578,727,603
Balance Sheet,Other Liabilities,145,,,,173,,,,198,,,,194,61,62,100,110,223,291
Balance Sheet,Total Liabilities,1141,,,,1259,,,,1277,,,,1314,238,296,723,819,955,1138
Balance Sheet,Fixed Assets,872,,,,1012,,,,1036,,,,1061,165,198,548,682,813,732
Balance Sheet,CWIP,21,,,,27,,,,5,,,,14,14,22,19,16,11,6
Balance Sheet,Investments,0,,,,0,,,,0,,,,12,3,3,0,0,0,0
Balance Sheet,Other Assets,248,,,,220,,,,237,,,,227,55,73,157,121,132,400
Balance Sheet,Total Assets,1141,,,,1259,,,,1277,,,,1314,238,296,723,819,955,1138
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,60,,,,228,,,,221,,,,193,46,54,128,122,181,68
Cash Flows,Cash from Investing Activity,-90,,,,-138,,,,-106,,,,-90,-64,-75,-99,-129,-152,-7
Cash Flows,Cash from Financing Activity,-130,,,,-132,,,,-121,,,,-122,14,25,7,-25,-27,170
Cash Flows,Net Cash Flow,-160,,,,-43,,,,-7,,,,-19,-4,4,36,-32,3,231
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,2,,,,0,,,,1,,,,1,5,3,3,2,1,2
Ratios,Inventory Days,43,,,,37,,,,34,,,,44,30,33,,,19,41
Ratios,Days Payable,118,,,,109,,,,103,,,,103,78,85,,,141,301
Ratios,Cash Conversion Cycle,-73,,,,-71,,,,-68,,,,-58,-43,-49,3,2,-121,-257
Ratios,Working Capital Days,-26,,,,-22,,,,-22,,,,-17,-29,-18,-27,-24,-55,-149
Ratios,ROCE %,3%,,,,9%,,,,6%,,,,5%,,15%,13%,6%,5%,-4%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,33.98%,33.82%,33.78%,33.79%,33.79%,33.77%,33.73%,33.71%,33.71%,33.56%,33.55%,33.72%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.81%,16.60%,17.65%,17.79%,17.97%,18.06%,17.76%,16.88%,17.50%,15.16%,12.84%,10.46%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,27.49%,26.70%,26.06%,26.45%,24.51%,25.15%,25.21%,24.42%,23.06%,25.68%,25.90%,21.49%,,,,,,
Shareholding Pattern (Quarterly),Public,,22.72%,22.89%,22.51%,21.98%,23.72%,23.02%,23.30%,25.01%,25.73%,25.61%,27.71%,34.33%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,42765,49379,49250,47587,40579,37878,38829,39184,37671,36540,37645,40028,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,34.45%,,,,33.79%,,,,33.71%,,,,33.72%,,,,,,
Shareholding Pattern (Yearly),FIIs,11.42%,,,,17.79%,,,,16.88%,,,,10.46%,,,,,,
Shareholding Pattern (Yearly),DIIs,17.12%,,,,26.45%,,,,24.42%,,,,21.49%,,,,,,
Shareholding Pattern (Yearly),Public,37.01%,,,,21.98%,,,,25.01%,,,,34.33%,,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,25674,,,,47587,,,,39184,,,,40028,,,,,,
,,,,,,,,,,,,,,,,,,,,
