Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Operating Profit,,,,,,
Quarterly Results,OPM %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Operating Profit,,,,,,
Profit & Loss,OPM %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowings,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,Debtor Days,,,,,,
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,,,,,
Ratios,Working Capital Days,,,,,,
Ratios,ROCE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,55.47%,55.47%,55.47%,55.47%,55.47%,55.47%
Shareholding Pattern (Quarterly),FIIs,27.59%,26.28%,26.55%,25.85%,25.79%,25.46%
Shareholding Pattern (Quarterly),DIIs,2.80%,2.35%,2.28%,2.57%,2.44%,2.32%
Shareholding Pattern (Quarterly),Public,12.11%,14.01%,13.96%,14.38%,14.56%,15.05%
Shareholding Pattern (Quarterly),Others,2.03%,1.89%,1.74%,1.73%,1.73%,1.70%
Shareholding Pattern (Quarterly),No. of Shareholders,215098,186088,170261,162575,161655,158976
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,55.47%,,,,55.47%
Shareholding Pattern (Yearly),FIIs,,26.28%,,,,25.46%
Shareholding Pattern (Yearly),DIIs,,2.35%,,,,2.32%
Shareholding Pattern (Yearly),Public,,14.01%,,,,15.05%
Shareholding Pattern (Yearly),Others,,1.89%,,,,1.70%
Shareholding Pattern (Yearly),No. of Shareholders,,186088,,,,158976
,,,,,,,
