Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,27.17,22.21,28.91,20.27,23.93,34.34,25.58,23.40,23.66,22.76,16.80,25.39,19.02,,,,,,,,,,,,,
Quarterly Results,Expenses,22.96,16.73,22.44,14.93,18.00,29.59,19.78,18.07,18.31,24.27,14.55,22.97,16.23,,,,,,,,,,,,,
Quarterly Results,Operating Profit,4.21,5.48,6.47,5.34,5.93,4.75,5.80,5.33,5.35,-1.51,2.25,2.42,2.79,,,,,,,,,,,,,
Quarterly Results,OPM %,15.50%,24.67%,22.38%,26.34%,24.78%,13.83%,22.67%,22.78%,22.61%,-6.63%,13.39%,9.53%,14.67%,,,,,,,,,,,,,
Quarterly Results,Other Income,0.14,-0.07,0.03,0.09,-0.08,1.14,0.49,0.28,0.50,-0.24,0.65,0.42,0.24,,,,,,,,,,,,,
Quarterly Results,Interest,0.15,0.94,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.29,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.15,1.34,1.34,1.34,1.34,1.11,1.39,1.39,1.39,-1.96,0.55,0.55,0.55,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.05,3.13,5.16,4.02,4.50,4.78,4.90,4.22,4.46,0.21,2.29,2.21,2.19,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,56.55%,19.38%,0.00%,0.00%,64.44%,25.51%,26.07%,26.01%,-495.24%,26.20%,26.24%,31.05%,,,,,,,,,,,,,
Quarterly Results,Net Profit,3.06,1.36,4.16,4.02,4.50,1.69,3.65,3.12,3.30,1.26,1.70,1.64,1.51,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.06,0.47,1.44,1.40,1.56,0.59,1.27,1.08,1.15,0.44,0.59,0.57,0.52,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,98.18,,,,107.45,,,,95.40,,,,130.38,286.13,197.30,83.97,,,,,,,,,
Profit & Loss,Expenses,,81.20,,,,84.98,,,,80.34,,,,110.33,246.40,168.46,78.02,,,,,,,,,
Profit & Loss,Operating Profit,,16.98,,,,22.47,,,,15.06,,,,20.05,39.73,28.84,5.95,,,,,,,,,
Profit & Loss,OPM %,,17.29%,,,,20.91%,,,,15.79%,,,,15.38%,13.89%,14.62%,7.09%,,,,,,,,,
Profit & Loss,Other Income,,1.26,,,,1.18,,,,1.03,,,,0.06,0.04,-15.08,1.07,,,,,,,,,
Profit & Loss,Interest,,1.57,,,,0.06,,,,0.10,,,,0.18,0.21,0.13,0.43,,,,,,,,,
Profit & Loss,Depreciation,,4.71,,,,5.13,,,,2.19,,,,2.69,3.25,4.54,-0.31,,,,,,,,,
