Section,,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1063,1081,938,1005,1044,1134,1110,1069,1025,1095,1075,1234,,,,,,
Quarterly Results,Expenses,952,964,831,896,932,1009,994,959,912,976,957,1100,,,,,,
Quarterly Results,Operating Profit,111,117,108,108,113,124,117,110,113,119,118,134,,,,,,
Quarterly Results,OPM %,10%,11%,12%,11%,11%,11%,10%,10%,11%,11%,11%,11%,,,,,,
Quarterly Results,Other Income,5,4,2,7,4,3,2,478,1,1,0,1,,,,,,
Quarterly Results,Interest,19,21,22,23,24,26,25,28,31,30,26,29,,,,,,
Quarterly Results,Depreciation,19,20,20,20,22,22,22,37,29,28,27,28,,,,,,
Quarterly Results,Profit before tax,78,80,68,73,71,79,71,523,55,62,64,78,,,,,,
Quarterly Results,Tax %,38%,32%,35%,35%,33%,34%,16%,1%,25%,26%,26%,22%,,,,,,
Quarterly Results,Net Profit,49,55,44,47,47,52,59,516,41,46,48,61,,,,,,
Quarterly Results,EPS in Rs,3.13,3.49,2.80,3.02,3.03,3.34,3.79,32.85,2.60,2.94,3.04,3.87,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3560,,,4041,,,,4357,,,,4429,,,,,,
Profit & Loss,Expenses,3107,,,3598,,,,3894,,,,3945,,,,,,
Profit & Loss,Operating Profit,453,,,443,,,,464,,,,484,,,,,,
Profit & Loss,OPM %,13%,,,11%,,,,11%,,,,11%,,,,,,
Profit & Loss,Other Income,13,,,12,,,,487,,,,3,,,,,,
Profit & Loss,Interest,85,,,84,,,,103,,,,117,,,,,,
Profit & Loss,Depreciation,77,,,80,,,,104,,,,111,,,,,,
Profit & Loss,Profit before tax,304,,,291,,,,743,,,,259,,,,,,
Profit & Loss,Tax %,32%,,,33%,,,,9%,,,,25%,,,,,,
Profit & Loss,Net Profit,205,,,194,,,,675,,,,195,,,,,,
Profit & Loss,EPS in Rs,13.16,,,12.38,,,,42.99,,,,12.44,,,,,,
Profit & Loss,Dividend Payout %,6%,,,8%,,,,2%,,,,10%,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,16,,,,16,,,,16,,,,,,
Balance Sheet,Reserves,936,,,1119,,,,1427,,,,1610,,,,,,
Balance Sheet,Borrowings,778,,,639,,,,1048,,,,828,,,,,,
Balance Sheet,Other Liabilities,972,,,1008,,,,813,,,,946,,,,,,
Balance Sheet,Total Liabilities,2702,,,2781,,,,3304,,,,3399,,,,,,
Balance Sheet,Fixed Assets,1360,,,1349,,,,1628,,,,1782,,,,,,
Balance Sheet,CWIP,97,,,163,,,,363,,,,288,,,,,,
Balance Sheet,Investments,0,,,4,,,,4,,,,10,,,,,,
Balance Sheet,Other Assets,1245,,,1265,,,,1310,,,,1318,,,,,,
Balance Sheet,Total Assets,2702,,,2781,,,,3304,,,,3399,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,406,,,348,,,,193,,,,517,,,,,,
Cash Flows,Cash from Investing Activity,-154,,,-128,,,,-365,,,,-196,,,,,,
Cash Flows,Cash from Financing Activity,-248,,,-234,,,,171,,,,-354,,,,,,
Cash Flows,Net Cash Flow,5,,,-14,,,,-1,,,,-33,,,,,,
,,,,,,,,,,,,,,,,,,,
