Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,87.54,91.97,99.68,115.71,104.20,102.61,101.45,129.48
Quarterly Results,Expenses,81.82,82.50,87.53,97.44,94.37,87.16,91.44,112.91
Quarterly Results,Operating Profit,5.72,9.47,12.15,18.27,9.83,15.45,10.01,16.57
Quarterly Results,OPM %,6.53%,10.30%,12.19%,15.79%,9.43%,15.06%,9.87%,12.80%
Quarterly Results,Other Income,1.11,1.44,1.06,1.48,2.16,1.95,1.86,2.59
Quarterly Results,Interest,0.76,0.73,0.54,0.67,0.40,0.36,0.35,0.44
Quarterly Results,Depreciation,3.65,3.85,4.50,4.45,4.57,4.63,4.58,4.70
Quarterly Results,Profit before tax,2.42,6.33,8.17,14.63,7.02,12.41,6.94,14.02
Quarterly Results,Tax %,-35.54%,20.22%,30.48%,35.27%,28.49%,29.09%,38.33%,38.52%
Quarterly Results,Net Profit,3.29,5.05,5.69,9.46,5.03,8.80,4.28,8.62
Quarterly Results,EPS in Rs,,,0.65,1.05,0.57,0.99,0.48,0.97
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,,390,,,,438
Profit & Loss,Expenses,,,,345,,,,386
Profit & Loss,Operating Profit,,,,45,,,,53
Profit & Loss,OPM %,,,,12%,,,,12%
Profit & Loss,Other Income,,,,5,,,,8
Profit & Loss,Interest,,,,3,,,,2
Profit & Loss,Depreciation,,,,16,,,,18
Profit & Loss,Profit before tax,,,,32,,,,40
Profit & Loss,Tax %,,,,26%,,,,34%
Profit & Loss,Net Profit,,,,23,,,,27
Profit & Loss,EPS in Rs,,,,2.65,,,,3.01
Profit & Loss,Dividend Payout %,,,,0%,,,,0%
,,,,,,,,,
Balance Sheet,Equity Capital,,,,9,,,,9
Balance Sheet,Reserves,,,,367,,,,395
Balance Sheet,Borrowings,,,,18,,,,14
Balance Sheet,Other Liabilities,,,,95,,,,90
Balance Sheet,Total Liabilities,,,,488,,,,509
Balance Sheet,Fixed Assets,,,,192,,,,188
Balance Sheet,CWIP,,,,1,,,,1
Balance Sheet,Investments,,,,0,,,,105
Balance Sheet,Other Assets,,,,295,,,,215
Balance Sheet,Total Assets,,,,488,,,,509
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,30,,,,120
Cash Flows,Cash from Investing Activity,,,,-2,,,,-115
Cash Flows,Cash from Financing Activity,,,,-16,,,,-3
Cash Flows,Net Cash Flow,,,,12,,,,1
,,,,,,,,,
Ratios,Debtor Days,,,,57,,,,59
Ratios,Inventory Days,,,,244,,,,218
Ratios,Days Payable,,,,102,,,,79
Ratios,Cash Conversion Cycle,,,,200,,,,198
Ratios,Working Capital Days,,,,177,,,,184
Ratios,ROCE %,,,,,,,,10%
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,67.92%,67.86%,67.84%,67.81%
Shareholding Pattern (Quarterly),FIIs,,,,,0.38%,0.37%,0.27%,0.24%
Shareholding Pattern (Quarterly),DIIs,,,,,0.15%,0.01%,0.02%,0.02%
Shareholding Pattern (Quarterly),Public,,,,,31.54%,31.74%,31.88%,31.91%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,62354,61201,60373,58894
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,67.81%
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.24%
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.02%
Shareholding Pattern (Yearly),Public,,,,,,,,31.91%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,58894
,,,,,,,,,
