Section,,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1416,1377,1215,1352,1311,1354,1407,,,,,,,,,,,,,,,
Profit & Loss,Expenses,874,906,793,946,878,871,859,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,542,470,422,407,432,483,548,,,,,,,,,,,,,,,
Profit & Loss,OPM %,38%,34%,35%,30%,33%,36%,39%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,74,31,25,36,69,51,-23,,,,,,,,,,,,,,,
Profit & Loss,Interest,105,88,78,76,73,57,50,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,158,156,120,118,127,160,168,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,353,257,248,250,301,318,307,,,,,,,,,,,,,,,
Profit & Loss,Tax %,38%,28%,49%,25%,24%,23%,17%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,219,186,126,188,229,166,255,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,14.47,12.30,8.35,12.45,15.16,10.98,16.84,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,17%,20%,30%,22%,18%,25%,17%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,151,151,151,151,151,151,151,,,,,,,,,,,,,,,
Balance Sheet,Reserves,1463,1605,1685,1882,2085,2229,2419,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,855,716,606,475,417,617,573,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,478,521,559,639,761,710,688,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,2947,2992,3002,3148,3414,3707,3831,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,2133,1991,1890,1977,2522,2680,2632,,,,,,,,,,,,,,,
Balance Sheet,CWIP,83,87,99,35,24,6,167,,,,,,,,,,,,,,,
Balance Sheet,Investments,69,160,207,250,280,249,90,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,662,755,806,886,588,773,942,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,2947,2992,3002,3148,3414,3707,3831,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,407,398,342,232,433,331,582,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,55,-86,-61,-178,-459,-383,-231,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-237,-272,-230,-228,-161,103,-142,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,225,40,50,-174,-187,51,208,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
