Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2017
Quarterly Results,Sales,324,344,358,372,388,370,397,399,398,382,398,374,371,,,,,,,,,
Quarterly Results,Expenses,268,281,291,299,319,305,322,323,320,309,321,301,298,,,,,,,,,
Quarterly Results,Operating Profit,56,63,67,73,70,65,75,75,78,73,77,73,73,,,,,,,,,
Quarterly Results,OPM %,17%,18%,19%,20%,18%,18%,19%,19%,20%,19%,19%,20%,20%,,,,,,,,,
Quarterly Results,Other Income,5,-0,4,4,5,5,5,6,6,6,7,4,6,,,,,,,,,
Quarterly Results,Interest,6,7,7,8,7,10,9,11,13,15,16,15,14,,,,,,,,,
Quarterly Results,Depreciation,17,18,20,21,21,21,21,21,20,22,23,23,26,,,,,,,,,
Quarterly Results,Profit before tax,38,38,43,49,47,40,50,49,50,42,45,39,40,,,,,,,,,
Quarterly Results,Tax %,78%,25%,24%,27%,34%,28%,29%,31%,27%,29%,29%,31%,17%,,,,,,,,,
Quarterly Results,Net Profit,8,28,33,36,31,29,35,34,37,30,32,27,33,,,,,,,,,
Quarterly Results,EPS in Rs,1.74,5.86,6.82,7.41,6.37,6.00,7.34,6.94,7.62,6.23,6.61,5.50,6.89,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1140,,,,1462,,,,1563,,,,1525,177,191,207,158,639,934,769,752,
Profit & Loss,Expenses,931,,,,1189,,,,1270,,,,1229,143,154,175,136,509,759,637,623,
Profit & Loss,Operating Profit,209,,,,273,,,,293,,,,296,34,37,32,23,130,175,132,129,
Profit & Loss,OPM %,18%,,,,19%,,,,19%,,,,19%,19%,19%,15%,14%,20%,19%,17%,17%,
Profit & Loss,Other Income,16,,,,12,,,,22,,,,23,6,6,8,7,4,8,19,20,
Profit & Loss,Interest,28,,,,30,,,,42,,,,60,4,4,9,6,13,32,38,32,
Profit & Loss,Depreciation,68,,,,79,,,,83,,,,93,17,18,16,12,46,58,60,65,
Profit & Loss,Profit before tax,129,,,,177,,,,189,,,,166,19,20,14,12,74,93,53,52,
Profit & Loss,Tax %,29%,,,,28%,,,,29%,,,,26%,25%,29%,28%,12%,18%,29%,21%,11%,
Profit & Loss,Net Profit,91,,,,128,,,,135,,,,122,14,14,10,10,61,66,42,46,
Profit & Loss,EPS in Rs,18.84,,,,26.49,,,,27.96,,,,25.24,2.87,2.98,2.11,2.16,12.57,13.56,8.68,9.54,
Profit & Loss,Dividend Payout %,16%,,,,11%,,,,14%,,,,16%,13%,21%,18%,17%,20%,18%,29%,26%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,24,,,,24,,,,48,6,6,12,12,12,24,24,24,
Balance Sheet,Reserves,535,,,,649,,,,765,,,,844,70,81,83,92,351,403,431,463,
Balance Sheet,Borrowings,685,,,,756,,,,931,,,,1051,63,104,111,114,385,688,566,532,
Balance Sheet,Other Liabilities,170,,,,232,,,,248,,,,426,20,29,18,24,90,103,113,230,
Balance Sheet,Total Liabilities,1414,,,,1661,,,,1968,,,,2370,160,220,224,242,838,1218,1134,1250,
Balance Sheet,Fixed Assets,708,,,,804,,,,914,,,,964,82,101,113,130,406,651,712,675,
Balance Sheet,CWIP,36,,,,63,,,,124,,,,383,11,22,25,22,27,39,13,17,
Balance Sheet,Investments,22,,,,22,,,,23,,,,4,0,0,0,0,3,3,3,3,
Balance Sheet,Other Assets,647,,,,772,,,,907,,,,1018,66,97,86,90,402,524,406,553,
Balance Sheet,Total Assets,1414,,,,1661,,,,1968,,,,2370,160,220,224,242,838,1218,1134,1250,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,150,,,,160,,,,131,,,,183,34,6,23,27,4,27,283,20,
Cash Flows,Cash from Investing Activity,-126,,,,-187,,,,-232,,,,-358,-26,-38,-41,-15,-86,-301,-78,-11,
Cash Flows,Cash from Financing Activity,14,,,,16,,,,94,,,,183,-7,32,18,-7,112,281,-202,3,
Cash Flows,Net Cash Flow,39,,,,-10,,,,-6,,,,8,0,0,-0,5,30,8,3,12,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,49,,,,64,,,,89,33,35,29,67,36,35,10,56,
Ratios,Inventory Days,147,,,,163,,,,176,,,,188,120,190,149,151,178,168,140,190,
Ratios,Days Payable,79,,,,89,,,,81,,,,98,33,62,19,66,92,50,82,108,
Ratios,Cash Conversion Cycle,118,,,,123,,,,158,,,,180,120,163,160,152,121,153,68,139,
Ratios,Working Capital Days,82,,,,81,,,,107,,,,97,105,142,133,155,60,80,13,60,
Ratios,ROCE %,14%,,,,15%,,,,15%,,,,12%,17%,15%,12%,9%,,14%,9%,8%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,56.34%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,56.33%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.82%,0.91%,1.16%,1.65%,1.64%,1.72%,1.93%,2.28%,2.85%,3.41%,3.75%,3.09%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,17.99%,16.32%,16.65%,17.02%,16.59%,15.66%,14.47%,11.83%,10.72%,10.50%,9.85%,8.92%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,24.86%,26.44%,25.85%,25.00%,25.44%,26.29%,27.27%,29.56%,30.10%,29.75%,30.06%,31.65%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,12419,15398,15530,14775,15844,16570,18429,22529,27478,34494,33878,34349,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,56.34%,,,,56.33%,,,,56.33%,,,,56.33%,,,,,56.34%,56.34%,56.34%,56.34%,56.41%
Shareholding Pattern (Yearly),FIIs,0.78%,,,,1.65%,,,,2.28%,,,,3.09%,,,,,1.08%,1.20%,1.66%,0.89%,0.00%
Shareholding Pattern (Yearly),DIIs,19.63%,,,,17.02%,,,,11.83%,,,,8.92%,,,,,19.16%,21.58%,21.93%,21.05%,15.82%
Shareholding Pattern (Yearly),Public,23.26%,,,,25.00%,,,,29.56%,,,,31.65%,,,,,23.42%,20.89%,20.07%,21.73%,27.77%
Shareholding Pattern (Yearly),No. of Shareholders,11398,,,,14775,,,,22529,,,,34349,,,,,7635,9225,8511,8978,8483
,,,,,,,,,,,,,,,,,,,,,,,
