Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20228m,Mar 2023,Mar 2022
Quarterly Results,Sales,1116,1094,1260,1283,1223,1325,1453,1568,,,
Quarterly Results,Expenses,852,860,1000,976,1029,1024,1061,1195,,,
Quarterly Results,Operating Profit,264,234,260,307,194,301,392,373,,,
Quarterly Results,OPM %,24%,21%,21%,24%,16%,23%,27%,24%,,,
Quarterly Results,Other Income,11,29,6,5,24,15,44,10,,,
Quarterly Results,Interest,47,48,47,43,37,30,30,30,,,
Quarterly Results,Depreciation,166,171,176,176,110,126,116,114,,,
Quarterly Results,Profit before tax,62,43,44,93,71,160,290,239,,,
Quarterly Results,Tax %,31%,19%,-62%,14%,69%,27%,25%,24%,,,
Quarterly Results,Net Profit,42,35,71,80,22,117,217,183,,,
Quarterly Results,EPS in Rs,0.22,0.18,0.37,0.19,0.05,0.25,0.46,0.39,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,4754,,,,5570,923,4218,
Profit & Loss,Expenses,,,,3665,,,,4272,730,3179,
Profit & Loss,Operating Profit,,,,1088,,,,1298,193,1039,
Profit & Loss,OPM %,,,,23%,,,,23%,21%,25%,
Profit & Loss,Other Income,,,,28,,,,56,18,5,
Profit & Loss,Interest,,,,185,,,,127,65,215,
Profit & Loss,Depreciation,,,,689,,,,467,147,644,
Profit & Loss,Profit before tax,,,,242,,,,760,-2,186,
Profit & Loss,Tax %,,,,6%,,,,29%,152%,23%,
Profit & Loss,Net Profit,,,,228,,,,539,-5,144,
Profit & Loss,EPS in Rs,,,,0.53,,,,1.15,-0.02,0.75,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,4285,,,,4679,,1919,1919
Balance Sheet,Reserves,,,,2158,,,,3657,,4288,2108
Balance Sheet,Borrowings,,,,2532,,,,1402,,2896,4788
Balance Sheet,Other Liabilities,,,,1554,,,,1313,,1427,1271
Balance Sheet,Total Liabilities,,,,10529,,,,11051,,10529,10085
Balance Sheet,Fixed Assets,,,,8667,,,,8997,,8607,8621
Balance Sheet,CWIP,,,,6,,,,0,,0,5
Balance Sheet,Investments,,,,0,,,,0,,0,0
Balance Sheet,Other Assets,,,,1856,,,,2053,,1922,1459
Balance Sheet,Total Assets,,,,10529,,,,11051,,10529,10085
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,973,,,,1214,,857,-32
Cash Flows,Cash from Investing Activity,,,,-463,,,,-964,,-101,-7711
Cash Flows,Cash from Financing Activity,,,,-751,,,,-256,,-545,8116
Cash Flows,Net Cash Flow,,,,-241,,,,-6,,211,374
,,,,,,,,,,,,
Ratios,Debtor Days,,,,91,,,,83,,92,366
Ratios,Inventory Days,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,91,,,,83,,92,366
Ratios,Working Capital Days,,,,25,,,,50,,25,115
Ratios,ROCE %,,,,5%,,,,9%,,5%,
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,82.39%,82.39%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,3.77%,3.39%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,7.25%,7.47%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,6.59%,6.75%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,297400,320185,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,82.39%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,3.39%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.47%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,6.75%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,320185,,,
,,,,,,,,,,,,
