Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,80.24,83.96,86.81,85.49,80.29,85.61,95.36,91.56,102.87,106.24,120.51,123.44,141.57,,,
Quarterly Results,Expenses,69.79,76.21,77.08,75.54,69.23,76.10,84.84,82.09,92.29,98.12,111.72,116.18,125.76,,,
Quarterly Results,Operating Profit,10.45,7.75,9.73,9.95,11.06,9.51,10.52,9.47,10.58,8.12,8.79,7.26,15.81,,,
Quarterly Results,OPM %,13.02%,9.23%,11.21%,11.64%,13.78%,11.11%,11.03%,10.34%,10.28%,7.64%,7.29%,5.88%,11.17%,,,
Quarterly Results,Other Income,0.11,0.20,0.24,0.19,0.33,0.31,0.23,0.19,0.17,0.19,0.30,0.18,0.31,,,
Quarterly Results,Interest,1.11,1.32,1.77,1.53,1.64,1.55,1.52,1.81,2.18,2.40,3.77,5.73,5.76,,,
Quarterly Results,Depreciation,2.04,1.81,2.34,2.40,2.43,2.08,2.61,2.89,3.41,2.46,5.01,10.63,13.04,,,
Quarterly Results,Profit before tax,7.41,4.82,5.86,6.21,7.32,6.19,6.62,4.96,5.16,3.45,0.31,-8.92,-2.68,,,
Quarterly Results,Tax %,0.00%,26.97%,25.94%,24.64%,24.04%,27.14%,23.72%,27.42%,29.65%,27.54%,67.74%,-24.55%,-26.12%,,,
Quarterly Results,Net Profit,7.41,3.51,4.35,4.68,5.57,4.51,5.05,3.60,3.63,2.50,0.11,-6.73,-1.99,,,
Quarterly Results,EPS in Rs,3.61,1.71,2.12,2.28,2.72,2.20,2.56,1.76,1.77,1.31,0.05,-3.28,-0.97,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,313,,,,337,,,,375,,,,492,,,
Profit & Loss,Expenses,268,,,,298,,,,336,,,,452,,,
Profit & Loss,Operating Profit,45,,,,38,,,,39,,,,40,,,
Profit & Loss,OPM %,14%,,,,11%,,,,11%,,,,8%,,,
Profit & Loss,Other Income,1,,,,1,,,,1,,,,1,,,
Profit & Loss,Interest,5,,,,6,,,,7,,,,18,,,
Profit & Loss,Depreciation,8,,,,9,,,,10,,,,31,,,
Profit & Loss,Profit before tax,33,,,,24,,,,23,,,,-8,,,
Profit & Loss,Tax %,25%,,,,25%,,,,27%,,,,-22%,,,
Profit & Loss,Net Profit,24,,,,18,,,,17,,,,-6,,,
Profit & Loss,EPS in Rs,11.92,,,,8.74,,,,8.24,,,,-2.98,,,
Profit & Loss,Dividend Payout %,8%,,,,11%,,,,0%,,,,0%,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,21,,,,21,,,,21,,,
Balance Sheet,Reserves,68,,,,84,,,,99,,,,91,,,
Balance Sheet,Borrowings,59,,,,131,,,,189,,,,229,,,
Balance Sheet,Other Liabilities,33,,,,39,,,,56,,,,83,,,
Balance Sheet,Total Liabilities,180,,,,274,,,,364,,,,423,,,
Balance Sheet,Fixed Assets,55,,,,59,,,,67,,,,239,,,
Balance Sheet,CWIP,7,,,,60,,,,150,,,,0,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,,
Balance Sheet,Other Assets,118,,,,155,,,,148,,,,184,,,
Balance Sheet,Total Assets,180,,,,274,,,,364,,,,423,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8,,,,2,,,,57,,,,23,,,
Cash Flows,Cash from Investing Activity,-12,,,,-64,,,,-107,,,,-38,,,
Cash Flows,Cash from Financing Activity,4,,,,64,,,,49,,,,15,,,
Cash Flows,Net Cash Flow,-0,,,,1,,,,-1,,,,0,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,59,,,,63,,,,77,,,,65,,,
Ratios,Inventory Days,82,,,,89,,,,72,,,,83,,,
Ratios,Days Payable,41,,,,48,,,,57,,,,59,,,
Ratios,Cash Conversion Cycle,100,,,,104,,,,91,,,,88,,,
Ratios,Working Capital Days,87,,,,97,,,,79,,,,77,,,
Ratios,ROCE %,,,,,16%,,,,11%,,,,3%,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,71.43%,,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,71.43%,,,
Shareholding Pattern (Quarterly),Public,28.57%,,28.57%,28.57%,28.58%,28.57%,28.58%,28.58%,28.57%,28.58%,28.56%,28.58%,28.57%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,221,,286,913,1427,1629,2010,3050,3098,3180,3158,3220,3167,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.43%,,,,71.43%,,,,71.43%,,,,71.43%,71.43%,71.43%,71.43%
Shareholding Pattern (Yearly),Public,28.57%,,,,28.58%,,,,28.57%,,,,28.57%,28.57%,28.57%,28.57%
Shareholding Pattern (Yearly),No. of Shareholders,221,,,,1427,,,,3098,,,,3167,161,159,149
,,,,,,,,,,,,,,,,,
