Section,,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Feb 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,117.38,118.02,112.55,116.32,136.92,115.74,95.84,102.87,107.96,142.62,146.51,123.00,149.29,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,104.94,104.49,101.29,104.90,124.80,104.91,89.95,91.83,94.73,126.47,129.74,109.96,133.52,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,12.44,13.53,11.26,11.42,12.12,10.83,5.89,11.04,13.23,16.15,16.77,13.04,15.77,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,10.60%,11.46%,10.00%,9.82%,8.85%,9.36%,6.15%,10.73%,12.25%,11.32%,11.45%,10.60%,10.56%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.13,0.13,0.10,0.09,0.13,0.21,0.43,0.35,0.17,1.67,0.36,0.97,-0.29,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,4.58,4.58,3.93,4.14,4.55,4.36,2.74,3.09,2.96,3.95,4.10,3.90,4.20,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,4.67,4.67,4.51,3.83,3.84,3.76,4.81,4.01,3.88,8.68,9.09,9.06,9.63,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.32,4.41,2.92,3.54,3.86,2.92,-1.23,4.29,6.56,5.19,3.94,1.05,1.65,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,35.24%,39.23%,30.48%,33.05%,35.49%,24.32%,-86.99%,29.37%,20.27%,25.05%,29.70%,-19.05%,38.18%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.15,2.67,2.03,2.38,2.49,2.20,-0.17,3.03,5.24,3.89,2.78,1.26,1.01,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.12,1.62,1.33,1.53,1.63,1.54,0.11,2.11,3.24,2.26,1.62,0.73,0.59,,,,,,,,,,,,,,,,,,,,,,,
