Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,TTM,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,1756,1795,1694,1829,1854,1875,1873,2107,2116,2136,2174,,,,,,,,
Quarterly Results,Expenses,1437,1449,1379,1487,1513,1550,1543,1731,1748,1766,1782,,,,,,,,
Quarterly Results,Operating Profit,319,345,315,342,340,324,330,376,369,370,393,,,,,,,,
Quarterly Results,OPM %,18%,19%,19%,19%,18%,17%,18%,18%,17%,17%,18%,,,,,,,,
Quarterly Results,Other Income,23,18,33,31,31,26,31,25,28,35,34,,,,,,,,
Quarterly Results,Interest,1,1,1,1,2,1,1,2,1,1,2,,,,,,,,
Quarterly Results,Depreciation,52,53,52,54,56,60,62,68,73,78,83,,,,,,,,
Quarterly Results,Profit before tax,290,310,294,318,313,288,298,332,322,326,342,,,,,,,,
Quarterly Results,Tax %,26%,25%,25%,25%,26%,27%,26%,26%,27%,27%,26%,,,,,,,,
Quarterly Results,Net Profit,215,231,219,237,233,210,220,245,236,237,252,,,,,,,,
Quarterly Results,EPS in Rs,13.78,14.78,14.03,15.18,14.89,13.41,14.06,15.70,15.13,15.18,16.10,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,6867,,,,7251,,,,8232,,8534,,,,,,,
Profit & Loss,Expenses,,5571,,,,5929,,,,6787,,7025,,,,,,,
Profit & Loss,Operating Profit,,1296,,,,1322,,,,1446,,1508,,,,,,,
Profit & Loss,OPM %,,19%,,,,18%,,,,18%,,18%,,,,,,,
Profit & Loss,Other Income,,92,,,,120,,,,118,,121,,,,,,,
Profit & Loss,Interest,,5,,,,5,,,,5,,5,,,,,,,
Profit & Loss,Depreciation,,206,,,,223,,,,282,,302,,,,,,,
Profit & Loss,Profit before tax,,1177,,,,1214,,,,1278,,1322,,,,,,,
