Section,,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2023,Mar 2024
Quarterly Results,Sales,4144,4266,,,,
Quarterly Results,Expenses,1809,1858,,,,
Quarterly Results,Operating Profit,2334,2408,,,,
Quarterly Results,OPM %,56%,56%,,,,
Quarterly Results,Other Income,0,0,,,,
Quarterly Results,Interest,1645,1650,,,,
Quarterly Results,Depreciation,49,54,,,,
Quarterly Results,Profit before tax,641,704,,,,
Quarterly Results,Tax %,26%,25%,,,,
Quarterly Results,Net Profit,472,531,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,16300,7027,8725,12403,14173
Profit & Loss,Expenses,,6745,3096,3605,6153,5817
Profit & Loss,Operating Profit,,9555,3931,5120,6250,8356
Profit & Loss,OPM %,,59%,56%,59%,50%,59%
Profit & Loss,Other Income,,0,-0,-0,1,1
Profit & Loss,Interest,,6433,2449,3333,3512,4907
Profit & Loss,Depreciation,,194,45,62,112,145
Profit & Loss,Profit before tax,,2928,1436,1724,2627,3305
Profit & Loss,Tax %,,26%,35%,33%,25%,26%
Profit & Loss,Net Profit,,2176,933,1153,1959,2461
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,11%,13%,12%,8%,10%
,,,,,,,
Balance Sheet,Equity Capital,,796,783,786,791,793
Balance Sheet,Reserves,,15024,5257,6393,10646,12950
Balance Sheet,Borrowings,,87398,35753,45105,54865,74331
Balance Sheet,Other Liabilities,,5446,3653,4257,3748,4483
Balance Sheet,Total Liabilities,,108663,45447,56540,70050,92557
Balance Sheet,Fixed Assets,,735,137,123,387,511
Balance Sheet,CWIP,,0,0,0,0,0
Balance Sheet,Investments,,2060,402,568,1243,3380
Balance Sheet,Other Assets,,105868,44908,55849,68420,88665
Balance Sheet,Total Assets,,108663,45447,56540,70050,92557
,,,,,,,
Cash Flows,Cash from Operating Activity,,-13626,-8186,-8991,-6851,-16736
Cash Flows,Cash from Investing Activity,,1159,-49,-181,973,-2146
Cash Flows,Cash from Financing Activity,,12770,8226,9445,5796,19134
Cash Flows,Net Cash Flow,,303,-8,273,-81,252
,,,,,,,
Ratios,Debtor Days,,5,7,5,2,3
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,5,7,5,2,3
Ratios,Working Capital Days,,-107,2125,2125,-99,-108
Ratios,ROCE %,,10%,,11%,,11%
,,,,,,,
