Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,4.63,0.74,1.56,0.19,0.93,0.90,0.66,0.18,0.00,0.00,1.63,1.30,3.30,,,,,,,,,,,,
Quarterly Results,Expenses,14.87,4.87,7.65,5.86,11.76,5.90,8.73,3.24,7.47,0.92,4.33,3.74,46.56,,,,,,,,,,,,
Quarterly Results,Operating Profit,-10.24,-4.13,-6.09,-5.67,-10.83,-5.00,-8.07,-3.06,-7.47,-0.92,-2.70,-2.44,-43.26,,,,,,,,,,,,
Quarterly Results,OPM %,-221.17%,-558.11%,-390.38%,-2984.21%,-1164.52%,-555.56%,-1222.73%,-1700.00%,,,-165.64%,-187.69%,-1310.91%,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.01,0.00,0.13,0.12,0.00,0.03,0.00,0.01,1.09,1.10,0.12,49.96,,,,,,,,,,,,
Quarterly Results,Interest,0.05,0.03,0.03,0.02,0.04,0.04,0.02,0.00,0.01,0.00,0.00,0.00,0.03,,,,,,,,,,,,
Quarterly Results,Depreciation,0.60,0.89,0.78,0.85,0.67,0.57,0.58,0.57,0.56,0.56,1.11,0.55,-0.06,,,,,,,,,,,,
Quarterly Results,Profit before tax,-10.88,-5.04,-6.90,-6.41,-11.42,-5.61,-8.64,-3.63,-8.03,-0.39,-2.71,-2.87,6.73,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.49%,,,,,,,,,,,,
Quarterly Results,Net Profit,-10.89,-5.04,-6.90,-6.41,-11.42,-5.61,-8.64,-3.64,-8.03,-0.40,-2.71,-2.87,6.63,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-16.74,-7.75,-10.61,-9.86,-17.56,-8.63,-13.28,-5.60,-12.35,-0.62,-4.17,-4.41,10.19,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,17.30,,,,3.42,,,,1.73,,,,6.36,678.32,650.12,594.59,570.99,684.28,649.87,538.36,155.90,,,,
Profit & Loss,Expenses,48.90,,,,29.13,,,,17.25,,,,52.90,654.94,650.46,613.38,564.42,669.78,640.34,577.98,191.53,,,,
Profit & Loss,Operating Profit,-31.60,,,,-25.71,,,,-15.52,,,,-46.54,23.38,-0.34,-18.79,6.57,14.50,9.53,-39.62,-35.63,,,,
Profit & Loss,OPM %,-182.66%,,,,-751.75%,,,,-897.11%,,,,-731.76%,3.45%,-0.05%,-3.16%,1.15%,2.12%,1.47%,-7.36%,-22.85%,,,,
Profit & Loss,Other Income,0.06,,,,0.25,,,,-5.44,,,,49.50,1.83,1.79,8.51,0.79,3.96,2.60,-5.59,42.57,,,,
Profit & Loss,Interest,0.08,,,,0.10,,,,0.05,,,,0.04,14.60,9.22,11.07,7.85,8.57,9.83,7.03,9.42,,,,
Profit & Loss,Depreciation,3.62,,,,3.19,,,,2.29,,,,2.16,7.07,7.13,6.63,5.47,4.74,4.28,4.21,4.40,,,,
Profit & Loss,Profit before tax,-35.24,,,,-28.75,,,,-23.30,,,,0.76,3.54,-14.90,-27.98,-5.96,5.15,-1.98,-56.45,-6.88,,,,
Profit & Loss,Tax %,0.00%,,,,0.00%,,,,0.00%,,,,13.16%,21.75%,-32.42%,-32.24%,-44.97%,38.45%,-18.18%,-18.78%,-145.20%,,,,
Profit & Loss,Net Profit,-35.24,,,,-28.75,,,,-23.30,,,,0.66,2.77,-10.08,-18.95,-3.28,3.17,-1.62,-45.84,3.11,,,,
