Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,59.25,53.11,162.73,94.17,85.19,104.66,103.43,100.47,129.70,112.21,110.84
Quarterly Results,Expenses,42.09,42.99,129.04,76.54,72.76,82.31,73.09,76.44,95.58,93.83,98.47
Quarterly Results,Operating Profit,17.16,10.12,33.69,17.63,12.43,22.35,30.34,24.03,34.12,18.38,12.37
Quarterly Results,OPM %,28.96%,19.05%,20.70%,18.72%,14.59%,21.35%,29.33%,23.92%,26.31%,16.38%,11.16%
Quarterly Results,Other Income,0.00,0.25,4.62,2.21,1.33,1.96,2.99,1.33,0.96,1.66,1.25
Quarterly Results,Interest,1.59,1.28,4.16,1.74,1.95,3.22,1.51,3.87,2.82,2.51,1.82
Quarterly Results,Depreciation,3.66,3.86,4.89,4.10,4.10,4.12,4.80,8.28,8.45,10.03,10.88
Quarterly Results,Profit before tax,11.91,5.23,29.26,14.00,7.71,16.97,27.02,13.21,23.81,7.50,0.92
Quarterly Results,Tax %,33.25%,23.52%,28.02%,25.79%,16.47%,44.25%,34.31%,15.06%,33.05%,23.20%,-4.35%
Quarterly Results,Net Profit,7.95,4.00,21.06,10.39,6.45,9.47,17.75,11.23,15.95,5.77,0.96
Quarterly Results,EPS in Rs,,,,,1.21,1.77,3.33,2.10,2.98,1.08,0.18
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,337,,,,387,,,,453
Profit & Loss,Expenses,,,267,,,,305,,,,364
Profit & Loss,Operating Profit,,,70,,,,83,,,,89
Profit & Loss,OPM %,,,21%,,,,21%,,,,20%
Profit & Loss,Other Income,,,5,,,,8,,,,5
Profit & Loss,Interest,,,8,,,,8,,,,11
Profit & Loss,Depreciation,,,16,,,,17,,,,38
Profit & Loss,Profit before tax,,,50,,,,66,,,,45
Profit & Loss,Tax %,,,30%,,,,33%,,,,25%
Profit & Loss,Net Profit,,,35,,,,44,,,,34
Profit & Loss,EPS in Rs,,,,,,,8.25,,,,6.33
Profit & Loss,Dividend Payout %,,,8%,,,,6%,,,,8%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,11,,,,11,,,,11
Balance Sheet,Reserves,,,137,,,,179,,,,210
Balance Sheet,Borrowings,,,98,,,,154,,,,173
Balance Sheet,Other Liabilities,,,133,,,,132,,,,161
Balance Sheet,Total Liabilities,,,379,,,,476,,,,555
Balance Sheet,Fixed Assets,,,66,,,,164,,,,182
Balance Sheet,CWIP,,,26,,,,22,,,,33
Balance Sheet,Investments,,,44,,,,36,,,,1
Balance Sheet,Other Assets,,,243,,,,253,,,,339
Balance Sheet,Total Assets,,,379,,,,476,,,,555
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,8,,,,64,,,,
Cash Flows,Cash from Investing Activity,,,-44,,,,-101,,,,
Cash Flows,Cash from Financing Activity,,,34,,,,45,,,,
Cash Flows,Net Cash Flow,,,-2,,,,7,,,,
,,,,,,,,,,,,
Ratios,Debtor Days,,,189,,,,145,,,,144
Ratios,Inventory Days,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,189,,,,145,,,,144
Ratios,Working Capital Days,,,62,,,,44,,,,39
Ratios,ROCE %,,,,,,,23%,,,,15%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,75.00%,75.00%,74.32%,74.25%,74.25%
Shareholding Pattern (Quarterly),FIIs,,,,,,,0.45%,0.45%,0.03%,0.01%,0.28%
Shareholding Pattern (Quarterly),DIIs,,,,,,,0.00%,0.00%,0.01%,0.01%,0.78%
Shareholding Pattern (Quarterly),Public,,,,,,,24.54%,24.54%,25.64%,25.73%,24.69%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,11241,12904,15016,17419,15755
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,75.00%,,,,74.25%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.45%,,,,0.28%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.78%
Shareholding Pattern (Yearly),Public,,,,,,,24.54%,,,,24.69%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,11241,,,,15755
,,,,,,,,,,,,
