Section,,Dec 2008,Mar 2009,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,10.83,7.60,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,10.17,7.61,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,0.66,-0.01,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,6.09%,-0.13%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.15,0.11,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.30,0.29,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,0.21,-0.41,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,23.81%,-41.46%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,0.16,-0.24,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.03,-0.04,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,42.16,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,39.51,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,2.65,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,6.29%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,0.00,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,0.46,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,1.10,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,1.09,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,30.28%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,0.76,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,0.14,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,3.38,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,22.80,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,1.62,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,1.78,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,29.58,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,11.05,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,2.42,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,16.11,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,29.58,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,5.21,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-3.56,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,0.56,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,2.21,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,48.91,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,39.65,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,3.98,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,84.59,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,93.50,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,66.04%,66.04%,66.04%,66.04%,65.38%,60.71%,60.71%,58.87%,58.87%,58.87%,58.87%,58.87%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.23%,0.24%,0.48%,0.67%,0.18%,0.15%,0.27%,0.33%,0.41%,0.37%,0.41%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,33.96%,33.72%,33.72%,33.48%,33.94%,39.08%,39.13%,40.86%,40.81%,40.71%,40.22%,40.71%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,19921,20213,19575,19385,23355,27187,26618,27842,28728,28239,33575,33516,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,66.04%,,,,58.87%,,,,58.87%,65.32%,65.32%,65.32%,65.32%,65.32%,65.54%
Shareholding Pattern (Yearly),FIIs,,,,,,0.48%,,,,0.27%,,,,0.41%,0.00%,0.06%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),DIIs,,,,,,0.00%,,,,0.00%,,,,0.00%,5.52%,0.75%,0.74%,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),Government,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,33.48%,,,,40.86%,,,,40.71%,29.16%,33.18%,33.94%,34.68%,34.68%,34.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,19385,,,,27842,,,,33516,11035,13763,11177,10948,12378,20130
,,,,,,,,,,,,,,,,,,,,,
