Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2020
Quarterly Results,Sales,102.59,92.20,131.81,133.94,118.10,98.89,116.03,99.28,131.54,92.09,134.88,117.85,135.20,,
Quarterly Results,Expenses,100.45,90.90,127.27,129.36,116.80,96.22,113.68,104.08,127.93,92.33,136.21,121.06,157.95,,
Quarterly Results,Operating Profit,2.14,1.30,4.54,4.58,1.30,2.67,2.35,-4.80,3.61,-0.24,-1.33,-3.21,-22.75,,
Quarterly Results,OPM %,2.09%,1.41%,3.44%,3.42%,1.10%,2.70%,2.03%,-4.83%,2.74%,-0.26%,-0.99%,-2.72%,-16.83%,,
Quarterly Results,Other Income,30.89,2.15,1.23,0.63,-31.79,11.62,6.71,3.10,-1.66,2.24,3.35,-0.72,21.09,,
Quarterly Results,Interest,0.45,0.29,0.28,0.52,1.21,0.50,0.53,0.56,1.28,0.66,1.03,1.42,1.46,,
Quarterly Results,Depreciation,0.82,0.68,0.45,1.22,0.66,0.87,0.72,0.75,1.30,1.31,1.85,1.46,2.12,,
Quarterly Results,Profit before tax,31.76,2.48,5.04,3.47,-32.36,12.92,7.81,-3.01,-0.63,0.03,-0.86,-6.81,-5.24,,
Quarterly Results,Tax %,26.86%,-7.26%,51.19%,-78.10%,-17.15%,9.44%,2.05%,28.24%,222.22%,9833.33%,-350.00%,0.73%,-46.18%,,
Quarterly Results,Net Profit,23.23,2.66,2.46,6.19,-26.81,11.70,7.65,-3.87,-2.03,-2.91,2.15,-6.86,-2.83,,
Quarterly Results,EPS in Rs,0.21,0.02,0.02,0.04,-0.19,0.08,0.05,-0.02,-0.01,-0.02,0.01,-0.04,-0.02,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,301,,,,476,,,,446,,,,480,75,
Profit & Loss,Expenses,302,,,,464,,,,442,,,,508,67,
Profit & Loss,Operating Profit,-1,,,,12,,,,4,,,,-28,8,
Profit & Loss,OPM %,-0%,,,,2%,,,,1%,,,,-6%,10%,
Profit & Loss,Other Income,44,,,,-28,,,,20,,,,26,-3,
Profit & Loss,Interest,2,,,,2,,,,3,,,,5,5,
Profit & Loss,Depreciation,2,,,,3,,,,4,,,,7,1,
Profit & Loss,Profit before tax,39,,,,-21,,,,17,,,,-13,-2,
Profit & Loss,Tax %,26%,,,,-27%,,,,21%,,,,-15%,133%,
Profit & Loss,Net Profit,29,,,,-16,,,,13,,,,-11,-4,
