Section,,Mar 2022,Mar 2023,Mar 2024,Jun 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,452,746,697,
Profit & Loss,Expenses,453,747,684,
Profit & Loss,Operating Profit,-1,-1,13,
Profit & Loss,OPM %,-0%,-0%,2%,
Profit & Loss,Other Income,1,8,6,
Profit & Loss,Interest,5,24,32,
Profit & Loss,Depreciation,1,2,3,
Profit & Loss,Profit before tax,-5,-18,-17,
Profit & Loss,Tax %,19%,-16%,3%,
Profit & Loss,Net Profit,-6,-15,-17,
Profit & Loss,EPS in Rs,-53.36,-122.30,-160.17,
Profit & Loss,Dividend Payout %,0%,0%,0%,
,,,,,
Balance Sheet,Equity Capital,1,1,1,
Balance Sheet,Reserves,139,104,140,
Balance Sheet,Borrowings,156,224,276,
Balance Sheet,Other Liabilities,38,66,76,
Balance Sheet,Total Liabilities,334,395,493,
Balance Sheet,Fixed Assets,3,6,4,
Balance Sheet,CWIP,0,9,25,
Balance Sheet,Investments,0,0,0,
Balance Sheet,Other Assets,331,380,464,
Balance Sheet,Total Assets,334,395,493,
,,,,,
Cash Flows,Cash from Operating Activity,-269,-14,3,
Cash Flows,Cash from Investing Activity,-7,-43,-37,
Cash Flows,Cash from Financing Activity,291,42,31,
Cash Flows,Net Cash Flow,15,-15,-2,
,,,,,
Ratios,Debtor Days,211,135,168,
Ratios,Inventory Days,1,1,1,
Ratios,Days Payable,23,16,27,
Ratios,Cash Conversion Cycle,189,119,142,
Ratios,Working Capital Days,198,151,199,
Ratios,ROCE %,,2%,4%,
,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,37.93%
Shareholding Pattern (Quarterly),FIIs,,,,21.80%
Shareholding Pattern (Quarterly),DIIs,,,,5.61%
Shareholding Pattern (Quarterly),Public,,,,34.65%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,36168
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,37.93%
Shareholding Pattern (Yearly),FIIs,,,,21.80%
Shareholding Pattern (Yearly),DIIs,,,,5.61%
Shareholding Pattern (Yearly),Public,,,,34.65%
Shareholding Pattern (Yearly),No. of Shareholders,,,,36168
,,,,,
