Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,44.27%,44.27%,44.27%,44.27%,44.27%,44.27%,44.27%,44.27%,44.27%,44.41%,44.41%,44.41%,,,
Shareholding Pattern (Quarterly),FIIs,0.16%,0.59%,0.08%,0.08%,0.31%,0.27%,0.26%,0.37%,0.93%,2.00%,1.67%,1.29%,,,
Shareholding Pattern (Quarterly),DIIs,0.03%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%,,,
Shareholding Pattern (Quarterly),Public,55.54%,55.10%,55.62%,55.63%,55.39%,55.43%,55.45%,55.32%,54.80%,53.58%,53.91%,54.29%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,77907,80135,78617,76440,73970,77493,80014,81854,79849,81132,86610,87151,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,44.27%,,,,44.27%,,,,44.41%,39.36%,40.40%,44.09%
Shareholding Pattern (Yearly),FIIs,,,,0.08%,,,,0.37%,,,,1.29%,1.56%,0.14%,0.23%
Shareholding Pattern (Yearly),DIIs,,,,0.02%,,,,0.02%,,,,0.01%,0.03%,0.03%,0.02%
Shareholding Pattern (Yearly),Public,,,,55.63%,,,,55.32%,,,,54.29%,59.05%,59.43%,55.65%
Shareholding Pattern (Yearly),No. of Shareholders,,,,76440,,,,81854,,,,87151,73858,64717,72086
,,,,,,,,,,,,,,,,
