Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2021,Mar 2022
Quarterly Results,Sales,140,144,131,135,159,152,135,142,177,177,,,,
Quarterly Results,Expenses,90,99,91,91,103,102,97,100,114,116,,,,
Quarterly Results,Operating Profit,51,45,40,44,56,50,39,42,63,61,,,,
Quarterly Results,OPM %,36%,31%,30%,33%,35%,33%,29%,29%,36%,34%,,,,
Quarterly Results,Other Income,2,-1,0,7,5,3,3,15,1,3,,,,
Quarterly Results,Interest,19,12,16,17,18,15,3,4,4,5,,,,
Quarterly Results,Depreciation,9,16,12,12,14,13,14,14,15,20,,,,
Quarterly Results,Profit before tax,25,15,12,21,29,26,25,39,45,39,,,,
Quarterly Results,Tax %,24%,29%,33%,31%,4%,30%,108%,31%,29%,32%,,,,
Quarterly Results,Net Profit,19,11,8,15,27,18,-2,27,32,27,,,,
Quarterly Results,EPS in Rs,1.07,0.61,0.46,0.85,1.57,0.86,-0.09,1.25,1.51,1.24,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,510,,,,579,,,,631,383,421,179,255
Profit & Loss,Expenses,,347,,,,386,,,,427,308,336,167,209
Profit & Loss,Operating Profit,,163,,,,193,,,,205,75,85,12,46
Profit & Loss,OPM %,,32%,,,,33%,,,,32%,20%,20%,7%,18%
Profit & Loss,Other Income,,14,,,,12,,,,22,4,8,-4,12
Profit & Loss,Interest,,62,,,,66,,,,17,42,50,57,60
Profit & Loss,Depreciation,,49,,,,51,,,,62,31,31,38,40
Profit & Loss,Profit before tax,,65,,,,89,,,,148,7,12,-87,-42
Profit & Loss,Tax %,,27%,,,,22%,,,,44%,218%,20%,-13%,-33%
Profit & Loss,Net Profit,,48,,,,69,,,,84,-8,10,-76,-28
Profit & Loss,EPS in Rs,,2.75,,,,3.22,,,,3.92,-4.56,5.58,-4.34,-1.61
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,17,,,,21,,,,21,17,17,17,17
Balance Sheet,Reserves,,538,,,,1177,,,,1263,564,570,519,491
Balance Sheet,Borrowings,,617,,,,100,,,,168,477,487,616,654
Balance Sheet,Other Liabilities,,189,,,,178,,,,220,150,161,129,113
Balance Sheet,Total Liabilities,,1362,,,,1476,,,,1671,1209,1235,1280,1275
Balance Sheet,Fixed Assets,,1192,,,,1218,,,,1254,1070,1078,1157,1142
Balance Sheet,CWIP,,35,,,,57,,,,75,23,31,27,29
Balance Sheet,Investments,,0,,,,0,,,,56,3,0,0,0
Balance Sheet,Other Assets,,135,,,,201,,,,286,112,126,96,104
Balance Sheet,Total Assets,,1362,,,,1476,,,,1671,1209,1235,1280,1275
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,176,,,,168,,,,158,60,99,27,58
Cash Flows,Cash from Investing Activity,,-42,,,,-101,,,,-196,-37,-61,-25,-22
Cash Flows,Cash from Financing Activity,,-126,,,,-40,,,,4,-18,-42,-5,-37
Cash Flows,Net Cash Flow,,8,,,,28,,,,-34,4,-4,-4,-1
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,19,,,,21,,,,22,26,24,40,27
Ratios,Inventory Days,,,,,,,,,,515,103,74,,
Ratios,Days Payable,,,,,,,,,,235,198,229,,
Ratios,Cash Conversion Cycle,,19,,,,21,,,,302,-69,-132,40,27
Ratios,Working Capital Days,,-53,,,,-20,,,,79,1,9,-83,-41
Ratios,ROCE %,,11%,,,,13%,,,,12%,,6%,,2%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,68.14%,68.14%,68.14%,68.14%,68.14%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,5.08%,4.66%,5.58%,4.13%,3.97%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,16.42%,15.19%,14.14%,11.18%,11.55%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,10.35%,12.00%,12.13%,16.55%,16.33%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,45763,44097,41951,41246,43676,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,68.14%,,,,68.14%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,5.08%,,,,3.97%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,16.42%,,,,11.55%,,,,
Shareholding Pattern (Yearly),Public,,,,,,10.35%,,,,16.33%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,45763,,,,43676,,,,
,,,,,,,,,,,,,,,
