Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,61,82,65,75,73,80,80,93,110,136,118,123,129,,,,,,,,,
Quarterly Results,Expenses,52,71,56,67,65,69,67,78,87,111,98,108,111,,,,,,,,,
Quarterly Results,Operating Profit,9,11,9,8,7,12,13,16,22,25,19,15,18,,,,,,,,,
Quarterly Results,OPM %,15%,14%,14%,11%,10%,15%,16%,17%,20%,18%,16%,12%,14%,,,,,,,,,
Quarterly Results,Other Income,1,1,1,2,4,1,1,1,1,1,2,2,3,,,,,,,,,
Quarterly Results,Interest,2,2,2,2,2,2,2,2,2,2,3,3,2,,,,,,,,,
Quarterly Results,Depreciation,2,2,2,1,1,1,2,2,2,2,2,2,3,,,,,,,,,
Quarterly Results,Profit before tax,6,8,6,6,8,10,10,13,20,22,16,11,15,,,,,,,,,
Quarterly Results,Tax %,24%,26%,27%,27%,18%,26%,25%,24%,21%,24%,22%,25%,23%,,,,,,,,,
Quarterly Results,Net Profit,5,6,4,5,7,7,8,10,16,16,12,8,12,,,,,,,,,
Quarterly Results,EPS in Rs,2.89,3.59,2.46,2.75,3.95,4.12,4.45,5.81,9.14,9.57,7.08,4.76,6.82,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,229,,,,295,,,,363,,,,505,316,349,530,69,100,130,123,130,
Profit & Loss,Expenses,192,,,,258,,,,300,,,,429,303,324,508,67,90,114,114,114,
Profit & Loss,Operating Profit,37,,,,37,,,,63,,,,76,13,25,22,2,10,16,9,17,
Profit & Loss,OPM %,16%,,,,13%,,,,17%,,,,15%,4%,7%,4%,3%,10%,12%,7%,13%,
Profit & Loss,Other Income,3,,,,7,,,,3,,,,8,21,0,3,2,1,3,2,2,
Profit & Loss,Interest,9,,,,8,,,,8,,,,11,6,10,14,11,10,11,10,10,
Profit & Loss,Depreciation,9,,,,7,,,,6,,,,10,4,5,7,7,7,7,8,8,
Profit & Loss,Profit before tax,23,,,,29,,,,53,,,,63,23,9,5,-14,-6,0,-6,0,
