Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,172.15,120.46,115.45,118.92,,,,,,,,,,,,,,
Quarterly Results,Expenses,160.83,118.28,106.71,105.80,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,11.32,2.18,8.74,13.12,,,,,,,,,,,,,,
Quarterly Results,OPM %,6.58%,1.81%,7.57%,11.03%,,,,,,,,,,,,,,
Quarterly Results,Other Income,3.02,2.89,3.31,6.98,,,,,,,,,,,,,,
Quarterly Results,Interest,3.02,3.41,3.51,2.81,,,,,,,,,,,,,,
Quarterly Results,Depreciation,7.01,7.11,7.07,6.89,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,4.31,-5.45,1.47,10.40,,,,,,,,,,,,,,
Quarterly Results,Tax %,34.80%,-25.87%,45.58%,23.65%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.81,-4.05,0.81,7.95,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,2.01,-2.89,0.58,5.68,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,527,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,492,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,35,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,7%,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,16,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,13,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,28,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,11,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,30%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,8,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,5.37,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,11%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,7,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,715,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,714,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,189,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,1625,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,402,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,805,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,0,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,417,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,1625,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-38,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-227,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,178,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-87,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,40,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,541,,,,,,,,,,,,,,
Ratios,Days Payable,,,,194,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,386,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,51,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,56.24%,56.24%,56.24%,56.24%,56.24%,56.25%,56.24%,56.24%,56.24%,56.24%,56.24%,56.24%,,,,,,
Shareholding Pattern (Quarterly),FIIs,10.94%,11.87%,11.55%,10.30%,8.14%,8.50%,8.97%,9.28%,9.40%,9.24%,10.07%,10.82%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.97%,0.78%,0.78%,0.78%,0.44%,0.49%,0.49%,0.49%,0.49%,0.49%,0.49%,0.65%,,,,,,
Shareholding Pattern (Quarterly),Public,31.85%,31.10%,31.42%,32.67%,35.18%,34.77%,34.30%,33.99%,33.87%,34.01%,33.19%,32.28%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,13911,13420,12679,11935,18740,18417,17605,17046,16449,15807,14876,14118,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,56.24%,,,,56.24%,,,,56.24%,56.19%,56.19%,56.19%,56.24%,56.24%,56.24%
Shareholding Pattern (Yearly),FIIs,,,,10.30%,,,,9.28%,,,,10.82%,0.56%,1.79%,1.78%,2.26%,2.89%,7.72%
Shareholding Pattern (Yearly),DIIs,,,,0.78%,,,,0.49%,,,,0.65%,11.34%,13.85%,14.15%,12.52%,2.21%,0.40%
Shareholding Pattern (Yearly),Public,,,,32.67%,,,,33.99%,,,,32.28%,31.91%,28.17%,27.88%,28.99%,38.65%,35.63%
Shareholding Pattern (Yearly),No. of Shareholders,,,,11935,,,,17046,,,,14118,6512,6563,6700,7064,14184,19373
,,,,,,,,,,,,,,,,,,,
