Section,,Dec 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4020,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,3547,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,473,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,12%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,17,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,115,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,94,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,282,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,34%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,187,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,7.81,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,23%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,48,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,955,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,896,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,2570,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,4468,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,872,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,22,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,3574,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,4468,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,108,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-113,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-7,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,194,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,64,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,120,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,138,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,81,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,59.38%,51.00%,51.00%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.25%,0.27%,0.26%,0.26%,0.37%,0.59%,0.69%,1.20%,2.04%,6.82%,12.04%,13.04%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,15.72%,15.70%,15.73%,15.72%,16.52%,16.18%,16.11%,15.84%,14.96%,25.61%,28.40%,28.18%,,,,,,
Shareholding Pattern (Quarterly),Public,,9.03%,9.04%,9.01%,9.02%,8.11%,8.23%,8.20%,7.96%,8.00%,8.19%,8.55%,7.77%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,40825,39063,39123,38865,38226,39717,37443,44121,59130,74413,87000,82054,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,75.00%,,,,75.00%,,,,51.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,,,,0.26%,,,,1.20%,,,,13.04%,2.17%,1.77%,2.78%,2.49%,0.47%,0.25%
Shareholding Pattern (Yearly),DIIs,,,,,15.72%,,,,15.84%,,,,28.18%,13.73%,15.03%,14.36%,14.67%,15.08%,15.47%
Shareholding Pattern (Yearly),Government,,,,,0.00%,,,,0.00%,,,,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,9.02%,,,,7.96%,,,,7.77%,8.91%,8.20%,7.86%,7.84%,9.45%,9.28%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,38865,,,,44121,,,,82054,47475,37696,36763,36621,40464,41862
,,,,,,,,,,,,,,,,,,,,
