Section,,Dec 2021,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2021,Apr 2025
Quarterly Results,Sales,4.54,3.39,5.93,10.22,21.31,24.48,27.96,31.39,43.72,58.86,66.75,21.24,26.35,,,,,,,
Quarterly Results,Expenses,3.78,2.49,4.61,6.89,14.80,16.97,18.94,21.08,28.99,38.10,43.63,14.65,17.60,,,,,,,
Quarterly Results,Operating Profit,0.76,0.90,1.32,3.33,6.51,7.51,9.02,10.31,14.73,20.76,23.12,6.59,8.75,,,,,,,
Quarterly Results,OPM %,16.74%,26.55%,22.26%,32.58%,30.55%,30.68%,32.26%,32.84%,33.69%,35.27%,34.64%,31.03%,33.21%,,,,,,,
Quarterly Results,Other Income,0.01,0.00,0.12,0.10,0.12,0.40,0.49,0.68,1.09,1.40,2.22,2.00,1.76,,,,,,,
Quarterly Results,Interest,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.07,0.00,0.01,0.05,0.18,,,,,,,
Quarterly Results,Depreciation,0.53,0.50,0.60,1.06,1.47,1.69,2.10,2.23,2.62,1.09,1.33,1.73,2.06,,,,,,,
Quarterly Results,Profit before tax,0.22,0.40,0.84,2.37,5.15,6.21,7.40,8.75,13.13,21.07,24.00,6.81,8.27,,,,,,,
Quarterly Results,Tax %,27.27%,65.00%,27.38%,23.63%,25.44%,16.91%,32.43%,25.37%,23.61%,25.82%,24.38%,24.38%,27.33%,,,,,,,
Quarterly Results,Net Profit,0.17,0.15,0.60,1.81,3.84,5.16,5.00,6.53,10.04,15.62,18.15,5.14,6.01,,,,,,,
Quarterly Results,EPS in Rs,0.09,0.08,0.31,0.93,1.98,2.66,2.58,3.37,5.18,8.06,9.36,2.65,3.10,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,41,,,,128,,,,173,18,18,15,15,19,,
Profit & Loss,Expenses,,,,,29,,,,85,,,,113,15,15,13,12,16,,
Profit & Loss,Operating Profit,,,,,12,,,,42,,,,60,2,3,2,3,3,,
Profit & Loss,OPM %,,,,,30%,,,,33%,,,,35%,14%,17%,15%,19%,18%,,
Profit & Loss,Other Income,,,,,0,,,,2,,,,7,0,0,0,0,0,,
Profit & Loss,Interest,,,,,0,,,,0,,,,0,0,0,0,0,0,,
Profit & Loss,Depreciation,,,,,4,,,,8,,,,7,1,1,1,2,2,,
Profit & Loss,Profit before tax,,,,,9,,,,35,,,,60,2,2,1,1,2,,
Profit & Loss,Tax %,,,,,25%,,,,25%,,,,26%,28%,28%,27%,25%,24%,,
Profit & Loss,Net Profit,,,,,7,,,,27,,,,45,1,1,1,1,2,,
Profit & Loss,EPS in Rs,,,,,3.36,,,,13.78,,,,23.16,4.17,4.50,3.47,0.80,0.77,,
Profit & Loss,Dividend Payout %,,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,6,,,,19,,,,19,1,1,1,4,6,,
Balance Sheet,Reserves,,,,,22,,,,38,,,,84,2,4,5,2,16,,
Balance Sheet,Borrowings,,,,,0,,,,0,,,,5,0,0,0,0,0,,
Balance Sheet,Other Liabilities,,,,,10,,,,19,,,,37,5,4,4,9,8,,
Balance Sheet,Total Liabilities,,,,,39,,,,77,,,,146,8,9,10,17,30,,
Balance Sheet,Fixed Assets,,,,,9,,,,7,,,,13,2,1,3,3,4,,
Balance Sheet,CWIP,,,,,4,,,,0,,,,1,1,2,3,4,6,,
Balance Sheet,Investments,,,,,0,,,,0,,,,0,0,0,0,0,0,,
Balance Sheet,Other Assets,,,,,26,,,,70,,,,132,6,5,4,10,20,,
Balance Sheet,Total Assets,,,,,39,,,,77,,,,146,8,9,10,17,30,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,24,,,,43,,,,29,2,1,3,2,-7,,
Cash Flows,Cash from Investing Activity,,,,,-6,,,,0,,,,8,-3,-2,-3,-3,-5,,
Cash Flows,Cash from Financing Activity,,,,,0,,,,1,,,,7,-0,-0,-0,0,13,,
Cash Flows,Net Cash Flow,,,,,18,,,,44,,,,44,-1,-1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,8,,,,3,,,,67,57,51,52,175,95,,
Ratios,Inventory Days,,,,,,,,,,,,,0,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,105,,,,,,,
Ratios,Cash Conversion Cycle,,,,,8,,,,3,,,,-38,57,51,52,175,95,,
Ratios,Working Capital Days,,,,,-31,,,,-38,,,,8,-11,17,-6,5,196,,
Ratios,ROCE %,,,,,35%,,,,83%,,,,72%,,48%,28%,23%,14%,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,67.55%,,67.55%,,67.55%,,67.55%,,67.55%,,67.54%,,,,,67.55%,67.55%,67.55%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,,0.00%,,0.02%,,0.19%,,0.06%,,0.03%,,,,,0.00%,0.00%,0.03%
Shareholding Pattern (Quarterly),DIIs,,,9.66%,,9.66%,,5.82%,,0.00%,,0.05%,,0.29%,,,,,9.66%,9.66%,0.30%
Shareholding Pattern (Quarterly),Public,,,22.79%,,22.79%,,26.61%,,32.26%,,32.34%,,32.15%,,,,,22.78%,22.78%,32.12%
Shareholding Pattern (Quarterly),No. of Shareholders,,,256,,237,,360,,1309,,3401,,4675,,,,,318,526,4754
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,67.55%,,,,67.55%,,,,67.54%,,,,,67.55%,,67.55%
Shareholding Pattern (Yearly),FIIs,,,,,0.00%,,,,0.19%,,,,0.03%,,,,,0.00%,,0.03%
