Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,191,192,217,235,283,292,257,266,276,413,,
Quarterly Results,Expenses,176,183,203,218,264,273,241,249,259,386,,
Quarterly Results,Operating Profit,15,10,14,17,19,19,16,17,18,27,,
Quarterly Results,OPM %,8%,5%,7%,7%,7%,6%,6%,6%,6%,6%,,
Quarterly Results,Other Income,0,2,1,3,2,2,5,4,4,4,,
Quarterly Results,Interest,2,3,3,3,3,3,3,2,2,3,,
Quarterly Results,Depreciation,1,2,2,2,2,2,2,2,2,2,,
Quarterly Results,Profit before tax,12,7,11,15,16,16,16,16,17,26,,
Quarterly Results,Tax %,20%,-25%,20%,19%,19%,4%,8%,7%,12%,34%,,
Quarterly Results,Net Profit,9,9,9,12,13,16,15,15,15,17,,
Quarterly Results,EPS in Rs,11.47,11.23,15.12,7.21,7.78,7.84,7.66,7.58,7.59,8.48,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,703,,,,1022,,,,1213,468,550
Profit & Loss,Expenses,,653,,,,953,,,,1135,447,505
Profit & Loss,Operating Profit,,50,,,,69,,,,78,21,45
Profit & Loss,OPM %,,7%,,,,7%,,,,6%,4%,8%
Profit & Loss,Other Income,,8,,,,8,,,,16,10,2
Profit & Loss,Interest,,10,,,,12,,,,10,10,10
Profit & Loss,Depreciation,,5,,,,7,,,,9,5,4
Profit & Loss,Profit before tax,,44,,,,58,,,,76,16,32
Profit & Loss,Tax %,,12%,,,,15%,,,,17%,-2%,19%
Profit & Loss,Net Profit,,38,,,,49,,,,63,17,26
Profit & Loss,EPS in Rs,,46.67,,,,24.57,,,,31.30,29.19,45.59
Profit & Loss,Dividend Payout %,,0%,,,,6%,,,,5%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,6,,,,14,,,,14,6,6
Balance Sheet,Reserves,,158,,,,362,,,,423,130,158
Balance Sheet,Borrowings,,51,,,,88,,,,91,68,74
Balance Sheet,Other Liabilities,,130,,,,183,,,,232,134,167
Balance Sheet,Total Liabilities,,343,,,,647,,,,761,338,404
Balance Sheet,Fixed Assets,,81,,,,83,,,,101,13,11
Balance Sheet,CWIP,,0,,,,0,,,,0,60,60
Balance Sheet,Investments,,3,,,,3,,,,9,1,2
Balance Sheet,Other Assets,,260,,,,561,,,,650,264,331
Balance Sheet,Total Assets,,343,,,,647,,,,761,338,404
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,72,,,,2,,,,-32,8,20
Cash Flows,Cash from Investing Activity,,-32,,,,-115,,,,-34,18,-18
Cash Flows,Cash from Financing Activity,,-31,,,,192,,,,-4,-27,-3
Cash Flows,Net Cash Flow,,9,,,,79,,,,-70,-1,-1
,,,,,,,,,,,,,
Ratios,Debtor Days,,78,,,,83,,,,109,156,160
Ratios,Inventory Days,,,,,,1,,,,3,,
Ratios,Days Payable,,,,,,126,,,,138,,
Ratios,Cash Conversion Cycle,,78,,,,-42,,,,-26,156,160
Ratios,Working Capital Days,,30,,,,48,,,,84,62,66
Ratios,ROCE %,,22%,,,,21%,,,,17%,,19%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,69.96%,69.96%,69.96%,69.96%,69.96%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,7.95%,2.98%,0.74%,0.72%,2.09%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.81%,5.66%,5.11%,5.02%,3.78%,,
Shareholding Pattern (Quarterly),Public,,,,,,16.28%,21.38%,24.20%,24.29%,24.17%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,30256,23956,29240,28655,28272,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,69.96%,,,,69.96%,,
Shareholding Pattern (Yearly),FIIs,,,,,,7.95%,,,,2.09%,,
Shareholding Pattern (Yearly),DIIs,,,,,,5.81%,,,,3.78%,,
Shareholding Pattern (Yearly),Public,,,,,,16.28%,,,,24.17%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,30256,,,,28272,,
,,,,,,,,,,,,,
