Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,122.62,123.22,128.50,127.12,132.27,116.45,148.40,122.36,135.70,122.68,144.86,139.25,147.22,,,,,,
Quarterly Results,Expenses,111.91,112.23,118.04,120.60,123.91,110.18,136.35,113.74,124.38,110.86,128.58,125.26,132.22,,,,,,
Quarterly Results,Operating Profit,10.71,10.99,10.46,6.52,8.36,6.27,12.05,8.62,11.32,11.82,16.28,13.99,15.00,,,,,,
Quarterly Results,OPM %,8.73%,8.92%,8.14%,5.13%,6.32%,5.38%,8.12%,7.04%,8.34%,9.63%,11.24%,10.05%,10.19%,,,,,,
Quarterly Results,Other Income,0.30,0.55,0.31,0.44,0.49,1.68,0.49,0.12,0.22,0.67,0.31,0.83,0.85,,,,,,
Quarterly Results,Interest,2.00,2.47,2.96,3.32,3.37,3.74,3.45,3.60,3.89,3.77,4.04,4.25,4.37,,,,,,
Quarterly Results,Depreciation,7.33,7.63,7.70,7.71,8.08,8.22,8.63,8.71,8.59,8.61,8.69,8.65,8.50,,,,,,
Quarterly Results,Profit before tax,1.68,1.44,0.11,-4.07,-2.60,-4.01,0.46,-3.57,-0.94,0.11,3.86,1.92,2.98,,,,,,
Quarterly Results,Tax %,48.81%,59.72%,636.36%,-9.83%,-12.31%,-31.42%,-17.39%,-25.21%,768.09%,0.00%,25.91%,15.62%,18.79%,,,,,,
Quarterly Results,Net Profit,0.86,0.58,-0.58,-3.67,-2.28,-2.75,0.54,-2.67,-8.16,0.10,2.86,1.62,2.42,,,,,,
Quarterly Results,EPS in Rs,0.61,0.41,-0.41,-2.62,-1.63,-1.96,0.39,-1.91,-5.83,0.07,2.03,1.15,1.72,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,422,,,,511,,,,523,,,,554,319,343,398,404,359,322
Profit & Loss,Expenses,386,,,,474,,,,483,,,,497,265,277,313,327,309,290
Profit & Loss,Operating Profit,36,,,,37,,,,39,,,,57,53,67,85,77,50,32
Profit & Loss,OPM %,8%,,,,7%,,,,8%,,,,10%,17%,19%,21%,19%,14%,10%
Profit & Loss,Other Income,1,,,,1,,,,2,,,,3,1,5,4,1,0,2
Profit & Loss,Interest,7,,,,12,,,,15,,,,16,8,6,5,4,3,4
Profit & Loss,Depreciation,29,,,,31,,,,34,,,,34,25,24,26,26,26,26
Profit & Loss,Profit before tax,0,,,,-5,,,,-8,,,,9,22,41,59,49,22,3
Profit & Loss,Tax %,708%,,,,16%,,,,62%,,,,21%,35%,32%,33%,30%,17%,35%
Profit & Loss,Net Profit,-1,,,,-6,,,,-13,,,,7,14,28,39,34,18,2
Profit & Loss,EPS in Rs,-0.56,,,,-4.24,,,,-9.31,,,,4.97,10.02,19.97,28.08,24.10,13.00,1.50
Profit & Loss,Dividend Payout %,-266%,,,,-35%,,,,-13%,,,,50%,20%,15%,16%,19%,23%,67%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,14,14,14,14,14,14
Balance Sheet,Reserves,290,,,,281,,,,269,,,,274,192,223,256,281,289,292
Balance Sheet,Borrowings,110,,,,152,,,,162,,,,175,74,52,30,25,22,52
Balance Sheet,Other Liabilities,86,,,,102,,,,110,,,,105,48,64,87,95,80,85
Balance Sheet,Total Liabilities,500,,,,548,,,,555,,,,568,328,353,386,415,406,443
Balance Sheet,Fixed Assets,284,,,,319,,,,313,,,,319,217,197,211,237,230,244
Balance Sheet,CWIP,21,,,,11,,,,17,,,,24,1,3,12,2,8,20
Balance Sheet,Investments,46,,,,42,,,,43,,,,44,2,49,49,49,48,46
Balance Sheet,Other Assets,148,,,,177,,,,182,,,,181,108,103,115,127,119,133
Balance Sheet,Total Assets,500,,,,548,,,,555,,,,568,328,353,386,415,406,443
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,21,,,,30,,,,41,,,,52,41,70,78,59,36,26
Cash Flows,Cash from Investing Activity,-71,,,,-58,,,,-30,,,,-35,-24,-43,-45,-43,-27,-49
Cash Flows,Cash from Financing Activity,49,,,,28,,,,-9,,,,-17,-18,-25,-33,-17,-6,21
Cash Flows,Net Cash Flow,-1,,,,0,,,,1,,,,-0,-1,2,-1,-1,3,-2
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,46,,,,51,,,,48,46,52,51,52,41,68
Ratios,Inventory Days,88,,,,97,,,,88,,,,70,84,47,61,82,96,92
Ratios,Days Payable,76,,,,81,,,,73,,,,77,48,49,60,73,81,98
Ratios,Cash Conversion Cycle,60,,,,63,,,,66,,,,41,82,49,51,60,56,62
Ratios,Working Capital Days,51,,,,49,,,,48,,,,55,51,31,18,27,36,51
Ratios,ROCE %,2%,,,,2%,,,,2%,,,,6%,,17%,22%,17%,8%,2%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,64.87%,64.88%,65.01%,65.01%,65.01%,65.01%,65.01%,65.01%,64.60%,64.60%,64.60%,64.60%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,5.74%,5.78%,5.73%,5.70%,5.70%,5.70%,5.70%,5.75%,5.67%,5.76%,5.67%,5.67%,,,,,,
Shareholding Pattern (Quarterly),Public,,29.39%,29.34%,29.28%,29.30%,29.30%,29.30%,29.29%,29.23%,29.73%,29.64%,29.73%,29.73%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,18738,17967,16728,16414,16860,16482,16654,16939,17024,17097,17568,17103,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.87%,,,,65.01%,,,,65.01%,,,,64.60%,,63.55%,63.78%,64.04%,64.29%,64.78%
Shareholding Pattern (Yearly),FIIs,5.85%,,,,5.70%,,,,5.75%,,,,5.67%,,1.14%,1.46%,0.73%,0.29%,0.37%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,0.07%,0.03%,0.23%,0.07%,0.00%
Shareholding Pattern (Yearly),Public,29.28%,,,,29.30%,,,,29.23%,,,,29.73%,,35.24%,34.73%,35.01%,35.35%,34.85%
Shareholding Pattern (Yearly),No. of Shareholders,19145,,,,16414,,,,16939,,,,17103,,15629,18177,18193,17049,19914
,,,,,,,,,,,,,,,,,,,,
