Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,2409,2140,2320,2941,3774,3423,3462,3954,3917,3433,3590,3821,4417,,,,,,,,,
Quarterly Results,Expenses,1870,1783,1877,2352,2817,2741,2745,3051,3004,2812,2905,3070,3339,,,,,,,,,
Quarterly Results,Operating Profit,539,356,442,589,957,681,717,903,913,620,685,752,1078,,,,,,,,,
Quarterly Results,OPM %,22%,17%,19%,20%,25%,20%,21%,23%,23%,18%,19%,20%,24%,,,,,,,,,
Quarterly Results,Other Income,26,78,48,-193,152,94,134,587,40,1166,58,53,57,,,,,,,,,
Quarterly Results,Interest,10,20,30,120,249,233,248,267,227,236,226,223,212,,,,,,,,,
Quarterly Results,Depreciation,212,218,231,301,364,358,389,414,407,405,420,425,436,,,,,,,,,
Quarterly Results,Profit before tax,342,197,229,-26,497,184,214,808,319,1146,98,156,487,,,,,,,,,
Quarterly Results,Tax %,17%,15%,64%,-19%,17%,19%,19%,7%,30%,25%,72%,48%,6%,,,,,,,,,
Quarterly Results,Net Profit,284,167,82,-21,414,149,173,753,223,862,27,81,459,,,,,,,,,
Quarterly Results,EPS in Rs,1.99,1.20,0.39,-0.35,2.61,0.84,1.05,5.50,1.13,5.49,-0.13,0.21,2.87,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8184,,,,11174,,,,14756,,,,15262,2877,3090,3347,3891,4123,5514,6300,7143,
Profit & Loss,Expenses,6391,,,,8762,,,,11540,,,,12095,2190,2394,2957,2912,3294,4121,4725,5562,
Profit & Loss,Operating Profit,1793,,,,2412,,,,3216,,,,3166,687,696,390,980,829,1394,1575,1581,
Profit & Loss,OPM %,22%,,,,22%,,,,22%,,,,21%,24%,23%,12%,25%,20%,25%,25%,22%,
Profit & Loss,Other Income,72,,,,18,,,,853,,,,1305,56,158,639,173,228,340,228,260,
Profit & Loss,Interest,68,,,,419,,,,974,,,,897,2,9,29,26,62,71,65,58,
Profit & Loss,Depreciation,814,,,,1113,,,,1569,,,,1687,204,221,249,277,385,448,552,715,
Profit & Loss,Profit before tax,983,,,,897,,,,1525,,,,1887,538,624,751,850,610,1215,1186,1068,
