Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,281,345,352,327,369,418,451,422,446,,,,
Quarterly Results,Expenses,245,278,283,271,304,340,375,367,381,,,,
Quarterly Results,Operating Profit,36,67,70,56,66,79,75,55,65,,,,
Quarterly Results,OPM %,13%,19%,20%,17%,18%,19%,17%,13%,15%,,,,
Quarterly Results,Other Income,6,-4,1,12,7,15,15,20,25,,,,
Quarterly Results,Interest,2,2,2,3,4,6,6,6,5,,,,
Quarterly Results,Depreciation,7,6,7,8,15,12,13,13,14,,,,
Quarterly Results,Profit before tax,34,54,62,57,53,76,71,57,71,,,,
Quarterly Results,Tax %,16%,13%,10%,11%,13%,19%,16%,12%,17%,,,,
Quarterly Results,Net Profit,28,47,56,51,46,61,60,50,59,,,,
Quarterly Results,EPS in Rs,2.57,4.59,5.41,4.93,4.47,5.61,5.53,4.60,5.43,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,1065,,,,1393,,,,1737,441,571,142,483
Profit & Loss,Expenses,876,,,,1126,,,,1462,395,484,163,451
Profit & Loss,Operating Profit,189,,,,267,,,,275,46,87,-21,32
Profit & Loss,OPM %,18%,,,,19%,,,,16%,10%,15%,-15%,7%
Profit & Loss,Other Income,24,,,,15,,,,75,-1,18,5,37
Profit & Loss,Interest,14,,,,19,,,,23,6,5,2,7
Profit & Loss,Depreciation,25,,,,36,,,,52,5,12,11,16
Profit & Loss,Profit before tax,174,,,,227,,,,275,34,88,-30,46
Profit & Loss,Tax %,15%,,,,12%,,,,16%,23%,17%,16%,27%
Profit & Loss,Net Profit,148,,,,201,,,,230,26,73,-34,34
Profit & Loss,EPS in Rs,13.84,,,,19.39,,,,21.17,138.92,384.79,-180.13,3.23
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,11,2,2,2,10
Balance Sheet,Reserves,330,,,,534,,,,1184,159,238,202,221
Balance Sheet,Borrowings,71,,,,210,,,,214,21,17,8,63
Balance Sheet,Other Liabilities,2147,,,,4100,,,,4805,644,536,364,976
Balance Sheet,Total Liabilities,2558,,,,4855,,,,6214,826,793,576,1271
Balance Sheet,Fixed Assets,136,,,,349,,,,384,44,35,23,92
Balance Sheet,CWIP,0,,,,14,,,,0,0,4,9,0
Balance Sheet,Investments,0,,,,2,,,,173,0,0,0,0
Balance Sheet,Other Assets,2422,,,,4490,,,,5658,782,755,545,1179
Balance Sheet,Total Assets,2558,,,,4855,,,,6214,826,793,576,1271
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,237,,,,226,,,,289,93,-3,51,198
Cash Flows,Cash from Investing Activity,-85,,,,-154,,,,-441,-39,-6,-28,-27
Cash Flows,Cash from Financing Activity,-14,,,,115,,,,365,-5,-8,-5,-16
Cash Flows,Net Cash Flow,138,,,,188,,,,213,49,-18,17,156
,,,,,,,,,,,,,,
Ratios,Debtor Days,537,,,,867,,,,853,314,194,309,401
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,537,,,,867,,,,853,314,194,309,401
Ratios,Working Capital Days,-135,,,,-111,,,,-56,-124,-32,-382,-230
Ratios,ROCE %,53%,,,,43%,,,,26%,,42%,1%,18%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,44.40%,44.40%,44.40%,44.40%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,42.79%,43.06%,38.05%,31.61%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,6.61%,6.59%,11.78%,17.88%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,3.98%,3.72%,3.60%,3.99%,,,,
Shareholding Pattern (Quarterly),Others,,,,,,2.22%,2.22%,2.17%,2.11%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,32696,31523,32900,33572,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,44.40%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,31.61%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,17.88%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,3.99%,,,,
Shareholding Pattern (Yearly),Others,,,,,,,,,2.11%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,33572,,,,
,,,,,,,,,,,,,,
