Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,39.82,27.44,36.53,31.20,48.16,39.41,42.01,44.08,64.55,36.10,42.88,37.10,49.47,,,,,,,,,
Quarterly Results,Expenses,36.91,24.87,32.31,26.48,38.46,31.56,29.48,32.68,55.26,26.48,34.60,25.87,36.24,,,,,,,,,
Quarterly Results,Operating Profit,2.91,2.57,4.22,4.72,9.70,7.85,12.53,11.40,9.29,9.62,8.28,11.23,13.23,,,,,,,,,
Quarterly Results,OPM %,7.31%,9.37%,11.55%,15.13%,20.14%,19.92%,29.83%,25.86%,14.39%,26.65%,19.31%,30.27%,26.74%,,,,,,,,,
Quarterly Results,Other Income,1.60,1.27,0.36,-0.16,0.32,0.73,-0.01,0.77,2.47,0.29,1.17,0.49,-0.12,,,,,,,,,
Quarterly Results,Interest,1.26,1.27,2.29,1.93,4.27,4.32,4.49,4.36,4.12,4.15,4.42,4.64,4.29,,,,,,,,,
Quarterly Results,Depreciation,1.59,1.58,1.67,1.68,2.68,3.79,3.82,3.83,3.47,3.98,3.99,3.36,3.85,,,,,,,,,
Quarterly Results,Profit before tax,1.66,0.99,0.62,0.95,3.07,0.47,4.21,3.98,4.17,1.78,1.04,3.72,4.97,,,,,,,,,
Quarterly Results,Tax %,61.45%,-3.03%,159.68%,21.05%,42.67%,87.23%,38.95%,76.63%,87.53%,65.17%,75.00%,30.65%,17.51%,,,,,,,,,
Quarterly Results,Net Profit,0.64,1.02,-0.37,0.75,1.76,0.06,2.57,0.93,0.52,0.62,0.26,2.58,4.10,,,,,,,,,
Quarterly Results,EPS in Rs,0.02,0.03,-0.01,0.02,0.05,0.00,0.08,0.03,0.02,0.02,0.01,0.08,0.12,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,132,,,,143,,,,190,,,,166,32,48,36,55,114,267,106,103,
Profit & Loss,Expenses,117,,,,122,,,,149,,,,123,34,52,34,47,79,147,77,80,
Profit & Loss,Operating Profit,15,,,,21,,,,41,,,,42,-2,-4,2,8,35,120,29,23,
Profit & Loss,OPM %,11%,,,,15%,,,,22%,,,,26%,-7%,-8%,5%,15%,31%,45%,27%,23%,
Profit & Loss,Other Income,5,,,,2,,,,4,,,,2,12,14,0,0,0,1,2,5,
Profit & Loss,Interest,5,,,,10,,,,17,,,,18,6,5,5,6,5,12,3,3,
Profit & Loss,Depreciation,6,,,,8,,,,15,,,,15,2,2,2,2,2,3,6,6,
Profit & Loss,Profit before tax,9,,,,6,,,,13,,,,12,1,3,-5,1,28,107,22,19,
Profit & Loss,Tax %,30%,,,,44%,,,,68%,,,,34%,148%,-35%,0%,0%,-11%,29%,34%,15%,
Profit & Loss,Net Profit,6,,,,3,,,,4,,,,8,-1,4,-5,1,31,76,15,16,
Profit & Loss,EPS in Rs,0.20,,,,0.10,,,,0.12,,,,0.23,-0.02,0.13,-0.16,0.02,0.97,2.38,0.46,0.50,
Profit & Loss,Dividend Payout %,47%,,,,95%,,,,91%,,,,44%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,,,,20,,,,25,,,,33,,9,9,9,9,9,9,14,9
Balance Sheet,Reserves,141,,,,206,,,,202,,,,248,,-7,-12,1,37,96,107,116,-11
Balance Sheet,Borrowings,116,,,,139,,,,233,,,,247,,37,44,36,16,8,46,83,41
Balance Sheet,Other Liabilities,110,,,,61,,,,73,,,,109,,26,27,37,78,64,53,91,22
Balance Sheet,Total Liabilities,386,,,,426,,,,532,,,,637,,66,68,83,139,177,216,304,62
Balance Sheet,Fixed Assets,75,,,,144,,,,156,,,,159,,31,29,37,50,76,84,78,26
Balance Sheet,CWIP,68,,,,28,,,,53,,,,100,,9,9,9,11,2,15,23,9
Balance Sheet,Investments,7,,,,6,,,,6,,,,0,,0,0,0,0,5,6,6,0
Balance Sheet,Other Assets,236,,,,248,,,,317,,,,378,,26,30,37,78,94,111,197,28
Balance Sheet,Total Assets,386,,,,426,,,,532,,,,637,,66,68,83,139,177,216,304,62
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5,,,,-38,,,,-3,,,,48,,9,-1,9,35,53,-17,1,6
Cash Flows,Cash from Investing Activity,-39,,,,-53,,,,-65,,,,-89,,-0,-0,-1,-6,-25,-22,-23,11
Cash Flows,Cash from Financing Activity,46,,,,72,,,,42,,,,25,,-9,2,-25,-13,-23,30,30,-18
Cash Flows,Net Cash Flow,2,,,,-19,,,,-26,,,,-16,,0,1,-16,16,5,-9,7,-1
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,113,,,,167,,,,242,,,,270,,56,131,68,49,21,100,173,68
Ratios,Inventory Days,,,,,,,,,,,,,789,,102,176,222,184,217,641,600,214
Ratios,Days Payable,,,,,,,,,,,,,282,,226,395,350,195,64,272,234,253
Ratios,Cash Conversion Cycle,113,,,,167,,,,242,,,,776,,-68,-88,-59,37,174,469,539,30
Ratios,Working Capital Days,279,,,,402,,,,365,,,,373,,-7,23,-12,-81,30,218,291,-39
Ratios,ROCE %,6%,,,,5%,,,,7%,,,,6%,,-13%,0%,16%,62%,136%,18%,12%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.02%,74.02%,74.02%,74.02%,71.68%,71.12%,65.81%,65.64%,65.48%,65.47%,65.11%,64.90%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.21%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.06%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.05%,0.03%,0.03%,0.03%,0.01%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.76%,25.89%,25.97%,25.97%,28.31%,28.86%,34.15%,34.29%,34.49%,34.50%,34.87%,35.03%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,25792,26425,26625,24710,26268,29537,36520,43366,43768,49691,51724,52281,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.02%,,,,74.02%,,,,65.64%,,,,64.90%,,,,71.01%,71.65%,74.02%,74.02%,74.02%,
Shareholding Pattern (Yearly),FIIs,0.21%,,,,0.00%,,,,0.05%,,,,0.06%,,,,0.00%,0.00%,0.06%,0.23%,0.05%,
Shareholding Pattern (Yearly),DIIs,0.02%,,,,0.02%,,,,0.03%,,,,0.01%,,,,0.01%,0.01%,0.13%,0.01%,0.01%,
Shareholding Pattern (Yearly),Public,25.76%,,,,25.97%,,,,34.29%,,,,35.03%,,,,28.97%,28.34%,25.79%,25.74%,25.92%,
Shareholding Pattern (Yearly),No. of Shareholders,24602,,,,24710,,,,43366,,,,52281,,,,4482,4685,7890,7606,11674,
,,,,,,,,,,,,,,,,,,,,,,,
