Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,May 2025,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,167.03,145.35,126.36,94.69,110.20,100.32,120.43,123.84,152.83,132.21,151.63,160.81,183.96,,,,,,
Quarterly Results,Expenses,157.61,134.25,123.86,93.31,104.03,93.47,112.30,127.40,144.52,129.38,142.06,146.15,166.04,,,,,,
Quarterly Results,Operating Profit,9.42,11.10,2.50,1.38,6.17,6.85,8.13,-3.56,8.31,2.83,9.57,14.66,17.92,,,,,,
Quarterly Results,OPM %,5.64%,7.64%,1.98%,1.46%,5.60%,6.83%,6.75%,-2.87%,5.44%,2.14%,6.31%,9.12%,9.74%,,,,,,
Quarterly Results,Other Income,2.86,-0.12,1.00,0.90,2.70,1.92,2.01,2.13,5.40,4.05,1.98,3.20,-6.35,,,,,,
Quarterly Results,Interest,3.55,3.01,4.38,3.58,1.25,3.02,3.93,3.56,6.31,5.09,5.46,4.65,5.70,,,,,,
Quarterly Results,Depreciation,2.96,2.78,2.84,2.85,2.81,2.86,3.09,3.19,3.71,3.55,3.59,3.59,3.51,,,,,,
Quarterly Results,Profit before tax,5.77,5.19,-3.72,-4.15,4.81,2.89,3.12,-8.18,3.69,-1.76,2.50,9.62,2.36,,,,,,
Quarterly Results,Tax %,26.17%,30.06%,-26.34%,8.92%,-50.73%,28.37%,28.53%,-17.36%,11.65%,-21.59%,33.20%,18.71%,-26.69%,,,,,,
Quarterly Results,Net Profit,4.27,3.63,-2.74,-4.52,7.26,2.07,2.24,-6.76,3.26,-1.38,1.66,7.82,3.00,,,,,,
Quarterly Results,EPS in Rs,1.99,1.69,-1.28,-2.11,3.38,0.96,1.04,-3.15,1.52,-0.64,0.77,3.48,1.33,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,624,,,,476,,,,497,,,,629,314,451,,,,
Profit & Loss,Expenses,575,,,,453,,,,477,,,,584,296,395,,,,
Profit & Loss,Operating Profit,49,,,,23,,,,20,,,,45,18,55,,,,
Profit & Loss,OPM %,8%,,,,5%,,,,4%,,,,7%,6%,12%,,,,
Profit & Loss,Other Income,12,,,,2,,,,11,,,,3,8,7,,,,
Profit & Loss,Interest,14,,,,12,,,,17,,,,21,11,9,,,,
Profit & Loss,Depreciation,11,,,,11,,,,13,,,,14,9,9,,,,
Profit & Loss,Profit before tax,37,,,,2,,,,2,,,,13,6,44,,,,
Profit & Loss,Tax %,29%,,,,-68%,,,,47%,,,,13%,22%,31%,,,,
Profit & Loss,Net Profit,26,,,,4,,,,1,,,,11,5,30,,,,
Profit & Loss,EPS in Rs,12.20,,,,1.68,,,,0.38,,,,4.94,2.29,14.10,,,,
Profit & Loss,Dividend Payout %,18%,,,,30%,,,,0%,,,,18%,17%,13%,,,,
,,,,,,,,,,,,,,,,,,,,
