Section,,Dec 2006,Mar 2007,Dec 2007,Mar 2008,Mar 2006,Mar 2009,Mar 2010,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,49.12,65.02,68.32,94.16,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,42.75,57.56,62.96,95.22,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,6.37,7.46,5.36,-1.06,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,12.97%,11.47%,7.85%,-1.13%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.67,0.37,0.62,6.66,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.62,3.41,2.59,2.81,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.32,2.58,2.34,1.65,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.10,1.84,1.05,1.14,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28.39%,95.65%,30.48%,68.42%,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,2.22,0.08,0.73,0.36,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.77,0.03,0.25,0.12,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,231,,296,245,340,258,149,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,219,,309,221,334,296,213,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,12,,-13,23,6,-38,-63,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,5%,,-4%,10%,2%,-15%,-42%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,18,,36,12,2,24,10,,,,,,,,,,,,,,,,,,
