Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,252,301,347,368,346,374,415,429,406,439,496,492,446,,,,
Quarterly Results,Expenses,227,270,303,317,298,316,350,368,348,375,426,431,391,,,,
Quarterly Results,Operating Profit,25,31,44,51,48,58,65,61,59,64,70,61,56,,,,
Quarterly Results,OPM %,10%,10%,13%,14%,14%,15%,16%,14%,14%,15%,14%,12%,12%,,,,
Quarterly Results,Other Income,1,2,3,3,4,5,3,5,7,5,6,7,11,,,,
Quarterly Results,Interest,2,3,4,4,2,2,3,3,4,4,4,3,2,,,,
Quarterly Results,Depreciation,12,13,14,14,13,14,15,16,16,17,19,19,20,,,,
Quarterly Results,Profit before tax,13,17,30,37,37,47,50,46,45,48,52,46,45,,,,
Quarterly Results,Tax %,19%,26%,26%,25%,25%,25%,25%,25%,26%,25%,26%,26%,24%,,,,
Quarterly Results,Net Profit,10,13,22,28,28,35,37,35,34,35,39,35,34,,,,
Quarterly Results,EPS in Rs,1.73,2.16,3.73,4.72,4.70,5.93,6.34,5.88,5.72,6.02,6.34,5.63,5.58,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,988,,,,1362,,,,1624,,,,1874,691,784,762,881
Profit & Loss,Expenses,865,,,,1187,,,,1381,,,,1622,604,687,669,739
Profit & Loss,Operating Profit,123,,,,175,,,,243,,,,251,86,97,93,141
Profit & Loss,OPM %,12%,,,,13%,,,,15%,,,,13%,12%,12%,12%,16%
Profit & Loss,Other Income,6,,,,12,,,,19,,,,29,2,2,3,10
Profit & Loss,Interest,7,,,,13,,,,12,,,,13,7,13,16,10
Profit & Loss,Depreciation,46,,,,53,,,,61,,,,76,28,35,42,45
Profit & Loss,Profit before tax,76,,,,121,,,,188,,,,192,53,51,39,97
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,25%,32%,35%,22%,26%
Profit & Loss,Net Profit,57,,,,90,,,,140,,,,143,36,33,30,72
Profit & Loss,EPS in Rs,9.72,,,,15.31,,,,23.86,,,,23.33,6.27,5.79,5.29,12.30
Profit & Loss,Dividend Payout %,26%,,,,20%,,,,14%,,,,26%,12%,13%,14%,20%
,,,,,,,,,,,,,,,,,,
