Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,
Quarterly Results,Expenses,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,
Quarterly Results,OPM %,,,,,,,,
Quarterly Results,Other Income,,,,,,,,
Quarterly Results,Interest,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,
Quarterly Results,Tax %,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,
,,,,,,,,,
Profit & Loss,Sales,,,,,,,,
Profit & Loss,Expenses,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,
Profit & Loss,OPM %,,,,,,,,
Profit & Loss,Other Income,,,,,,,,
Profit & Loss,Interest,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,
Profit & Loss,Tax %,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,
,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,
Balance Sheet,Reserves,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,
Balance Sheet,CWIP,,,,,,,,
Balance Sheet,Investments,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,
,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,
,,,,,,,,,
Ratios,Debtor Days,,,,,,,,
Ratios,Inventory Days,,,,,,,,
Ratios,Days Payable,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,
Ratios,Working Capital Days,,,,,,,,
Ratios,ROCE %,,,,,,,,
,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,65.63%,65.63%,65.63%,65.63%,65.63%,65.63%,65.63%,65.63%
Shareholding Pattern (Quarterly),FIIs,0.17%,0.20%,0.18%,0.02%,0.00%,0.00%,0.02%,0.00%
Shareholding Pattern (Quarterly),DIIs,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%
Shareholding Pattern (Quarterly),Public,33.97%,33.95%,33.97%,34.13%,34.14%,34.14%,34.14%,34.15%
Shareholding Pattern (Quarterly),No. of Shareholders,8429,8380,8603,8294,8211,8470,8208,8003
,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,65.63%,,,,65.63%
Shareholding Pattern (Yearly),FIIs,,,,0.02%,,,,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.22%,,,,0.22%
Shareholding Pattern (Yearly),Public,,,,34.13%,,,,34.15%
Shareholding Pattern (Yearly),No. of Shareholders,,,,8294,,,,8003
,,,,,,,,,
