Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,93,103,115,112,119,122,127,125,131,128,127,133,137,,,,,,,,,,,,,,,
Quarterly Results,Expenses,58,61,64,72,75,73,79,79,81,80,79,85,90,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,34,42,52,40,45,49,48,45,50,48,49,48,46,,,,,,,,,,,,,,,
Quarterly Results,OPM %,37%,41%,45%,36%,37%,40%,38%,36%,38%,37%,38%,36%,34%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,2,2,2,2,14,3,2,3,-31,3,3,3,2,,,,,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,1,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,9,9,9,8,8,8,8,7,7,8,8,6,6,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,27,34,44,34,50,44,42,40,12,42,44,44,42,,,,,,,,,,,,,,,
Quarterly Results,Tax %,26%,27%,25%,25%,27%,26%,25%,23%,98%,26%,26%,26%,28%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,20,25,33,25,36,32,32,31,0,31,32,32,30,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,13.28,16.86,22.18,16.89,24.31,21.51,21.12,20.72,0.13,20.90,21.75,21.68,20.27,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,368,,,,469,,,,511,,,,304,317,303,341,367,383,433,412,290,525,,,,,
Profit & Loss,Expenses,,234,,,,284,,,,319,,,,173,180,188,208,222,233,263,260,205,334,,,,,
Profit & Loss,Operating Profit,,134,,,,186,,,,193,,,,130,137,115,133,145,150,170,152,86,191,,,,,
Profit & Loss,OPM %,,36%,,,,40%,,,,38%,,,,43%,43%,38%,39%,39%,39%,39%,37%,29%,36%,,,,,
Profit & Loss,Other Income,,8,,,,21,,,,-24,,,,5,5,6,9,20,3,9,6,11,12,,,,,
Profit & Loss,Interest,,3,,,,2,,,,2,,,,1,0,0,1,0,0,0,6,4,3,,,,,
Profit & Loss,Depreciation,,35,,,,34,,,,31,,,,12,12,13,13,14,14,17,32,34,28,,,,,
