Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,220,207,227,249,235,215,253,270,251,246,227,263,252,,,,,,
Quarterly Results,Expenses,92,95,106,109,105,109,102,110,97,96,94,124,95,,,,,,
Quarterly Results,Operating Profit,128,112,121,140,130,106,151,159,154,150,133,139,157,,,,,,
Quarterly Results,OPM %,58%,54%,53%,56%,55%,49%,60%,59%,61%,61%,58%,53%,62%,,,,,,
Quarterly Results,Other Income,16,-0,7,4,24,16,26,25,-32,25,25,25,23,,,,,,
Quarterly Results,Interest,1,2,2,2,2,3,2,2,3,2,2,1,2,,,,,,
Quarterly Results,Depreciation,31,30,29,30,28,29,29,29,29,29,29,31,28,,,,,,
Quarterly Results,Profit before tax,112,79,97,113,125,90,146,153,91,144,126,132,150,,,,,,
Quarterly Results,Tax %,34%,25%,25%,25%,22%,25%,37%,24%,27%,24%,40%,25%,25%,,,,,,
Quarterly Results,Net Profit,74,59,72,84,97,68,92,116,66,110,75,99,112,,,,,,
Quarterly Results,EPS in Rs,1.54,1.23,1.49,1.74,2.01,1.40,1.91,2.40,1.36,2.27,1.56,2.06,2.32,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,741,,,,917,,,,988,,,,988,660,683,649,702,735,733
Profit & Loss,Expenses,331,,,,414,,,,415,,,,410,278,262,275,313,289,311
Profit & Loss,Operating Profit,411,,,,503,,,,574,,,,578,382,421,374,389,447,422
Profit & Loss,OPM %,55%,,,,55%,,,,58%,,,,58%,58%,62%,58%,55%,61%,58%
Profit & Loss,Other Income,30,,,,35,,,,31,,,,98,61,66,59,76,78,48
Profit & Loss,Interest,5,,,,8,,,,9,,,,6,0,0,0,0,7,6
Profit & Loss,Depreciation,129,,,,116,,,,116,,,,117,97,107,104,113,131,133
Profit & Loss,Profit before tax,307,,,,413,,,,479,,,,552,345,379,330,352,386,330
Profit & Loss,Tax %,36%,,,,24%,,,,29%,,,,28%,34%,26%,33%,33%,17%,33%
Profit & Loss,Net Profit,197,,,,313,,,,342,,,,397,227,282,221,237,319,222
Profit & Loss,EPS in Rs,4.08,,,,6.48,,,,7.07,,,,8.21,4.71,5.84,4.57,4.90,6.61,4.59
Profit & Loss,Dividend Payout %,98%,,,,94%,,,,103%,,,,100%,40%,65%,74%,71%,85%,98%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,483,,,,483,,,,483,,,,483,483,483,483,483,483,483
Balance Sheet,Reserves,1760,,,,1827,,,,1830,,,,1854,1604,1659,1676,1714,1805,1756
Balance Sheet,Borrowings,47,,,,79,,,,79,,,,63,0,0,0,0,58,47
Balance Sheet,Other Liabilities,442,,,,479,,,,544,,,,535,282,331,296,348,282,363
Balance Sheet,Total Liabilities,2733,,,,2869,,,,2936,,,,2935,2369,2473,2456,2546,2629,2649
Balance Sheet,Fixed Assets,1408,,,,1363,,,,1358,,,,1329,1342,1676,1686,1590,1583,1467
Balance Sheet,CWIP,49,,,,95,,,,81,,,,83,392,92,32,45,6,53
Balance Sheet,Investments,294,,,,315,,,,321,,,,338,174,206,228,259,286,290
Balance Sheet,Other Assets,981,,,,1096,,,,1177,,,,1186,462,499,509,651,754,839
Balance Sheet,Total Assets,2733,,,,2869,,,,2936,,,,2935,2369,2473,2456,2546,2629,2649
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,380,,,,370,,,,489,,,,446,389,406,315,299,343,388
Cash Flows,Cash from Investing Activity,-166,,,,-82,,,,-111,,,,-56,-285,-245,-129,-126,-85,-105
Cash Flows,Cash from Financing Activity,-220,,,,-273,,,,-370,,,,-401,-0,-227,-204,-198,-250,-296
Cash Flows,Net Cash Flow,-6,,,,15,,,,8,,,,-11,104,-66,-18,-25,8,-13
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,34,,,,21,,,,18,16,15,14,26,23,24
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
