Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,6,5,2,4,-5,6,30,8,0,7,7,7,2,,,,,,
Quarterly Results,Expenses,1,1,1,1,2,0,1,0,3,1,3,1,1,,,,,,
Quarterly Results,Operating Profit,5,3,1,4,-7,5,30,7,-3,5,5,5,1,,,,,,
Quarterly Results,OPM %,86%,74%,68%,83%,,92%,98%,95%,-3786%,81%,66%,79%,55%,,,,,,
Quarterly Results,Other Income,91,91,57,30,46,40,39,47,28,69,57,61,69,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Quarterly Results,Profit before tax,96,94,59,33,39,45,69,54,26,74,62,66,70,,,,,,
Quarterly Results,Tax %,2%,1%,-3%,0%,-6%,3%,10%,2%,1%,2%,20%,1%,1%,,,,,,
Quarterly Results,Net Profit,94,94,61,33,41,44,62,54,26,73,49,66,70,,,,,,
Quarterly Results,EPS in Rs,293.72,294.60,189.60,103.71,127.87,137.21,194.05,167.95,80.15,229.14,154.72,206.05,218.49,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,33,,,,6,,,,15,,,,23,13,70,28,9,12,20
Profit & Loss,Expenses,3,,,,4,,,,4,,,,6,4,2,3,3,6,2
Profit & Loss,Operating Profit,30,,,,2,,,,11,,,,17,9,68,25,6,7,18
Profit & Loss,OPM %,91%,,,,26%,,,,71%,,,,73%,72%,97%,89%,68%,53%,89%
Profit & Loss,Other Income,429,,,,223,,,,184,,,,256,151,242,157,196,155,116
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0,0,0,0,0
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,0,0,0,0,0,0
Profit & Loss,Profit before tax,459,,,,225,,,,194,,,,273,160,310,181,202,161,133
Profit & Loss,Tax %,7%,,,,-2%,,,,5%,,,,5%,1%,2%,1%,0%,1%,3%
Profit & Loss,Net Profit,429,,,,228,,,,185,,,,258,159,303,179,202,160,130
Profit & Loss,EPS in Rs,1344.45,,,,715.74,,,,579.29,,,,808.40,496.88,950.05,559.83,632.40,500.42,405.80
Profit & Loss,Dividend Payout %,0%,,,,1%,,,,1%,,,,1%,1%,1%,1%,1%,0%,1%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3,,,,3,,,,3,,,,3,3,3,3,3,3,3
Balance Sheet,Reserves,2774,,,,3096,,,,3294,,,,3537,1244,1545,1819,1994,2122,2303
Balance Sheet,Borrowings,0,,,,0,,,,0,,,,0,0,0,0,0,0,0
Balance Sheet,Other Liabilities,1,,,,1,,,,1,,,,1,2,5,3,5,4,2
Balance Sheet,Total Liabilities,2778,,,,3101,,,,3298,,,,3541,1249,1553,1825,2003,2130,2307
Balance Sheet,Fixed Assets,3,,,,3,,,,3,,,,3,1,1,3,3,3,3
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,0
Balance Sheet,Investments,2738,,,,3065,,,,3270,,,,3528,1240,1506,1776,1952,1979,2167
Balance Sheet,Other Assets,36,,,,32,,,,25,,,,10,9,46,46,48,147,137
Balance Sheet,Total Assets,2778,,,,3101,,,,3298,,,,3541,1249,1553,1825,2003,2130,2307
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5,,,,1,,,,-3,,,,-6,,-34,2,6,-95,82
Cash Flows,Cash from Investing Activity,-69,,,,2,,,,4,,,,5,,36,0,-3,99,-10
Cash Flows,Cash from Financing Activity,-2,,,,-2,,,,-2,,,,-2,,-1,-2,-2,-2,-0
Cash Flows,Net Cash Flow,-75,,,,2,,,,-0,,,,-2,,1,0,1,2,72
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,0,0,0,0,0
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
