Section,,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Apr 2023,Sep 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.59%,74.65%,74.53%,74.71%,74.71%,74.39%,73.34%,69.68%,69.62%,69.61%,69.60%,70.67%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.14%,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,,,
Shareholding Pattern (Quarterly),Public,25.41%,25.36%,25.47%,25.29%,25.29%,25.61%,26.66%,30.32%,30.38%,30.39%,29.84%,29.19%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,468,440,448,437,513,514,564,1037,4958,8573,12859,14771,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.59%,,74.53%,,74.71%,,,69.68%,,,,70.67%,72.73%,72.73%,72.73%
Shareholding Pattern (Yearly),FIIs,0.00%,,0.00%,,0.00%,,,0.00%,,,,0.14%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,25.41%,,25.47%,,25.29%,,,30.32%,,,,29.19%,27.27%,27.27%,27.27%
Shareholding Pattern (Yearly),No. of Shareholders,468,,448,,513,,,1037,,,,14771,854,619,534
,,,,,,,,,,,,,,,,
