Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2.29,0.74,0.78,3.38,1.36,1.93,1.60,2.16,2.83,2.52,3.14,2.70,1.18,,,,,,
Quarterly Results,Expenses,1.52,1.06,1.24,1.34,1.72,1.73,1.36,1.81,3.05,1.97,7.64,2.44,2.41,,,,,,
Quarterly Results,Operating Profit,0.77,-0.32,-0.46,2.04,-0.36,0.20,0.24,0.35,-0.22,0.55,-4.50,0.26,-1.23,,,,,,
Quarterly Results,OPM %,33.62%,-43.24%,-58.97%,60.36%,-26.47%,10.36%,15.00%,16.20%,-7.77%,21.83%,-143.31%,9.63%,-104.24%,,,,,,
Quarterly Results,Other Income,-0.26,0.26,1.08,0.04,-1.15,0.05,0.04,0.04,0.05,0.06,4.81,0.35,0.37,,,,,,
Quarterly Results,Interest,0.17,0.13,0.10,0.04,0.07,0.06,0.10,0.06,0.05,0.05,0.02,0.01,0.03,,,,,,
Quarterly Results,Depreciation,0.03,0.08,0.09,0.09,0.04,0.05,0.07,0.08,0.12,0.10,0.07,0.07,0.11,,,,,,
Quarterly Results,Profit before tax,0.31,-0.27,0.43,1.95,-1.62,0.14,0.11,0.25,-0.34,0.46,0.22,0.53,-1.00,,,,,,
Quarterly Results,Tax %,-6.45%,-3.70%,-4.65%,-1.03%,6.17%,0.00%,0.00%,-4.00%,0.00%,-2.17%,-4.55%,-1.89%,105.00%,,,,,,
Quarterly Results,Net Profit,0.32,-0.26,0.45,1.97,-1.72,0.14,0.11,0.27,-0.34,0.48,0.24,0.54,-2.05,,,,,,
Quarterly Results,EPS in Rs,0.27,-0.22,0.30,1.29,-1.13,0.09,0.07,0.18,-0.22,0.31,0.16,0.35,-1.34,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6.23,,,,6.45,,,,8.70,,,,9.54,3.40,4.14,3.81,3.64,2.87,3.74
Profit & Loss,Expenses,5.29,,,,5.36,,,,7.95,,,,14.45,3.60,4.91,4.04,5.44,6.15,4.45
Profit & Loss,Operating Profit,0.94,,,,1.09,,,,0.75,,,,-4.91,-0.20,-0.77,-0.23,-1.80,-3.28,-0.71
Profit & Loss,OPM %,15.09%,,,,16.90%,,,,8.62%,,,,-51.47%,-5.88%,-18.60%,-6.04%,-49.45%,-114.29%,-18.98%
Profit & Loss,Other Income,0.12,,,,0.04,,,,0.00,,,,5.59,0.09,0.82,0.03,2.46,0.75,0.03
Profit & Loss,Interest,0.71,,,,0.34,,,,0.27,,,,0.11,0.32,0.35,0.28,0.23,0.82,0.74
Profit & Loss,Depreciation,0.29,,,,0.29,,,,0.31,,,,0.34,0.29,0.30,0.29,0.28,0.28,0.28
Profit & Loss,Profit before tax,0.06,,,,0.50,,,,0.17,,,,0.23,-0.72,-0.60,-0.77,0.15,-3.63,-1.70
Profit & Loss,Tax %,-100.00%,,,,10.00%,,,,-5.88%,,,,447.83%,-1.39%,1.67%,-1.30%,-26.67%,-1.10%,-2.94%
Profit & Loss,Net Profit,0.12,,,,0.44,,,,0.17,,,,-0.80,-0.70,-0.61,-0.76,0.19,-3.59,-1.65
Profit & Loss,EPS in Rs,0.10,,,,0.29,,,,0.11,,,,-0.52,-0.59,-0.51,-0.64,0.16,-3.01,-1.38
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11.94,,,,15.25,,,,15.25,,,,15.25,11.94,11.94,11.94,11.94,11.94,11.94
Balance Sheet,Reserves,8.16,,,,14.24,,,,14.43,,,,13.64,14.53,13.92,13.16,13.28,9.69,8.01
Balance Sheet,Borrowings,6.47,,,,2.64,,,,1.55,,,,1.42,5.08,4.92,4.84,6.39,7.74,6.94
Balance Sheet,Other Liabilities,20.70,,,,11.45,,,,16.37,,,,13.00,8.52,7.82,10.30,15.24,10.52,14.47
Balance Sheet,Total Liabilities,47.27,,,,43.58,,,,47.60,,,,43.31,40.07,38.60,40.24,46.85,39.89,41.36
Balance Sheet,Fixed Assets,7.79,,,,8.09,,,,8.14,,,,4.25,9.78,9.55,9.30,8.41,8.20,8.05
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Investments,0.61,,,,2.04,,,,3.07,,,,11.62,0.03,0.03,0.03,0.77,1.18,1.04
Balance Sheet,Other Assets,38.87,,,,33.45,,,,36.39,,,,27.44,30.26,29.02,30.91,37.67,30.51,32.27
