Section,,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023,May 2025
Quarterly Results,Sales,1526,2069,2167,2274,,,
Quarterly Results,Expenses,1348,1825,1905,1998,,,
Quarterly Results,Operating Profit,179,243,262,276,,,
Quarterly Results,OPM %,12%,12%,12%,12%,,,
Quarterly Results,Other Income,4,13,29,10,,,
Quarterly Results,Interest,69,89,77,64,,,
Quarterly Results,Depreciation,89,81,83,83,,,
Quarterly Results,Profit before tax,25,86,131,139,,,
Quarterly Results,Tax %,35%,15%,23%,21%,,,
Quarterly Results,Net Profit,16,73,101,110,,,
Quarterly Results,EPS in Rs,0.25,1.13,1.55,1.69,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,7484,,,8291,5399,6582,
Profit & Loss,Expenses,6560,,,7270,4643,5707,
Profit & Loss,Operating Profit,924,,,1021,755,875,
Profit & Loss,OPM %,12%,,,12%,14%,13%,
Profit & Loss,Other Income,59,,,62,14,38,
Profit & Loss,Interest,290,,,307,215,250,
Profit & Loss,Depreciation,321,,,330,245,307,
Profit & Loss,Profit before tax,372,,,446,309,357,
Profit & Loss,Tax %,16%,,,20%,15%,12%,
Profit & Loss,Net Profit,311,,,355,263,314,
Profit & Loss,EPS in Rs,4.78,,,5.46,,,
Profit & Loss,Dividend Payout %,0%,,,0%,0%,0%,
,,,,,,,,
Balance Sheet,Equity Capital,326,,,326,20,20,
Balance Sheet,Reserves,2014,,,2371,1717,2024,
Balance Sheet,Borrowings,2504,,,2964,2632,2353,
Balance Sheet,Other Liabilities,1198,,,1565,829,1281,
Balance Sheet,Total Liabilities,6042,,,7225,5198,5679,
Balance Sheet,Fixed Assets,2460,,,2900,2460,2429,
Balance Sheet,CWIP,179,,,263,120,80,
Balance Sheet,Investments,9,,,109,59,41,
Balance Sheet,Other Assets,3393,,,3954,2559,3130,
Balance Sheet,Total Assets,6042,,,7225,5198,5679,
,,,,,,,,
Cash Flows,Cash from Operating Activity,582,,,704,474,789,
Cash Flows,Cash from Investing Activity,-362,,,-981,-543,-194,
Cash Flows,Cash from Financing Activity,-141,,,169,39,-530,
Cash Flows,Net Cash Flow,79,,,-108,-30,66,
,,,,,,,,
Ratios,Debtor Days,60,,,70,63,71,
Ratios,Inventory Days,36,,,42,40,39,
Ratios,Days Payable,48,,,58,48,65,
Ratios,Cash Conversion Cycle,48,,,54,56,45,
Ratios,Working Capital Days,91,,,91,102,90,
Ratios,ROCE %,14%,,,14%,,14%,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,73.01%
Shareholding Pattern (Quarterly),FIIs,,,,,,,5.35%
Shareholding Pattern (Quarterly),DIIs,,,,,,,8.07%
Shareholding Pattern (Quarterly),Public,,,,,,,13.56%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,519256
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,73.01%
Shareholding Pattern (Yearly),FIIs,,,,,,,5.35%
Shareholding Pattern (Yearly),DIIs,,,,,,,8.07%
Shareholding Pattern (Yearly),Public,,,,,,,13.56%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,519256
,,,,,,,,
