Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,162,95,70,187,255,98,18,82,14,188,8,167,9,,,,,,,,,
Quarterly Results,Expenses,197,127,109,198,283,141,53,121,68,230,55,193,64,,,,,,,,,
Quarterly Results,Operating Profit,-36,-32,-39,-11,-27,-43,-35,-39,-54,-42,-48,-25,-55,,,,,,,,,
Quarterly Results,OPM %,-22%,-34%,-56%,-6%,-11%,-44%,-196%,-48%,-379%,-22%,-627%,-15%,-597%,,,,,,,,,
Quarterly Results,Other Income,117,119,31,51,38,37,8,82,119,55,45,28,149,,,,,,,,,
Quarterly Results,Interest,2,2,2,3,3,4,0,0,3,6,7,4,2,,,,,,,,,
Quarterly Results,Depreciation,2,2,3,3,3,3,3,4,4,4,4,4,6,,,,,,,,,
Quarterly Results,Profit before tax,78,83,-14,33,4,-14,-30,39,59,3,-14,-5,87,,,,,,,,,
Quarterly Results,Tax %,-77%,9%,-47%,-4%,86%,-69%,-36%,-28%,-22%,-314%,0%,336%,2%,,,,,,,,,
Quarterly Results,Net Profit,138,76,-8,34,1,-4,-19,50,71,13,-14,-22,85,,,,,,,,,
Quarterly Results,EPS in Rs,6.44,3.55,-0.36,1.56,0.02,-0.20,-0.89,2.35,3.36,0.60,-0.66,-1.05,3.99,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,394,,,,607,,,,212,,,,372,705,1086,593,762,566,593,611,166,
Profit & Loss,Expenses,481,,,,717,,,,383,,,,542,535,662,508,712,509,567,692,260,
Profit & Loss,Operating Profit,-88,,,,-110,,,,-171,,,,-170,171,424,86,50,57,26,-81,-94,
Profit & Loss,OPM %,-22%,,,,-18%,,,,-81%,,,,-46%,24%,39%,14%,7%,10%,4%,-13%,-56%,
Profit & Loss,Other Income,200,,,,239,,,,246,,,,277,51,61,92,113,123,134,-100,34,
Profit & Loss,Interest,7,,,,11,,,,7,,,,19,50,51,36,20,41,12,8,11,
Profit & Loss,Depreciation,7,,,,12,,,,14,,,,18,10,13,4,5,4,4,8,7,
Profit & Loss,Profit before tax,99,,,,106,,,,54,,,,70,161,421,138,139,135,143,-196,-78,
Profit & Loss,Tax %,-63%,,,,3%,,,,-81%,,,,13%,32%,33%,31%,24%,23%,17%,-1%,-8%,
Profit & Loss,Net Profit,162,,,,103,,,,98,,,,61,110,283,95,106,103,119,-195,-71,
Profit & Loss,EPS in Rs,7.27,,,,4.77,,,,4.61,,,,2.87,4.77,12.59,4.34,4.83,4.77,5.65,-9.13,-3.38,
Profit & Loss,Dividend Payout %,20%,,,,35%,,,,42%,,,,71%,24%,18%,27%,24%,30%,26%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,155,,,,155,,,,155,,,,155,41,41,41,41,51,51,51,51,
Balance Sheet,Reserves,1634,,,,1651,,,,1718,,,,1741,1221,1434,1589,1659,2008,1878,1650,1580,
Balance Sheet,Borrowings,286,,,,268,,,,877,,,,1439,1401,1238,784,652,459,228,237,245,
Balance Sheet,Other Liabilities,963,,,,1537,,,,2199,,,,3085,764,896,596,535,481,836,603,697,
Balance Sheet,Total Liabilities,3037,,,,3611,,,,4949,,,,6421,3427,3609,3010,2886,2998,2994,2542,2573,
Balance Sheet,Fixed Assets,103,,,,37,,,,24,,,,26,323,354,77,100,95,95,98,91,
Balance Sheet,CWIP,3,,,,5,,,,5,,,,5,15,8,1,8,9,10,12,15,
Balance Sheet,Investments,622,,,,905,,,,914,,,,904,301,222,816,742,926,688,548,558,
Balance Sheet,Other Assets,2308,,,,2664,,,,4006,,,,5486,2787,3026,2116,2036,1967,2201,1883,1909,
Balance Sheet,Total Assets,3037,,,,3611,,,,4949,,,,6421,3427,3609,3010,2886,2998,2994,2542,2573,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-52,,,,-148,,,,-661,,,,-542,-256,300,-174,70,194,168,-63,-68,
Cash Flows,Cash from Investing Activity,123,,,,26,,,,214,,,,273,-195,42,106,141,-180,288,88,110,
Cash Flows,Cash from Financing Activity,12,,,,-27,,,,489,,,,416,386,-336,139,-255,-40,-370,-67,-20,
