Section,,Mar 2019,Mar 2020,Mar 2021,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,886,1537,1885,,,,,,,,,,,,,
Profit & Loss,Expenses,639,1065,1294,,,,,,,,,,,,,
Profit & Loss,Operating Profit,248,472,591,,,,,,,,,,,,,
Profit & Loss,OPM %,28%,31%,31%,,,,,,,,,,,,,
Profit & Loss,Other Income,0,12,1,,,,,,,,,,,,,
Profit & Loss,Interest,1,34,88,,,,,,,,,,,,,
Profit & Loss,Depreciation,19,29,33,,,,,,,,,,,,,
Profit & Loss,Profit before tax,228,421,471,,,,,,,,,,,,,
Profit & Loss,Tax %,14%,26%,25%,,,,,,,,,,,,,
Profit & Loss,Net Profit,196,313,352,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,997.86,1597.37,358.74,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,82.85%,82.85%,82.85%,82.85%,82.85%,82.85%,82.85%,82.85%,82.85%,75.00%,75.00%,74.99%,
Shareholding Pattern (Quarterly),FIIs,,,,7.58%,6.04%,4.45%,3.28%,3.27%,4.39%,4.57%,5.01%,4.81%,7.85%,6.74%,6.57%,
Shareholding Pattern (Quarterly),DIIs,,,,0.79%,0.79%,0.08%,0.00%,0.58%,0.64%,0.74%,1.41%,1.57%,4.16%,4.86%,5.19%,
Shareholding Pattern (Quarterly),Public,,,,8.78%,10.31%,12.62%,13.86%,13.30%,12.13%,11.84%,10.73%,10.76%,12.99%,13.40%,13.25%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,233538,232203,225730,222866,208267,198764,185531,156183,149396,143960,146840,141977,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,82.85%,,,,82.85%,,,,74.99%,82.85%
Shareholding Pattern (Yearly),FIIs,,,,,,,3.28%,,,,5.01%,,,,6.57%,8.12%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,1.41%,,,,5.19%,0.56%
Shareholding Pattern (Yearly),Public,,,,,,,13.86%,,,,10.73%,,,,13.25%,8.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,222866,,,,156183,,,,141977,238578
,,,,,,,,,,,,,,,,,
