Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,44,43,14,13,26,13,7,24,17,5,6,57,14,,,,,,,,,
Quarterly Results,Expenses,34,35,15,16,61,22,18,37,94,9,9,66,83,,,,,,,,,
Quarterly Results,Operating Profit,9,7,-0,-3,-34,-9,-11,-13,-76,-4,-3,-9,-70,,,,,,,,,
Quarterly Results,OPM %,22%,17%,-1%,-22%,-130%,-71%,-167%,-53%,-437%,-68%,-58%,-15%,-509%,,,,,,,,,
Quarterly Results,Other Income,10,11,-1,5,19,5,6,15,13,13,14,13,13,,,,,,,,,
Quarterly Results,Interest,15,16,17,17,9,14,23,29,29,27,27,30,29,,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Quarterly Results,Profit before tax,4,2,-18,-14,-24,-19,-29,-27,-93,-18,-18,-26,-85,,,,,,,,,
Quarterly Results,Tax %,-21%,23%,-23%,-25%,-26%,-25%,-26%,-38%,-24%,-25%,-24%,-25%,-6%,,,,,,,,,
Quarterly Results,Net Profit,4,1,-14,-11,-15,-14,-21,-17,-70,-14,-13,-19,-80,,,,,,,,,
Quarterly Results,EPS in Rs,1.13,0.37,-3.71,-2.83,-4.04,-3.79,-5.64,-4.46,-18.60,-3.65,-3.51,-5.14,-21.05,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,197,,,,96,,,,61,,,,82,0,28,242,1,1,69,1041,186,
Profit & Loss,Expenses,155,,,,126,,,,166,,,,168,-24,-13,197,-67,-101,-75,930,171,
Profit & Loss,Operating Profit,41,,,,-30,,,,-105,,,,-85,25,41,45,68,102,143,111,15,
Profit & Loss,OPM %,21%,,,,-31%,,,,-170%,,,,-104%,18892%,147%,19%,7349%,6960%,209%,11%,8%,
Profit & Loss,Other Income,45,,,,35,,,,33,,,,53,21,45,86,112,117,128,187,145,
Profit & Loss,Interest,68,,,,58,,,,95,,,,113,51,96,137,163,216,269,371,152,
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,1,1,0,0,1,2,2,
Profit & Loss,Profit before tax,17,,,,-55,,,,-168,,,,-147,-6,-11,-7,16,3,2,-76,6,
Profit & Loss,Tax %,13%,,,,-25%,,,,-27%,,,,-14%,2%,0%,1%,23%,-40%,74%,-32%,91%,
Profit & Loss,Net Profit,15,,,,-39,,,,-123,,,,-126,8,12,-4,13,4,0,-52,1,
Profit & Loss,EPS in Rs,3.97,,,,-10.21,,,,-32.48,,,,-33.36,3.11,5.05,-1.74,5.19,1.49,0.18,-18.54,0.22,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,8,,,,8,,,,8,5,5,5,5,6,6,6,6,
Balance Sheet,Reserves,120,,,,80,,,,-43,,,,-169,28,41,9,22,138,141,88,105,
Balance Sheet,Borrowings,1528,,,,1587,,,,1916,,,,1905,729,919,1195,1556,2026,2557,2454,1671,
Balance Sheet,Other Liabilities,212,,,,299,,,,393,,,,432,399,526,497,563,569,689,427,186,
Balance Sheet,Total Liabilities,1867,,,,1974,,,,2274,,,,2176,1161,1490,1707,2145,2739,3393,2974,1968,
Balance Sheet,Fixed Assets,50,,,,49,,,,36,,,,36,11,11,13,59,71,72,58,52,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
Balance Sheet,Investments,104,,,,105,,,,122,,,,132,113,192,175,92,178,195,265,90,
Balance Sheet,Other Assets,1714,,,,1819,,,,2115,,,,2008,1037,1288,1519,1995,2490,3125,2650,1826,
Balance Sheet,Total Assets,1867,,,,1974,,,,2274,,,,2176,1161,1490,1707,2145,2739,3393,2974,1968,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,118,,,,73,,,,-36,,,,-75,55,-147,236,-274,-190,-177,583,-266,
Cash Flows,Cash from Investing Activity,93,,,,-67,,,,-189,,,,184,-326,32,-212,45,-142,-247,-16,1204,
Cash Flows,Cash from Financing Activity,-214,,,,-0,,,,232,,,,-124,275,114,-21,204,187,100,-562,-940,
