Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,179.96,139.34,148.73,176.92,186.85,171.70,194.53,190.86,182.56,193.78,174.91,205.05,207.89,,,,,,,
Quarterly Results,Expenses,167.66,132.16,141.29,168.00,177.78,164.22,182.04,178.53,167.52,180.58,163.98,190.58,192.72,,,,,,,
Quarterly Results,Operating Profit,12.30,7.18,7.44,8.92,9.07,7.48,12.49,12.33,15.04,13.20,10.93,14.47,15.17,,,,,,,
Quarterly Results,OPM %,6.83%,5.15%,5.00%,5.04%,4.85%,4.36%,6.42%,6.46%,8.24%,6.81%,6.25%,7.06%,7.30%,,,,,,,
Quarterly Results,Other Income,1.61,2.16,1.63,0.64,5.76,4.26,1.38,1.78,2.11,1.60,2.90,2.78,1.96,,,,,,,
Quarterly Results,Interest,7.09,5.40,6.05,6.97,3.42,8.80,9.59,6.37,8.00,8.48,8.37,8.23,8.20,,,,,,,
Quarterly Results,Depreciation,2.24,2.31,2.31,2.30,2.27,2.29,2.31,2.31,2.30,2.29,2.31,2.31,2.21,,,,,,,
Quarterly Results,Profit before tax,4.58,1.63,0.71,0.29,9.14,0.65,1.97,5.43,6.85,4.03,3.15,6.71,6.72,,,,,,,
Quarterly Results,Tax %,21.62%,58.90%,-4.23%,27.59%,15.32%,80.00%,-2.03%,25.41%,26.28%,26.05%,25.08%,25.19%,25.15%,,,,,,,
Quarterly Results,Net Profit,3.58,0.67,0.74,0.21,7.74,0.12,2.01,4.05,5.06,2.98,2.36,5.01,5.03,,,,,,,
Quarterly Results,EPS in Rs,0.55,0.10,0.11,0.03,1.18,0.02,0.31,0.62,0.68,0.40,0.32,0.67,0.63,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,648,,,,652,,,,740,,,,782,225,269,253,265,247,446,
Profit & Loss,Expenses,613,,,,619,,,,689,,,,728,212,256,238,242,221,413,
Profit & Loss,Operating Profit,35,,,,33,,,,51,,,,54,12,14,15,22,26,33,
Profit & Loss,OPM %,5%,,,,5%,,,,7%,,,,7%,5%,5%,6%,8%,10%,7%,
Profit & Loss,Other Income,9,,,,10,,,,6,,,,9,4,2,3,4,1,3,
Profit & Loss,Interest,23,,,,22,,,,33,,,,33,4,4,6,14,17,19,
Profit & Loss,Depreciation,9,,,,9,,,,9,,,,9,10,8,8,10,9,9,
Profit & Loss,Profit before tax,11,,,,12,,,,15,,,,21,3,3,4,2,1,8,
Profit & Loss,Tax %,24%,,,,20%,,,,25%,,,,25%,-14%,78%,51%,120%,-250%,22%,
Profit & Loss,Net Profit,9,,,,9,,,,11,,,,15,3,1,2,-0,3,6,
Profit & Loss,EPS in Rs,1.32,,,,1.43,,,,1.51,,,,1.94,0.44,0.10,0.30,-0.06,0.43,0.89,
Profit & Loss,Dividend Payout %,0%,,,,2%,,,,3%,,,,3%,0%,0%,0%,0%,0%,3%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,7,,,,8,7,7,7,7,7,7,
Balance Sheet,Reserves,102,,,,113,,,,145,,,,219,76,80,82,83,87,93,
Balance Sheet,Borrowings,178,,,,190,,,,178,,,,142,52,58,124,128,138,147,
Balance Sheet,Other Liabilities,198,,,,239,,,,207,,,,277,75,89,97,137,150,191,
Balance Sheet,Total Liabilities,484,,,,548,,,,537,,,,646,209,234,309,354,381,438,
Balance Sheet,Fixed Assets,130,,,,122,,,,119,,,,112,73,100,157,148,144,136,
Balance Sheet,CWIP,40,,,,49,,,,49,,,,68,45,35,4,47,45,51,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,313,,,,377,,,,369,,,,465,91,98,149,158,192,252,
Balance Sheet,Total Assets,484,,,,548,,,,537,,,,646,209,234,309,354,381,438,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-13,,,,8,,,,22,,,,30,31,22,-22,49,6,20,
Cash Flows,Cash from Investing Activity,9,,,,-7,,,,-6,,,,-20,-13,-25,-33,-43,-0,-6,
Cash Flows,Cash from Financing Activity,6,,,,-6,,,,-16,,,,-10,-19,3,61,-13,-5,-12,
Cash Flows,Net Cash Flow,2,,,,-4,,,,0,,,,-0,-1,0,6,-7,0,2,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,27,,,,24,,,,27,,,,24,72,56,47,35,37,38,
Ratios,Inventory Days,151,,,,180,,,,143,,,,171,43,51,97,171,265,163,
Ratios,Days Payable,103,,,,138,,,,102,,,,142,93,84,89,139,188,123,
Ratios,Cash Conversion Cycle,75,,,,66,,,,68,,,,53,22,23,54,67,114,78,
Ratios,Working Capital Days,67,,,,73,,,,78,,,,84,42,42,107,79,111,71,
Ratios,ROCE %,13%,,,,10%,,,,15%,,,,15%,,5%,5%,8%,8%,11%,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,67.43%,67.43%,67.43%,67.43%,67.43%,67.43%,69.19%,69.19%,69.19%,69.19%,65.67%,,,,,,,53.23%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.10%,1.82%,1.46%,,,,,,,9.61%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,0.02%
Shareholding Pattern (Quarterly),Public,,,32.56%,32.57%,32.58%,32.57%,32.57%,32.57%,30.81%,30.66%,30.70%,29.00%,32.87%,,,,,,,37.14%
Shareholding Pattern (Quarterly),No. of Shareholders,,,33836,32888,31901,31618,31334,29186,29681,26437,25208,26772,25825,,,,,,,26434
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.43%,,,,67.43%,,,,69.19%,,,,65.67%,,64.53%,64.92%,67.21%,67.21%,67.21%,53.23%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,1.46%,,0.00%,0.00%,0.00%,0.00%,0.00%,9.61%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,0.03%,0.00%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),Public,32.57%,,,,32.58%,,,,30.81%,,,,32.87%,,35.44%,35.08%,32.79%,32.79%,32.79%,37.14%
Shareholding Pattern (Yearly),No. of Shareholders,36360,,,,31901,,,,29681,,,,25825,,24764,22240,21350,20852,20566,26434
,,,,,,,,,,,,,,,,,,,,,
